Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46969,-0.682,83.545,-0.5,0.0,-1.996,350.0786,0.0,0.0,5.737,0,0.0,-0.46,310.005,1.9135000000000002,35.85,0.0,257.832,0.0,0
46969,-0.512,83.545,-0.5,0.0,-1.996,350.0786,0.0,-0.2,5.742,0,0.0,-0.715,310.14000000000004,0.5938,35.82,0.0,257.832,0.0,0
46969,-0.341,83.545,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,1.0,-0.55,310.005,2.0455,35.04,0.0,257.832,0.0,0
46969,-0.341,83.545,0.0,0.0,-1.996,350.0786,0.0,-0.2,5.742,0,0.0,-0.505,310.005,-1.7155,35.58,0.0,257.832,0.0,0
46969,-0.171,83.545,0.0,0.0,-1.996,350.0786,0.0,-1.5,5.742,0,1.0,-0.555,309.915,-4.6435,36.33,0.0,257.832,0.0,0
46969,-0.853,83.545,0.0,0.0,-1.996,349.9995,0.0,-4.5,5.742,0,1.0,-0.48,310.005,-0.39590000000000003,36.87,0.0,257.793,0.0,0
46969,-0.171,83.545,0.0,0.0,-1.996,349.8798,0.0,-8.6,5.742,0,0.0,-0.52,310.14000000000004,2.9445,37.050000000000004,0.0,257.73400000000004,0.0,0
46969,-0.512,83.545,0.5,0.0,-1.996,349.64230000000003,0.0,-14.700000000000001,5.742,0,0.0,-0.525,310.14000000000004,2.928,37.02,0.0,257.617,0.0,0
46969,-0.682,83.545,0.0,0.0,-1.996,349.2466,-38.6,-20.3,5.742,0,0.0,-0.58,310.14000000000004,4.3301,37.410000000000004,0.0,257.422,0.0,0
46969,-0.682,83.545,0.0,0.0,-1.996,348.77180000000004,-38.5,-27.400000000000002,5.742,0,0.0,-0.505,310.005,1.1464,37.47,0.0,257.188,0.0,0
46969,-0.512,83.545,0.5,0.0,-1.996,348.6906,-81.2,-27.900000000000002,5.742,0,1.0,-0.535,310.005,1.1547,37.47,0.0,257.148,0.0,0
46969,-0.341,83.545,0.5,0.0,-1.996,348.05740000000003,-79.2,-35.800000000000004,5.742,0,0.0,-0.53,310.005,-7.654000000000001,37.53,0.0,256.836,0.0,0
46969,-0.512,83.545,0.5,0.0,-1.996,347.2201,-118.9,-43.2,5.742,0,0.0,-0.525,310.005,-3.8600000000000003,36.93,0.0,256.426,0.0,0
46969,-0.171,83.545,0.0,0.0,-1.996,346.25870000000003,-120.9,-50.300000000000004,5.742,0,0.0,-0.545,310.005,0.6598,36.51,0.0,255.95700000000002,0.0,0
46969,-0.512,83.545,0.5,0.0,-1.996,345.17830000000004,-118.9,-57.5,5.742,0,0.0,-0.51,309.915,-0.7258,35.64,0.0,255.43,0.0,0
46969,-0.341,83.545,0.0,0.0,-1.996,343.93600000000004,-120.9,-64.10000000000001,5.742,0,0.0,-0.515,310.005,0.7918000000000001,35.160000000000004,0.0,254.824,0.0,0
46969,-0.682,83.545,-0.5,0.0,-1.996,342.5358,-159.9,-69.7,5.742,0,0.0,-0.505,310.005,-0.2639,34.65,0.0,254.14100000000002,0.0,0
46969,-0.171,83.545,0.5,0.0,-1.996,341.03880000000004,-161.70000000000002,-74.0,5.742,0,0.0,-0.515,310.14000000000004,0.9238000000000001,34.53,0.0,253.418,0.0,0
46969,-0.341,83.545,0.5,0.0,-1.996,339.45910000000003,-161.70000000000002,-77.3,5.742,0,0.0,-0.525,309.915,-3.629,35.31,0.0,252.656,0.0,0
46969,-0.682,83.545,-0.5,0.0,-1.996,337.84000000000003,-161.70000000000002,-79.8,5.742,0,1.0,-0.49,309.915,-0.2639,37.410000000000004,0.0,251.875,0.0,0
46969,-0.682,83.545,0.5,0.0,-1.996,336.17040000000003,-163.6,-80.3,5.742,0,0.0,-0.525,310.005,1.6826,37.86,0.0,251.074,0.0,0
46969,-0.512,83.545,0.0,0.0,-1.996,334.49010000000004,-165.8,-80.3,5.742,0,0.0,-0.51,310.005,2.2434000000000003,37.47,0.0,250.27300000000002,0.0,0
46969,-0.512,83.545,-0.5,0.0,-1.996,332.77000000000004,-205.60000000000002,-80.10000000000001,5.742,0,0.0,-0.5,310.005,-1.3856000000000002,37.11,0.0,249.453,0.0,0
46969,-0.512,83.545,-0.5,0.0,-1.996,331.0854,-208.10000000000002,-80.3,5.742,0,0.0,-0.51,310.005,-1.9795,36.72,0.0,248.65200000000002,0.0,0
46969,-0.682,83.545,0.0,0.0,-1.996,329.3867,-206.0,-79.8,5.742,0,0.0,-0.525,310.005,0.0,36.51,0.0,247.852,0.0,0
46969,-0.512,83.545,-0.5,0.0,-1.996,327.6859,-205.9,-79.8,5.742,0,0.0,-0.5,310.14000000000004,2.7713,36.27,0.0,247.05100000000002,0.0,0
46969,-0.512,83.545,0.0,0.0,-1.996,327.5202,-165.70000000000002,-79.8,5.742,0,0.0,-0.495,310.005,2.5733,36.21,0.0,246.973,0.0,0
46969,-0.171,83.545,0.0,0.0,-1.996,325.8186,-208.9,-80.10000000000001,5.742,0,0.0,-0.535,310.005,2.7713,35.94,0.0,246.17200000000003,0.0,0
46969,-0.341,83.545,0.0,0.0,-1.996,324.1397,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.53,310.14000000000004,-0.2227,34.74,0.0,245.39100000000002,0.0,0
46969,-0.682,83.545,0.0,0.0,-1.996,322.41790000000003,-167.6,-80.10000000000001,5.742,0,0.0,-0.55,310.005,-1.7568000000000001,34.53,0.0,244.59,0.0,0
46969,-0.682,83.545,0.0,0.0,-1.996,320.696,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.5,309.915,0.28040000000000004,34.32,0.0,243.78900000000002,0.0,0
46969,-0.853,83.545,0.0,0.0,-1.996,318.95840000000004,-169.8,-80.3,5.742,0,0.0,-0.46,309.915,-2.3341000000000003,35.43,0.0,242.988,0.0,0
46969,-0.171,83.545,0.0,0.0,-1.996,317.2176,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.535,310.005,-0.066,36.54,0.0,242.18800000000002,0.0,0
