Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46838,0.0,51.719,0.0,0.0,-1.029,350.0786,0.0,0.0,5.742,0,-1.0,-0.455,309.915,-1.3032000000000001,36.84,0.0,257.832,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,350.0786,0.0,-0.2,5.742,0,-1.0,-0.45,310.005,0.42060000000000003,36.18,0.0,257.832,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,350.0786,0.0,-0.2,5.742,0,-1.0,-0.445,310.005,-0.5938,35.61,0.0,257.832,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,350.0786,0.0,-0.2,5.742,0,-2.0,-0.41000000000000003,310.14000000000004,2.2187,34.83,0.0,257.832,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,350.0401,-38.5,-2.5,5.742,0,-1.0,-0.47000000000000003,310.005,2.4413,34.86,0.0,257.813,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,349.9589,0.0,-6.1000000000000005,5.742,0,-1.0,-0.44,310.005,-0.9897,36.300000000000004,0.0,257.773,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,349.80060000000003,0.0,-10.9,5.742,0,0.0,-0.435,310.005,2.2022,37.71,0.0,257.695,0.0,0
46838,-0.171,51.719,0.0,0.0,-1.029,349.48400000000004,-40.6,-17.3,5.742,0,0.0,-0.41000000000000003,310.005,2.5733,38.52,0.0,257.539,0.0,0
46838,-0.171,51.719,0.0,0.0,-1.029,349.0883,-38.6,-23.1,5.742,0,-1.0,-0.42,309.915,-3.8765,38.19,0.0,257.344,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,348.5323,-40.6,-30.700000000000003,5.742,0,-2.0,-0.435,309.915,-4.9074,37.02,0.0,257.07,0.0,0
46838,0.512,51.719,0.0,0.0,-1.029,347.82,-79.10000000000001,-38.4,5.742,0,0.0,-0.44,310.14000000000004,0.5031,36.9,0.0,256.719,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,346.9393,-120.9,-45.5,5.742,0,1.0,-0.41000000000000003,310.005,3.761,36.99,0.0,256.289,0.0,0
46838,-0.341,51.719,0.0,0.0,-1.029,345.9389,-118.9,-52.900000000000006,5.742,0,0.0,-0.405,309.915,0.3299,37.38,0.0,255.80100000000002,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,344.7765,-120.9,-59.2,5.742,0,0.0,-0.435,310.005,-3.4971,37.17,0.0,255.234,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,343.4952,-121.0,-65.60000000000001,5.742,0,1.0,-0.43,310.005,0.39590000000000003,36.63,0.0,254.609,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,342.0919,-120.30000000000001,-70.9,5.742,0,-1.0,-0.44,310.005,1.7155,35.61,0.0,253.92600000000002,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,340.5537,-161.70000000000002,-75.0,5.742,0,0.0,-0.4,309.915,-1.699,35.31,0.0,253.18400000000003,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,338.974,-161.70000000000002,-78.3,5.742,0,-1.0,-0.425,310.005,-0.7918000000000001,35.61,0.0,252.42200000000003,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,337.3134,-161.70000000000002,-79.8,5.742,0,-1.0,-0.43,310.005,3.629,36.45,0.0,251.621,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,335.6376,-163.6,-81.10000000000001,5.742,0,-1.0,-0.41500000000000004,310.005,1.5176,37.71,0.0,250.82000000000002,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,333.9175,-205.5,-79.8,5.742,0,-1.0,-0.44,309.915,-4.4043,37.95,0.0,250.0,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,332.23720000000003,-163.6,-80.3,5.742,0,0.0,-0.47500000000000003,310.005,-1.3196,37.980000000000004,0.0,249.199,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,330.5461,-167.70000000000002,-80.10000000000001,5.742,0,1.0,-0.445,309.915,-0.9073,37.230000000000004,0.0,248.39800000000002,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,328.8473,-165.70000000000002,-79.3,5.742,0,0.0,-0.45,310.14000000000004,1.6083,37.5,0.0,247.598,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,327.1465,-208.10000000000002,-79.60000000000001,5.742,0,-1.0,-0.45,310.005,0.9897,36.87,0.0,246.79700000000003,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,325.48330000000004,-167.6,-80.10000000000001,5.742,0,-1.0,-0.45,310.14000000000004,4.7095,36.0,0.0,246.01600000000002,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,325.2726,-210.70000000000002,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,5.0147,35.97,0.0,245.918,0.0,0
46838,-0.341,51.719,0.0,0.0,-1.029,323.5507,-210.70000000000002,-80.10000000000001,5.742,0,-2.0,-0.485,309.915,-3.2661000000000002,35.730000000000004,0.0,245.11700000000002,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,321.8718,-167.70000000000002,-79.8,5.742,0,-1.0,-0.46,310.005,-2.5073000000000003,35.52,0.0,244.336,0.0,0
46838,-0.171,51.719,0.0,0.0,-1.029,320.1487,-168.9,-79.8,5.742,0,-1.0,-0.47000000000000003,310.005,1.1547,35.37,0.0,243.53500000000003,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,318.4057,-171.9,-80.10000000000001,5.742,0,-1.0,-0.445,310.14000000000004,4.6188,35.43,0.0,242.734,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,316.6649,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.44,310.14000000000004,1.2207000000000001,36.15,0.0,241.934,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,314.9218,-169.8,-80.10000000000001,5.742,0,1.0,-0.51,310.005,2.2434000000000003,37.26,0.0,241.133,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,313.1623,-171.70000000000002,-80.10000000000001,5.742,0,1.0,-0.45,309.915,2.2764,37.89,0.0,240.33200000000002,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,311.39820000000003,-171.70000000000002,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,-5.5425,38.4,0.0,239.531,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,309.6341,-173.9,-80.10000000000001,5.742,0,0.0,-0.455,309.915,-2.0455,38.1,0.0,238.73000000000002,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,307.86150000000004,-173.8,-80.10000000000001,5.742,0,-2.0,-0.44,310.14000000000004,4.2229,37.800000000000004,0.0,237.93,0.0,0
46838,-0.171,51.719,0.0,0.0,-1.029,306.0767,-173.8,-80.3,5.742,0,0.0,-0.455,310.14000000000004,-0.3629,37.11,0.0,237.12900000000002,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,304.2919,-173.8,-80.10000000000001,5.742,0,0.0,-0.41500000000000004,309.915,-0.2639,36.39,0.0,236.328,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,302.5022,-175.70000000000002,-80.10000000000001,5.742,0,0.0,-0.455,310.005,-3.3321,35.61,0.0,235.52700000000002,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,300.6994,-175.70000000000002,-80.3,5.742,0,-1.0,-0.405,310.005,-0.2639,35.46,0.0,234.727,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,298.8943,-175.8,-80.3,5.742,0,0.0,-0.42,310.005,2.0455,35.46,0.0,233.92600000000002,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,298.71860000000004,-175.70000000000002,-80.3,5.742,0,0.0,-0.46,310.005,1.5011,35.49,0.0,233.848,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,296.91220000000004,-177.1,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-2.1774,35.7,0.0,233.047,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,295.08770000000004,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.46,310.005,2.1774,36.78,0.0,232.246,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,293.26320000000004,-177.70000000000002,-79.60000000000001,5.742,0,0.0,-0.44,310.005,-1.5176,37.14,0.0,231.44500000000002,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,291.44100000000003,-177.6,-80.3,5.742,0,0.0,-0.42,310.14000000000004,2.1527000000000003,37.800000000000004,0.0,230.645,0.0,0
46838,0.341,51.719,0.0,0.0,-1.029,289.6017,-179.5,-80.10000000000001,5.742,0,0.0,-0.43,310.005,3.8930000000000002,37.53,0.0,229.84400000000002,0.0,0
46838,0.0,51.719,0.0,0.0,-1.029,287.7586,-179.5,-79.60000000000001,5.742,0,0.0,-0.435,310.005,-2.4578,37.980000000000004,0.0,229.043,0.0,0
46838,0.171,51.719,0.0,0.0,-1.029,285.9155,-179.5,-80.10000000000001,5.742,0,0.0,-0.43,309.915,-4.7755,38.07,0.0,228.24200000000002,0.0,0
