Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46931,-1.8760000000000001,75.586,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,2.0,-0.745,309.915,0.7011000000000001,36.36,0.0,257.832,0.0,0
46931,-1.5350000000000001,75.586,0.5,0.0,-1.815,350.0786,0.0,0.0,5.742,0,3.0,-0.59,310.14000000000004,2.4826,36.300000000000004,0.0,257.832,0.0,0
46931,-1.5350000000000001,75.586,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,2.0,-0.51,310.14000000000004,1.0145,35.37,0.0,257.832,0.0,0
46931,-1.5350000000000001,75.586,0.0,0.0,-1.815,350.0786,0.0,-0.2,5.742,0,2.0,-0.58,310.005,1.4764000000000002,35.43,0.0,257.832,0.0,0
46931,-2.0460000000000003,75.586,0.0,0.0,-1.815,350.0786,0.0,-0.5,5.742,0,2.0,-0.53,310.005,-1.2949000000000002,35.37,0.0,257.832,0.0,0
46931,-1.705,75.586,0.0,0.0,-1.815,350.0401,0.0,-3.5,5.742,0,2.0,-0.52,310.005,-4.024900000000001,34.47,0.0,257.813,0.0,0
46931,-1.705,75.586,0.0,0.0,-1.815,349.9203,-38.6,-6.300000000000001,5.742,0,3.0,-0.525,310.005,2.4413,33.87,0.0,257.754,0.0,0
46931,-1.5350000000000001,75.586,0.0,0.0,-1.815,349.7215,-40.6,-11.9,5.742,0,2.0,-0.52,310.005,1.7815,33.480000000000004,0.0,257.656,0.0,0
46931,-1.705,75.586,0.0,0.0,-1.815,349.4049,-40.6,-18.8,5.742,0,2.0,-0.485,310.005,1.1877,33.27,0.0,257.5,0.0,0
46931,-1.8760000000000001,75.586,0.0,0.0,-1.815,348.96860000000004,-40.6,-24.400000000000002,5.742,0,2.0,-0.465,309.915,0.5691,33.24,0.0,257.285,0.0,0
46931,-1.705,75.586,0.0,0.0,-1.815,348.374,-79.2,-32.0,5.742,0,2.0,-0.54,310.005,-1.7815,34.77,0.0,256.992,0.0,0
46931,-1.364,75.586,0.0,0.0,-1.815,347.6609,-79.9,-39.1,5.742,0,2.0,-0.54,310.005,-0.3052,35.910000000000004,0.0,256.641,0.0,0
46931,-1.5350000000000001,75.586,0.0,0.0,-1.815,346.7384,-120.9,-47.300000000000004,5.742,0,1.0,-0.525,310.14000000000004,-0.0412,36.75,0.0,256.19100000000003,0.0,0
46931,-1.8760000000000001,75.586,0.0,0.0,-1.815,345.699,-118.9,-53.1,5.742,0,2.0,-0.535,310.14000000000004,2.4001,36.81,0.0,255.68400000000003,0.0,0
46931,-2.217,75.586,0.0,0.0,-1.815,344.5366,-121.0,-60.300000000000004,5.742,0,2.0,-0.535,310.005,7.390000000000001,36.12,0.0,255.11700000000002,0.0,0
46931,-1.705,75.586,-0.5,0.0,-1.815,343.2164,-159.9,-66.60000000000001,5.742,0,2.0,-0.525,310.14000000000004,1.0310000000000001,35.79,0.0,254.473,0.0,0
46931,-1.5350000000000001,75.586,0.0,0.0,-1.815,341.7685,-161.70000000000002,-71.7,5.742,0,2.0,-0.525,310.005,-3.4063000000000003,35.1,0.0,253.77,0.0,0
46931,-1.705,75.586,0.0,0.0,-1.815,340.2282,-161.70000000000002,-76.3,5.742,0,2.0,-0.515,310.005,-0.767,34.86,0.0,253.02700000000002,0.0,0
46931,-1.5350000000000001,75.586,0.0,0.0,-1.815,338.6506,-161.70000000000002,-78.8,5.742,0,2.0,-0.505,310.14000000000004,-4.2889,34.800000000000004,0.0,252.26600000000002,0.0,0
