Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46994,-1.194,67.62700000000001,0.5,0.0,-0.665,350.0786,0.0,0.0,5.742,0,0.0,-0.52,309.915,1.4681,36.93,0.0,257.832,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,350.0786,0.0,0.0,5.742,0,1.0,-0.435,310.005,-2.9032,36.72,0.0,257.832,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,350.0786,0.0,0.0,5.742,0,0.0,-0.48,310.005,-0.9897,35.85,0.0,257.832,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,350.0786,0.0,-0.2,5.742,0,0.0,-0.39,310.14000000000004,3.1012,34.5,0.0,257.832,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,350.0786,0.0,-2.3000000000000003,5.742,0,1.0,-0.46,310.005,3.563,33.57,0.0,257.832,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,350.0401,-38.5,-2.3000000000000003,5.742,0,0.0,-0.465,310.005,3.1672000000000002,33.51,0.0,257.813,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,349.9589,-40.6,-6.1000000000000005,5.742,0,0.0,-0.46,309.915,-0.6598,34.14,0.0,257.773,0.0,0
46994,-1.0230000000000001,67.62700000000001,-0.5,0.0,-0.665,349.80060000000003,-40.6,-10.1,5.742,0,0.0,-0.46,310.005,-1.2207000000000001,35.64,0.0,257.695,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,349.5246,-38.6,-16.7,5.742,0,1.0,-0.41500000000000004,310.005,-0.7918000000000001,36.06,0.0,257.559,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,349.12690000000003,-40.6,-22.900000000000002,5.742,0,1.0,-0.47000000000000003,310.14000000000004,0.8908,37.32,0.0,257.363,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,348.5729,-79.10000000000001,-30.0,5.742,0,0.0,-0.47000000000000003,309.915,1.3196,36.9,0.0,257.09000000000003,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,347.89910000000003,-79.2,-37.1,5.742,0,0.0,-0.495,310.14000000000004,-1.4186,37.2,0.0,256.75800000000004,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,347.0602,-80.0,-44.7,5.742,0,1.0,-0.47500000000000003,310.005,-3.0352,36.75,0.0,256.348,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,346.05780000000004,-120.9,-51.300000000000004,5.742,0,1.0,-0.505,309.915,0.2639,35.82,0.0,255.859,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,344.9384,-118.9,-58.5,5.742,0,0.0,-0.455,310.005,-3.563,35.97,0.0,255.31300000000002,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,343.6572,-118.9,-65.3,5.742,0,1.0,-0.49,310.005,0.5279,36.96,0.0,254.68800000000002,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,342.2536,-161.20000000000002,-70.4,5.742,0,1.0,-0.455,310.005,1.8475000000000001,37.410000000000004,0.0,254.00400000000002,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,340.7548,-122.30000000000001,-75.0,5.742,0,2.0,-0.49,310.005,-2.6393,36.81,0.0,253.281,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,339.13570000000004,-161.70000000000002,-77.8,5.742,0,0.0,-0.435,310.14000000000004,2.7713,35.04,0.0,252.5,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,337.51660000000004,-161.70000000000002,-80.3,5.742,0,0.0,-0.495,309.915,2.4413,33.96,0.0,251.71900000000002,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,335.8432,-163.6,-80.60000000000001,5.742,0,0.0,-0.49,310.005,-1.9795,34.47,0.0,250.918,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,334.123,-163.70000000000002,-80.9,5.742,0,1.0,-0.48,310.14000000000004,0.5279,35.88,0.0,250.098,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,332.44280000000003,-163.6,-79.8,5.742,0,1.0,-0.445,310.005,3.0352,37.86,0.0,249.29700000000003,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,330.7542,-165.6,-79.8,5.742,0,0.0,-0.49,309.915,-3.3651,39.33,0.0,248.496,0.0,0
46994,-0.853,67.62700000000001,0.0,0.0,-0.665,329.05330000000004,-165.6,-79.8,5.742,0,0.0,-0.505,310.14000000000004,-1.0557,38.730000000000004,0.0,247.69500000000002,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,327.3546,-165.6,-80.3,5.742,0,2.0,-0.495,309.915,1.3856000000000002,37.68,0.0,246.895,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,325.65090000000004,-167.70000000000002,-80.3,5.742,0,1.0,-0.5,310.005,1.1877,36.63,0.0,246.09400000000002,0.0,0
46994,-1.0230000000000001,67.62700000000001,-0.5,0.0,-0.665,323.9291,-210.60000000000002,-80.10000000000001,5.742,0,1.0,-0.455,310.005,-3.3321,36.300000000000004,0.0,245.293,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,322.2072,-210.70000000000002,-79.8,5.742,0,1.0,-0.44,310.005,2.1114,36.63,0.0,244.49200000000002,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,320.4853,-210.70000000000002,-79.8,5.742,0,0.0,-0.495,310.14000000000004,1.4846000000000001,36.84,0.0,243.691,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,318.7887,-169.70000000000002,-80.3,5.742,0,0.0,-0.445,309.915,-2.9032,35.97,0.0,242.91000000000003,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,317.0043,-213.3,-80.3,5.742,0,0.0,-0.465,310.14000000000004,-0.3629,34.980000000000004,0.0,242.09,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,315.2613,-213.3,-80.60000000000001,5.742,0,0.0,-0.48,310.005,-2.3754,34.65,0.0,241.28900000000002,0.0,0
46994,-0.853,67.62700000000001,0.0,0.0,-0.665,313.5058,-215.9,-80.10000000000001,5.742,0,1.0,-0.515,309.915,0.2639,35.46,0.0,240.488,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,311.7439,-213.70000000000002,-80.3,5.742,0,0.0,-0.495,309.915,-4.0909,36.54,0.0,239.68800000000002,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,310.0217,-171.8,-79.8,5.742,0,1.0,-0.48,310.005,0.0,38.01,0.0,238.906,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,309.808,-213.70000000000002,-80.10000000000001,5.742,0,0.0,-0.51,310.005,0.2639,38.13,0.0,238.809,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,308.0353,-216.20000000000002,-80.10000000000001,5.742,0,1.0,-0.48,309.915,4.4208,38.22,0.0,238.008,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,306.2951,-173.8,-80.10000000000001,5.742,0,1.0,-0.455,309.915,-1.2537,38.1,0.0,237.227,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,304.5102,-173.8,-80.10000000000001,5.742,0,1.0,-0.47000000000000003,309.915,-3.3486000000000002,36.72,0.0,236.42600000000002,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,302.723,-175.8,-79.8,5.742,0,1.0,-0.51,310.14000000000004,1.5176,36.09,0.0,235.625,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,300.918,-175.70000000000002,-80.3,5.742,0,0.0,-0.47000000000000003,310.005,1.2372,36.33,0.0,234.824,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,299.1129,-178.10000000000002,-80.10000000000001,5.742,0,1.0,-0.43,310.005,1.6496000000000002,36.99,0.0,234.02300000000002,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,297.31010000000003,-175.8,-80.10000000000001,5.742,0,1.0,-0.455,310.005,0.2227,37.35,0.0,233.223,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,295.4886,-177.70000000000002,-80.10000000000001,5.742,0,1.0,-0.54,310.005,0.5114000000000001,37.02,0.0,232.422,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,293.6641,-177.70000000000002,-79.60000000000001,5.742,0,0.0,-0.535,310.005,-1.1877,36.63,0.0,231.621,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,291.8396,-177.70000000000002,-80.3,5.742,0,0.0,-0.53,309.915,-1.3032000000000001,35.97,0.0,230.82000000000002,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,290.0067,-179.4,-80.60000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,4.1321,36.09,0.0,230.02,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,288.16360000000003,-179.4,-80.10000000000001,5.742,0,1.0,-0.48,310.005,1.1877,37.230000000000004,0.0,229.21900000000002,0.0,0
46994,-0.853,67.62700000000001,0.0,0.0,-0.665,286.32050000000004,-179.4,-80.3,5.742,0,0.0,-0.5,310.005,-0.6763,37.74,0.0,228.418,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,284.47200000000004,-181.20000000000002,-79.60000000000001,5.742,0,0.0,-0.465,310.005,0.0247,37.89,0.0,227.61700000000002,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,282.6113,-183.5,-79.8,5.742,0,0.0,-0.555,310.005,1.9795,37.5,0.0,226.816,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,280.75280000000004,-181.20000000000002,-79.8,5.742,0,1.0,-0.47500000000000003,309.915,-3.4146,37.14,0.0,226.01600000000002,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,278.89160000000004,-181.70000000000002,-80.10000000000001,5.742,0,2.0,-0.445,310.005,-2.8372,37.5,0.0,225.215,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,277.0143,-182.8,-79.60000000000001,5.742,0,1.0,-0.49,310.005,0.6598,37.230000000000004,0.0,224.41400000000002,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,275.137,-182.8,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,309.915,5.2786,37.230000000000004,0.0,223.613,0.0,0
46994,-0.853,67.62700000000001,-0.5,0.0,-0.665,273.26210000000003,-182.8,-80.10000000000001,5.742,0,0.0,-0.495,310.005,-0.5279,36.87,0.0,222.81300000000002,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,271.3732,-184.3,-80.60000000000001,5.742,0,1.0,-0.46,309.915,-3.6125000000000003,36.06,0.0,222.012,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,271.1889,-184.3,-80.3,5.742,0,1.0,-0.495,309.915,-4.4208,35.94,0.0,221.934,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,269.2964,-184.3,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-0.9238000000000001,35.82,0.0,221.133,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,267.4038,-184.3,-80.10000000000001,5.742,0,1.0,-0.47000000000000003,310.005,-2.3754,36.27,0.0,220.33200000000002,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,265.5031,-185.70000000000002,-80.10000000000001,5.742,0,0.0,-0.485,310.14000000000004,5.6745,37.11,0.0,219.531,0.0,0
46994,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.665,263.5966,-188.0,-80.60000000000001,5.742,0,0.0,-0.47500000000000003,309.915,-0.7258,37.47,0.0,218.73000000000002,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,261.6925,-185.60000000000002,-80.3,5.742,0,1.0,-0.505,309.915,-4.0909,39.03,0.0,217.93,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,259.78200000000004,-186.9,-80.10000000000001,5.742,0,1.0,-0.52,310.14000000000004,0.0,39.03,0.0,217.12900000000002,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,257.8629,-186.9,-80.10000000000001,5.742,0,1.0,-0.44,310.005,6.0704,38.61,0.0,216.328,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,255.9438,-186.9,-80.10000000000001,5.742,0,1.0,-0.48,310.14000000000004,5.641500000000001,37.800000000000004,0.0,215.52700000000002,0.0,0
46994,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.665,254.0266,-187.4,-80.10000000000001,5.742,0,0.0,-0.51,310.005,-3.1672000000000002,37.29,0.0,214.727,0.0,0
46994,-1.364,67.62700000000001,0.0,0.0,-0.665,252.09650000000002,-187.9,-80.3,5.742,0,0.0,-0.455,309.915,-0.9897,36.39,0.0,213.92600000000002,0.0,0
46994,-1.194,67.62700000000001,0.0,0.0,-0.665,250.1663,-188.0,-80.10000000000001,5.742,0,0.0,-0.5,310.005,-1.1877,35.94,0.0,213.125,0.0,0
