Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47031,0.171,75.586,0.0,0.0,-1.3920000000000001,350.0786,0.0,0.0,5.742,0,2.0,-0.68,309.915,1.5836000000000001,38.61,0.0,257.832,0.0,0
47031,0.171,75.586,0.0,0.0,-1.3920000000000001,350.0786,0.0,0.0,5.742,0,2.0,-0.5650000000000001,310.005,-0.6103000000000001,39.18,0.0,257.832,0.0,0
47031,0.0,75.586,0.0,0.0,-1.3920000000000001,350.0786,0.0,0.0,5.742,0,2.0,-0.505,309.915,-1.9135000000000002,39.42,0.0,257.832,0.0,0
47031,0.171,75.586,0.0,0.0,-1.3920000000000001,350.0786,0.0,-0.2,5.742,0,2.0,-0.48,310.005,2.994,39.36,0.0,257.832,0.0,0
47031,0.0,75.586,0.0,0.0,-1.3920000000000001,350.0786,0.0,-2.3000000000000003,5.742,0,3.0,-0.55,310.005,1.5176,38.85,0.0,257.832,0.0,0
47031,-0.171,75.586,0.0,0.0,-1.3920000000000001,349.9995,0.0,-5.800000000000001,5.742,0,2.0,-0.54,310.005,-1.0062,37.71,0.0,257.793,0.0,0
47031,0.341,75.586,0.0,0.0,-1.3920000000000001,349.8412,0.0,-9.4,5.742,0,1.0,-0.5700000000000001,310.005,-1.8475000000000001,37.5,0.0,257.71500000000003,0.0,0
47031,-0.171,75.586,0.5,0.0,-1.3920000000000001,349.5632,-40.6,-16.3,5.742,0,1.0,-0.43,310.005,-2.1114,38.1,0.0,257.57800000000003,0.0,0
47031,-0.171,75.586,0.0,0.0,-1.3920000000000001,349.1675,-38.5,-21.900000000000002,5.742,0,1.0,-0.53,309.915,0.14850000000000002,39.33,0.0,257.38300000000004,0.0,0
47031,0.0,75.586,0.0,0.0,-1.3920000000000001,348.65200000000004,-38.6,-28.900000000000002,5.742,0,1.0,-0.5,310.005,4.1404000000000005,40.5,0.0,257.129,0.0,0
47031,0.0,75.586,0.0,0.0,-1.3920000000000001,347.9783,-79.10000000000001,-36.300000000000004,5.742,0,1.0,-0.52,310.005,-0.5938,40.14,0.0,256.797,0.0,0
47031,0.0,75.586,0.0,0.0,-1.3920000000000001,347.89910000000003,-79.2,-37.300000000000004,5.742,0,1.0,-0.51,310.005,-0.5279,40.08,0.0,256.75800000000004,0.0,0
47031,0.0,75.586,0.0,0.0,-1.3920000000000001,347.0602,-80.0,-45.300000000000004,5.742,0,1.0,-0.49,310.005,2.1114,39.69,0.0,256.348,0.0,0
47031,0.0,75.586,0.0,0.0,-1.3920000000000001,346.05780000000004,-120.9,-51.300000000000004,5.742,0,2.0,-0.5,309.915,-0.46190000000000003,38.79,0.0,255.859,0.0,0
47031,-0.171,75.586,-0.5,0.0,-1.3920000000000001,344.9384,-118.9,-58.5,5.742,0,2.0,-0.51,310.005,-2.5073000000000003,38.82,0.0,255.31300000000002,0.0,0
47031,-0.171,75.586,-0.5,0.0,-1.3920000000000001,343.6572,-118.9,-65.10000000000001,5.742,0,1.0,-0.505,310.005,3.6950000000000003,38.82,0.0,254.68800000000002,0.0,0
47031,-0.171,75.586,0.0,0.0,-1.3920000000000001,342.2536,-161.20000000000002,-70.7,5.742,0,2.0,-0.5,310.005,3.4311000000000003,38.34,0.0,254.00400000000002,0.0,0
47031,0.171,75.586,0.5,0.0,-1.3920000000000001,340.7548,-122.30000000000001,-75.3,5.742,0,1.0,-0.485,309.915,-3.3651,37.68,0.0,253.281,0.0,0
