Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46721,0.0,51.719,-0.5,0.0,-2.662,350.0786,0.0,0.0,5.742,0,0.0,-0.505,309.915,1.6496000000000002,38.82,0.0,257.832,0.0,0
46721,-0.171,51.719,0.5,0.0,-2.662,350.0786,0.0,0.2,5.742,0,0.0,-0.515,310.14000000000004,4.2229,39.78,0.0,257.832,0.0,0
46721,0.341,51.719,0.0,0.0,-2.662,350.0786,0.0,0.0,5.742,0,0.0,-0.505,310.005,-1.6496000000000002,38.910000000000004,0.0,257.832,0.0,0
46721,0.0,51.719,0.0,0.0,-2.662,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,310.14000000000004,1.8475000000000001,37.26,0.0,257.832,0.0,0
46721,0.171,51.719,0.0,0.0,-2.662,350.0786,0.0,-1.5,5.742,0,0.0,-0.515,310.14000000000004,0.7918000000000001,36.78,0.0,257.832,0.0,0
46721,0.0,51.719,0.0,0.0,-2.662,349.9995,0.0,-5.1000000000000005,5.742,0,0.0,-0.44,310.14000000000004,4.3548,36.81,0.0,257.793,0.0,0
46721,0.341,51.719,-0.5,0.0,-2.662,349.8412,-38.6,-8.9,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-1.0557,36.300000000000004,0.0,257.71500000000003,0.0,0
46721,0.0,51.719,0.0,0.0,-2.662,349.60380000000004,-38.5,-15.5,5.742,0,0.0,-0.41500000000000004,310.005,-2.7713,36.39,0.0,257.598,0.0,0
46721,0.171,51.719,0.0,0.0,-2.662,349.206,-79.2,-21.3,5.742,0,1.0,-0.49,310.005,1.9465000000000001,36.03,0.0,257.402,0.0,0
46721,0.0,51.719,0.0,0.0,-2.662,348.7312,-40.6,-28.200000000000003,5.742,0,0.0,-0.445,309.915,-6.334300000000001,35.34,0.0,257.168,0.0,0
46721,0.0,51.719,0.0,0.0,-2.662,348.05740000000003,-79.2,-35.300000000000004,5.742,0,1.0,-0.45,310.005,-1.3196,35.31,0.0,256.836,0.0,0
