Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46824,-0.341,51.719,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,-2.0,-0.48,310.005,1.7155,34.02,0.0,257.832,0.0,0
46824,-0.512,51.719,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,-3.0,-0.435,310.005,1.1464,33.63,0.0,257.832,0.0,0
46824,-0.341,51.719,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,-1.0,-0.435,309.915,-3.8270000000000004,33.24,0.0,257.832,0.0,0
46824,-0.682,51.719,0.0,0.0,-1.754,350.0786,0.0,-0.2,5.742,0,-1.0,-0.455,310.14000000000004,-3.4558,33.69,0.0,257.832,0.0,0
46824,-0.341,51.719,0.0,0.0,-1.754,350.0401,0.0,-3.0,5.742,0,0.0,-0.445,310.005,1.4516,34.32,0.0,257.813,0.0,0
46824,-0.341,51.719,0.0,0.0,-1.754,349.9589,0.0,-6.800000000000001,5.742,0,-1.0,-0.44,310.005,1.3691,35.85,0.0,257.773,0.0,0
46824,-0.171,51.719,0.0,0.0,-1.754,349.76210000000003,-38.5,-10.9,5.742,0,-1.0,-0.445,310.005,-2.2599,36.69,0.0,257.676,0.0,0
46824,-0.512,51.719,0.0,0.0,-1.754,349.44550000000004,-38.5,-18.0,5.742,0,0.0,-0.43,310.14000000000004,0.37120000000000003,36.57,0.0,257.52000000000004,0.0,0
46824,-0.512,51.719,0.0,0.0,-1.754,349.0477,-40.6,-24.1,5.742,0,0.0,-0.445,310.14000000000004,3.3404000000000003,36.27,0.0,257.324,0.0,0
46824,-0.341,51.719,0.0,0.0,-1.754,348.45320000000004,-79.10000000000001,-31.5,5.742,0,0.0,-0.425,310.005,0.7918000000000001,35.1,0.0,257.031,0.0,0
46824,-0.171,51.719,0.0,0.0,-1.754,347.74080000000004,-79.2,-38.4,5.742,0,0.0,-0.485,310.005,-0.7918000000000001,34.71,0.0,256.68,0.0,0
46824,-0.512,51.719,0.0,0.0,-1.754,346.8593,-121.0,-46.5,5.742,0,0.0,-0.435,310.005,-3.3404000000000003,34.44,0.0,256.25,0.0,0
46824,-0.853,51.719,0.0,0.0,-1.754,346.7794,-79.9,-47.300000000000004,5.742,0,0.0,-0.38,310.005,-3.0682,34.44,0.0,256.211,0.0,0
46824,-0.341,51.719,0.0,0.0,-1.754,345.7379,-121.0,-53.6,5.742,0,0.0,-0.41500000000000004,310.14000000000004,2.7713,34.230000000000004,0.0,255.703,0.0,0
46824,-0.341,51.719,0.0,0.0,-1.754,344.5776,-118.9,-60.300000000000004,5.742,0,0.0,-0.45,310.005,-0.2639,34.62,0.0,255.137,0.0,0
46824,-0.512,51.719,0.0,0.0,-1.754,343.2554,-120.9,-66.60000000000001,5.742,0,0.0,-0.46,309.915,-6.0704,34.62,0.0,254.49200000000002,0.0,0
46824,-0.341,51.719,0.0,0.0,-1.754,341.8079,-161.70000000000002,-71.9,5.742,0,-1.0,-0.41500000000000004,310.005,1.1547,34.53,0.0,253.78900000000002,0.0,0
46824,-0.512,51.719,0.0,0.0,-1.754,340.2697,-161.70000000000002,-76.0,5.742,0,-2.0,-0.465,310.005,1.7155,33.480000000000004,0.0,253.04700000000003,0.0,0
46824,-0.682,51.719,0.5,0.0,-1.754,338.6506,-161.70000000000002,-78.5,5.742,0,0.0,-0.435,310.005,-2.4413,34.35,0.0,252.26600000000002,0.0,0
