Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47003,-1.194,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.715,310.005,-3.563,39.300000000000004,0.0,257.832,0.0,0
47003,-1.364,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,1.0,-0.49,310.005,0.9815,38.52,0.0,257.832,0.0,0
47003,-1.194,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,1.0,-0.525,310.005,1.7650000000000001,37.92,0.0,257.832,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,-0.2,5.742,0,1.0,-0.525,310.14000000000004,0.4949,38.01,0.0,257.832,0.0,0
47003,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.331,350.0401,0.0,-3.0,5.742,0,2.0,-0.435,310.005,1.9795,37.83,0.0,257.813,0.0,0
47003,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.331,349.9589,0.0,-6.6000000000000005,5.742,0,0.0,-0.55,310.14000000000004,-2.928,38.34,0.0,257.773,0.0,0
47003,-1.194,67.62700000000001,0.0,0.0,-1.331,349.76210000000003,-38.5,-10.9,5.742,0,0.0,-0.535,310.005,-0.17320000000000002,37.65,0.0,257.676,0.0,0
47003,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.331,349.48400000000004,0.0,-17.8,5.742,0,1.0,-0.49,310.005,-0.6598,37.2,0.0,257.539,0.0,0
47003,-1.364,67.62700000000001,0.0,0.0,-1.331,349.0477,-40.6,-23.900000000000002,5.742,0,-1.0,-0.49,310.005,-3.7115,36.93,0.0,257.324,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,348.4937,-38.6,-31.0,5.742,0,1.0,-0.52,310.005,3.2331000000000003,36.24,0.0,257.051,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,347.7794,-40.6,-38.6,5.742,0,1.0,-0.505,310.005,1.9795,36.57,0.0,256.699,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,346.9003,-80.0,-46.300000000000004,5.742,0,1.0,-0.495,310.005,2.3754,37.71,0.0,256.27000000000004,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,345.8589,-118.9,-52.300000000000004,5.742,0,0.0,-0.495,310.14000000000004,2.9445,38.85,0.0,255.762,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,344.6965,-121.0,-59.7,5.742,0,1.0,-0.495,310.005,-4.0909,39.45,0.0,255.19500000000002,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,344.5776,-118.9,-60.0,5.742,0,1.0,-0.51,310.005,-4.7507,39.39,0.0,255.137,0.0,0
47003,-1.364,67.62700000000001,0.0,0.0,-1.331,343.2554,-159.9,-66.10000000000001,5.742,0,2.0,-0.525,309.915,-5.2786,38.550000000000004,0.0,254.49200000000002,0.0,0
47003,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.331,341.8494,-120.2,-71.9,5.742,0,3.0,-0.46,310.005,-0.9567,38.19,0.0,253.80900000000003,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,340.3091,-163.70000000000002,-76.0,5.742,0,1.0,-0.535,310.005,2.7713,37.47,0.0,253.066,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,338.69,-161.70000000000002,-78.8,5.742,0,1.0,-0.505,309.915,0.0,37.26,0.0,252.28500000000003,0.0,0
47003,-0.853,67.62700000000001,0.0,0.0,-1.331,337.0294,-163.8,-79.8,5.742,0,1.0,-0.51,310.005,-2.7713,36.9,0.0,251.484,0.0,0
47003,-1.364,67.62700000000001,0.0,0.0,-1.331,335.3523,-163.6,-80.60000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,4.3878,36.480000000000004,0.0,250.68400000000003,0.0,0
47003,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.331,333.672,-163.70000000000002,-80.60000000000001,5.742,0,1.0,-0.53,310.14000000000004,6.2023,36.45,0.0,249.883,0.0,0
47003,-1.194,67.62700000000001,0.0,0.0,-1.331,331.9918,-163.6,-80.3,5.742,0,0.0,-0.51,310.005,-3.1672000000000002,35.910000000000004,0.0,249.08200000000002,0.0,0
47003,-1.194,67.62700000000001,0.0,0.0,-1.331,330.2976,-165.70000000000002,-80.10000000000001,5.742,0,0.0,-0.5,310.14000000000004,-1.4516,36.480000000000004,0.0,248.281,0.0,0
47003,-1.364,67.62700000000001,0.0,0.0,-1.331,328.59680000000003,-167.70000000000002,-80.3,5.742,0,0.0,-0.52,310.005,1.9465000000000001,38.19,0.0,247.48000000000002,0.0,0
47003,-1.194,67.62700000000001,0.0,0.0,-1.331,326.8981,-165.6,-79.8,5.742,0,1.0,-0.47500000000000003,310.14000000000004,1.1877,39.09,0.0,246.68,0.0,0
47003,-1.364,67.62700000000001,0.0,0.0,-1.331,325.1888,-167.6,-79.8,5.742,0,1.0,-0.515,310.005,-4.1239,39.54,0.0,245.87900000000002,0.0,0
47003,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.331,323.4669,-167.70000000000002,-79.8,5.742,0,0.0,-0.495,310.005,-0.9238000000000001,38.88,0.0,245.078,0.0,0
47003,-1.194,67.62700000000001,0.0,0.0,-1.331,321.745,-167.70000000000002,-80.10000000000001,5.742,0,1.0,-0.49,310.005,0.099,38.88,0.0,244.27700000000002,0.0,0
47003,-1.194,67.62700000000001,0.0,0.0,-1.331,320.02250000000004,-169.8,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,0.0,37.62,0.0,243.477,0.0,0
