Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46712,0.341,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,0.0,5.737,0,-1.0,-0.1,310.005,-0.3299,35.730000000000004,0.0,257.832,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,0.0,-0.66,310.005,2.5073000000000003,37.17,0.0,257.832,0.0,0
46712,0.512,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,-1.0,-0.535,309.915,-1.0145,38.01,0.0,257.832,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,0.0,-0.48,310.005,-2.7053000000000003,37.77,0.0,257.832,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,-0.5,5.742,0,-1.0,-0.485,310.005,0.39590000000000003,37.59,0.0,257.832,0.0,0
46712,0.341,67.62700000000001,0.0,0.0,-1.754,350.0401,0.0,-3.5,5.742,0,0.0,-0.505,310.005,1.7155,36.99,0.0,257.813,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,349.9203,0.0,-6.800000000000001,5.742,0,-1.0,-0.51,310.005,-2.9032,36.27,0.0,257.754,0.0,0
46712,0.853,67.62700000000001,0.0,0.0,-1.754,349.7215,0.0,-12.700000000000001,5.742,0,-1.0,-0.5,310.005,-1.7155,36.480000000000004,0.0,257.656,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,349.3643,-40.6,-19.3,5.742,0,-1.0,-0.485,309.915,4.305400000000001,36.45,0.0,257.48,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,348.93,-38.6,-25.1,5.742,0,-2.0,-0.5,310.005,1.3691,35.79,0.0,257.266,0.0,0
46712,0.512,67.62700000000001,0.0,0.0,-1.754,348.3355,-79.10000000000001,-33.0,5.742,0,-1.0,-0.51,309.915,-1.5011,35.01,0.0,256.973,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,348.2563,-79.2,-33.800000000000004,5.742,0,0.0,-0.5,309.915,-2.0455,34.92,0.0,256.934,0.0,0
46712,0.512,67.62700000000001,0.5,0.0,-1.754,347.50100000000003,-79.9,-40.4,5.742,0,-2.0,-0.485,310.005,3.0352,35.43,0.0,256.563,0.0,0
46712,0.341,67.62700000000001,-0.5,0.0,-1.754,346.5785,-79.9,-48.800000000000004,5.742,0,0.0,-0.495,310.14000000000004,2.0125,35.97,0.0,256.113,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,345.4981,-120.9,-55.400000000000006,5.742,0,-1.0,-0.48,310.005,-0.2639,36.72,0.0,255.586,0.0,0
46712,0.171,67.62700000000001,0.0,0.0,-1.754,344.2968,-120.9,-61.7,5.742,0,-2.0,-0.5,310.14000000000004,3.0682,38.37,0.0,255.0,0.0,0
46712,0.341,67.62700000000001,-0.5,0.0,-1.754,342.97450000000003,-120.9,-67.60000000000001,5.742,0,-1.0,-0.48,310.14000000000004,2.9032,38.550000000000004,0.0,254.35500000000002,0.0,0
46712,0.171,67.62700000000001,0.5,0.0,-1.754,341.5239,-122.30000000000001,-72.7,5.742,0,-2.0,-0.5,310.005,-1.5836000000000001,38.160000000000004,0.0,253.65200000000002,0.0,0
46712,0.512,67.62700000000001,0.0,0.0,-1.754,339.9463,-161.70000000000002,-76.5,5.742,0,0.0,-0.48,310.005,-2.6393,37.11,0.0,252.89100000000002,0.0,0
46712,0.341,67.62700000000001,0.0,0.0,-1.754,338.3251,-163.8,-79.10000000000001,5.742,0,0.0,-0.5,310.005,-3.8600000000000003,36.6,0.0,252.109,0.0,0
46712,0.341,67.62700000000001,0.0,0.0,-1.754,336.6634,-163.6,-81.3,5.742,0,0.0,-0.48,309.915,-1.5836000000000001,36.09,0.0,251.30900000000003,0.0,0
46712,0.512,67.62700000000001,0.0,0.0,-1.754,334.98310000000004,-163.6,-80.3,5.742,0,-2.0,-0.49,310.14000000000004,4.1239,36.72,0.0,250.508,0.0,0
46712,0.341,67.62700000000001,0.0,0.0,-1.754,333.3028,-163.70000000000002,-79.8,5.742,0,-2.0,-0.495,309.915,-2.2434000000000003,36.69,0.0,249.70700000000002,0.0,0
46712,0.171,67.62700000000001,0.5,0.0,-1.754,331.62260000000003,-163.6,-79.8,5.742,0,-1.0,-0.485,309.915,-4.7507,36.24,0.0,248.906,0.0,0
