Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,-1.0,-0.44,310.005,-0.7918000000000001,35.160000000000004,0.0,257.832,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.465,309.915,-4.0579,34.65,0.0,257.832,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,-2.0,-0.42,310.14000000000004,3.9589000000000003,34.86,0.0,257.832,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.445,309.915,1.9135000000000002,35.160000000000004,0.0,257.832,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,-1.0,-0.43,310.005,-2.5073000000000003,35.79,0.0,257.832,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.485,310.14000000000004,-4.486800000000001,36.81,0.0,257.832,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.455,310.005,3.0352,36.63,0.0,257.832,0.0,0
46612,-0.853,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,310.14000000000004,5.7075000000000005,35.64,0.0,257.832,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.41000000000000003,310.005,0.7918000000000001,35.79,0.0,257.832,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.48,310.005,-2.3754,35.4,0.0,257.832,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,-1.0,-0.445,310.005,-2.7713,36.06,0.0,257.832,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,-0.5,5.742,0,-1.0,-0.41000000000000003,310.005,1.3196,36.87,0.0,257.832,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,350.0401,-38.5,-2.7,5.742,0,0.0,-0.43,310.14000000000004,1.4516,37.050000000000004,0.0,257.813,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,349.9589,0.0,-6.1000000000000005,5.742,0,0.0,-0.445,310.005,0.7918000000000001,36.57,0.0,257.773,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,349.9589,0.0,-6.800000000000001,5.742,0,-1.0,-0.47500000000000003,310.005,0.5279,36.57,0.0,257.773,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,349.76210000000003,-38.5,-11.4,5.742,0,0.0,-0.465,309.915,-1.897,35.4,0.0,257.676,0.0,0
46612,-0.853,67.62700000000001,0.0,0.0,-2.54,349.44550000000004,-38.5,-18.3,5.742,0,0.0,-0.435,310.005,-1.6908,34.65,0.0,257.52000000000004,0.0,0
46612,-0.853,67.62700000000001,0.0,0.0,-2.54,349.0092,-38.5,-24.1,5.742,0,0.0,-0.42,310.005,4.7507,34.26,0.0,257.305,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,348.45320000000004,-40.5,-31.5,5.742,0,-1.0,-0.41500000000000004,310.005,2.1114,34.56,0.0,257.031,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,347.69980000000004,-79.60000000000001,-38.6,5.742,0,0.0,-0.47500000000000003,310.005,-0.9897,35.97,0.0,256.66,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,346.8183,-121.0,-46.7,5.742,0,0.0,-0.465,310.14000000000004,1.9795,37.47,0.0,256.23,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,345.8179,-80.0,-53.1,5.742,0,0.0,-0.465,310.005,0.9897,37.410000000000004,0.0,255.74200000000002,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,344.6166,-120.9,-59.7,5.742,0,-1.0,-0.435,310.005,1.1464,37.2,0.0,255.156,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,343.3353,-121.0,-66.10000000000001,5.742,0,0.0,-0.44,310.005,-1.8887,36.42,0.0,254.531,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,341.88870000000003,-161.70000000000002,-71.2,5.742,0,-2.0,-0.46,310.14000000000004,-0.39590000000000003,36.51,0.0,253.828,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,340.3505,-161.70000000000002,-75.7,5.742,0,0.0,-0.49,310.14000000000004,1.7568000000000001,37.29,0.0,253.086,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,338.7708,-161.70000000000002,-78.8,5.742,0,0.0,-0.46,310.14000000000004,2.5486,37.38,0.0,252.324,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,337.1103,-163.70000000000002,-80.60000000000001,5.742,0,-1.0,-0.455,310.005,0.0247,36.660000000000004,0.0,251.52300000000002,0.0,0
46612,-0.171,67.62700000000001,1.0,0.0,-2.54,335.4341,-163.6,-80.9,5.742,0,0.0,-0.435,310.005,-3.761,35.67,0.0,250.723,0.0,0
46612,-0.682,67.62700000000001,0.0,0.0,-2.54,333.7119,-205.60000000000002,-80.3,5.742,0,0.0,-0.4,310.005,-1.7568000000000001,34.74,0.0,249.90200000000002,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,332.0337,-163.6,-79.8,5.742,0,0.0,-0.485,310.14000000000004,1.2949000000000002,34.65,0.0,249.102,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,330.3401,-206.0,-79.8,5.742,0,0.0,-0.43,310.14000000000004,-1.4764000000000002,36.12,0.0,248.30100000000002,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,328.6393,-208.0,-79.60000000000001,5.742,0,-1.0,-0.485,310.005,-1.0310000000000001,37.44,0.0,247.5,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,326.9809,-165.6,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-1.1877,38.07,0.0,246.71900000000002,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,325.2726,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,2.664,38.07,0.0,245.918,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,323.5507,-167.70000000000002,-79.60000000000001,5.742,0,0.0,-0.44,310.14000000000004,-0.5526,37.14,0.0,245.11700000000002,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,321.82890000000003,-169.8,-80.3,5.742,0,-1.0,-0.445,309.915,-1.8310000000000002,37.08,0.0,244.316,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,320.10740000000004,-169.4,-79.60000000000001,5.742,0,0.0,-0.465,310.005,-2.2187,36.93,0.0,243.51600000000002,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,318.3644,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.41000000000000003,310.005,-1.6001,36.78,0.0,242.715,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,318.19460000000004,-169.8,-80.10000000000001,5.742,0,0.0,-0.425,310.005,-2.6393,36.84,0.0,242.637,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,316.45160000000004,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.43,310.005,2.0455,36.9,0.0,241.836,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,314.7086,-169.70000000000002,-79.8,5.742,0,-1.0,-0.41500000000000004,310.005,0.39590000000000003,36.15,0.0,241.03500000000003,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,312.94640000000004,-174.0,-79.8,5.742,0,1.0,-0.435,310.14000000000004,1.4846000000000001,35.4,0.0,240.234,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,311.1845,-171.8,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,1.5836000000000001,34.89,0.0,239.434,0.0,0
46612,0.0,67.62700000000001,0.0,0.0,-2.54,309.42040000000003,-171.8,-79.8,5.742,0,0.0,-0.445,310.005,-2.3754,34.95,0.0,238.633,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,307.64320000000004,-173.8,-80.10000000000001,5.742,0,-1.0,-0.455,310.005,-1.9795,36.660000000000004,0.0,237.83200000000002,0.0,0
46612,-0.682,67.62700000000001,0.0,0.0,-2.54,305.85830000000004,-173.8,-80.3,5.742,0,0.0,-0.49,310.14000000000004,2.3754,37.68,0.0,237.031,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,304.0735,-176.0,-80.10000000000001,5.742,0,0.0,-0.46,310.005,-0.39590000000000003,38.7,0.0,236.23000000000002,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,302.28360000000004,-175.70000000000002,-80.60000000000001,5.742,0,0.0,-0.455,310.14000000000004,0.6928000000000001,38.160000000000004,0.0,235.43,0.0,0
46612,-0.171,67.62700000000001,0.0,0.0,-2.54,300.4785,-175.8,-79.8,5.742,0,0.0,-0.465,310.005,-1.9795,37.29,0.0,234.62900000000002,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,298.6735,-175.8,-80.10000000000001,5.742,0,0.0,-0.42,310.14000000000004,-3.2661000000000002,36.33,0.0,233.828,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,296.86670000000004,-177.5,-79.60000000000001,5.742,0,0.0,-0.465,310.005,-1.8475000000000001,36.72,0.0,233.02700000000002,0.0,0
46612,-0.512,67.62700000000001,0.0,0.0,-2.54,295.0444,-177.70000000000002,-79.8,5.742,0,0.0,-0.42,310.005,0.2639,35.88,0.0,232.227,0.0,0
46612,-0.341,67.62700000000001,0.0,0.0,-2.54,293.2199,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.465,310.005,-2.7713,35.43,0.0,231.42600000000002,0.0,0
