Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46963,-0.682,83.545,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,0.0,-0.705,310.14000000000004,1.7568000000000001,38.52,0.0,257.832,0.0,0
46963,-3.411,83.545,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,0.0,-0.425,309.915,-1.0392000000000001,38.07,0.0,257.832,0.0,0
46963,0.341,83.545,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,1.0,-0.445,310.005,-5.1219,37.17,0.0,257.832,0.0,0
46963,-5.1160000000000005,83.545,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,1.0,-0.49,310.005,-2.3094,36.21,0.0,257.832,0.0,0
46963,-0.682,83.545,0.0,0.0,-1.754,350.0786,0.0,-1.0,5.742,0,0.0,-0.43,309.915,0.132,35.85,0.0,257.832,0.0,0
46963,-3.922,83.545,0.0,0.0,-1.754,349.9995,-40.6,-4.5,5.742,0,0.0,-0.47000000000000003,310.14000000000004,3.5218000000000003,35.58,0.0,257.793,0.0,0
46963,0.682,83.545,0.0,0.0,-1.754,349.8798,-40.5,-7.9,5.742,0,1.0,-0.48,310.14000000000004,3.2744,35.04,0.0,257.73400000000004,0.0,0
46963,-5.457,83.545,0.0,0.0,-1.754,349.6829,0.0,-13.700000000000001,5.742,0,0.0,-0.46,310.005,0.8413,35.730000000000004,0.0,257.637,0.0,0
46963,-1.0230000000000001,83.545,0.0,0.0,-1.754,349.3258,-38.5,-20.3,5.742,0,0.0,-0.425,310.005,-3.9342,36.09,0.0,257.461,0.0,0
46963,-4.093,83.545,0.0,0.0,-1.754,348.8509,-38.6,-26.700000000000003,5.742,0,1.0,-0.445,310.005,-2.4413,35.730000000000004,0.0,257.22700000000003,0.0,0
46963,0.682,83.545,0.0,0.0,-1.754,348.2157,-79.2,-34.300000000000004,5.742,0,1.0,-0.485,310.005,4.024900000000001,35.04,0.0,256.914,0.0,0
46963,-5.2860000000000005,83.545,0.0,0.0,-1.754,347.41900000000004,-82.0,-41.1,5.742,0,0.0,-0.36,310.005,0.5938,36.09,0.0,256.523,0.0,0
46963,-0.853,83.545,0.0,0.0,-1.754,346.49850000000004,-80.0,-49.1,5.742,0,0.0,-0.46,310.005,-2.5733,36.480000000000004,0.0,256.074,0.0,0
46963,-4.263,83.545,0.0,0.0,-1.754,345.41810000000004,-118.9,-56.2,5.742,0,1.0,-0.525,310.005,-0.6351,37.11,0.0,255.54700000000003,0.0,0
46963,0.512,83.545,0.0,0.0,-1.754,344.21680000000003,-121.0,-62.300000000000004,5.742,0,0.0,-0.46,309.915,0.9402,37.89,0.0,254.961,0.0,0
46963,-4.093,83.545,0.0,0.0,-1.754,342.85560000000004,-159.9,-68.10000000000001,5.742,0,1.0,-0.465,310.14000000000004,1.2289,37.56,0.0,254.29700000000003,0.0,0
