Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46820,-0.171,51.719,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,1.0,-0.56,310.005,-1.7815,36.18,0.0,257.832,0.0,0
46820,-0.341,51.719,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,1.0,-0.47500000000000003,310.005,-1.1217000000000001,36.45,0.0,257.832,0.0,0
46820,-0.341,51.719,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,0.0,-0.5,310.005,2.1362,36.03,0.0,257.832,0.0,0
46820,-0.341,51.719,0.0,0.0,-1.875,350.0786,0.0,-0.2,5.742,0,1.0,-0.505,310.005,-1.1877,35.88,0.0,257.832,0.0,0
46820,-0.341,51.719,0.0,0.0,-1.875,350.0401,0.0,-3.5,5.742,0,2.0,-0.54,310.005,-1.3196,34.980000000000004,0.0,257.813,0.0,0
46820,0.0,51.719,0.0,0.0,-1.875,349.9589,0.0,-6.800000000000001,5.742,0,0.0,-0.49,310.005,1.3196,34.74,0.0,257.773,0.0,0
46820,0.0,51.719,0.0,0.0,-1.875,349.76210000000003,-38.5,-10.9,5.742,0,1.0,-0.485,310.005,1.1877,34.5,0.0,257.676,0.0,0
46820,-0.682,51.719,0.0,0.0,-1.875,349.44550000000004,-38.5,-18.3,5.742,0,1.0,-0.47000000000000003,310.14000000000004,0.767,35.160000000000004,0.0,257.52000000000004,0.0,0
46820,-0.682,51.719,0.0,0.0,-1.875,349.0477,-40.6,-23.900000000000002,5.742,0,1.0,-0.52,309.915,-0.0495,35.28,0.0,257.324,0.0,0
46820,-0.171,51.719,0.0,0.0,-1.875,348.96860000000004,-79.10000000000001,-24.900000000000002,5.742,0,1.0,-0.52,309.915,-0.6598,35.34,0.0,257.285,0.0,0
46820,-0.341,51.719,0.0,0.0,-1.875,348.4146,-38.6,-32.0,5.742,0,0.0,-0.49,310.005,0.0,36.75,0.0,257.012,0.0,0
