Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46787,-0.341,75.586,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,-1.0,-0.67,310.005,-2.1939,34.32,0.0,257.832,0.0,0
46787,-0.341,75.586,-0.5,0.0,-1.573,350.0786,0.0,0.0,5.742,0,-1.0,-0.49,310.005,-0.39590000000000003,34.59,0.0,257.832,0.0,0
46787,-0.341,75.586,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,-1.0,-0.46,310.005,-0.23920000000000002,35.1,0.0,257.832,0.0,0
46787,-0.512,75.586,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,-1.0,-0.5,310.005,-1.3856000000000002,35.13,0.0,257.832,0.0,0
46787,-0.341,75.586,0.0,0.0,-1.573,350.0786,0.0,-1.0,5.742,0,-1.0,-0.505,310.14000000000004,1.3856000000000002,35.19,0.0,257.832,0.0,0
46787,-0.341,75.586,0.0,0.0,-1.573,349.9995,-40.6,-4.5,5.742,0,-1.0,-0.435,310.005,2.3754,35.25,0.0,257.793,0.0,0
46787,-0.341,75.586,0.0,0.0,-1.573,349.8798,-40.5,-8.1,5.742,0,-1.0,-0.465,310.005,-0.2639,35.550000000000004,0.0,257.73400000000004,0.0,0
46787,-0.171,75.586,0.0,0.0,-1.573,349.6829,0.0,-14.200000000000001,5.742,0,-2.0,-0.43,310.14000000000004,-1.3196,34.29,0.0,257.637,0.0,0
46787,-0.512,75.586,0.0,0.0,-1.573,349.3258,-38.5,-19.8,5.742,0,-1.0,-0.51,309.915,-0.8165,33.42,0.0,257.461,0.0,0
46787,-0.512,75.586,0.0,0.0,-1.573,348.8509,-38.6,-26.700000000000003,5.742,0,-1.0,-0.515,310.14000000000004,3.8682000000000003,32.730000000000004,0.0,257.22700000000003,0.0,0
46787,-0.341,75.586,0.0,0.0,-1.573,348.2157,-79.2,-34.300000000000004,5.742,0,-1.0,-0.485,310.005,2.0455,31.86,0.0,256.914,0.0,0
46787,-0.341,75.586,0.0,0.0,-1.573,347.41900000000004,-120.9,-41.1,5.742,0,0.0,-0.505,310.005,1.8310000000000002,31.650000000000002,0.0,256.523,0.0,0
46787,-0.171,75.586,0.0,0.0,-1.573,346.49850000000004,-121.0,-48.800000000000004,5.742,0,-1.0,-0.46,309.915,-6.1611,32.85,0.0,256.074,0.0,0
46787,-0.512,75.586,0.0,0.0,-1.573,346.4186,-79.9,-49.800000000000004,5.742,0,-1.0,-0.495,309.915,-6.5982,33.03,0.0,256.035,0.0,0
