Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46935,-1.705,75.586,0.0,0.0,-1.633,350.0786,0.0,0.2,5.742,0,-1.0,-0.675,310.005,-1.4846000000000001,35.550000000000004,0.0,257.832,0.0,0
46935,-1.194,75.586,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,0.0,-0.4,310.14000000000004,2.3754,34.95,0.0,257.832,0.0,0
46935,-1.5350000000000001,75.586,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,1.0,-0.555,309.915,-0.19790000000000002,34.59,0.0,257.832,0.0,0
46935,-1.364,75.586,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,0.0,-0.585,310.14000000000004,3.1672000000000002,34.86,0.0,257.832,0.0,0
46935,-1.5350000000000001,75.586,0.0,0.0,-1.633,350.0786,0.0,-0.5,5.742,0,0.0,-0.5700000000000001,310.005,-0.165,35.730000000000004,0.0,257.832,0.0,0
46935,-1.5350000000000001,75.586,0.0,0.0,-1.633,350.0401,0.0,-3.5,5.742,0,0.0,-0.56,310.005,-1.7155,36.18,0.0,257.813,0.0,0
46935,-1.5350000000000001,75.586,-0.5,0.0,-1.633,349.9203,0.0,-6.800000000000001,5.742,0,0.0,-0.56,310.005,-5.4435,36.27,0.0,257.754,0.0,0
46935,-1.5350000000000001,75.586,0.0,0.0,-1.633,349.7215,-40.6,-12.4,5.742,0,0.0,-0.555,310.14000000000004,2.5073000000000003,36.42,0.0,257.656,0.0,0
46935,-1.705,75.586,0.5,0.0,-1.633,349.4049,-40.6,-18.8,5.742,0,0.0,-0.585,310.005,1.8475000000000001,35.58,0.0,257.5,0.0,0
46935,-1.705,75.586,-0.5,0.0,-1.633,348.96860000000004,-40.6,-24.700000000000003,5.742,0,0.0,-0.47500000000000003,309.915,-4.3548,35.79,0.0,257.285,0.0,0
