Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47021,-1.0230000000000001,67.62700000000001,-0.5,0.0,-0.242,350.0786,0.0,0.0,5.737,0,1.0,-0.005,310.14000000000004,0.9567,36.72,0.0,257.832,0.0,0
47021,-0.853,67.62700000000001,0.0,0.0,-0.242,350.0786,0.0,0.0,5.742,0,2.0,-0.62,310.14000000000004,6.7302,37.230000000000004,0.0,257.832,0.0,0
47021,-1.364,67.62700000000001,-0.5,0.0,-0.242,350.0786,0.0,0.0,5.742,0,2.0,-0.485,310.005,-3.1672000000000002,38.22,0.0,257.832,0.0,0
47021,-1.194,67.62700000000001,0.0,0.0,-0.242,350.0786,0.0,0.0,5.742,0,1.0,-0.5700000000000001,310.005,-2.9032,40.050000000000004,0.0,257.832,0.0,0
47021,-1.0230000000000001,67.62700000000001,-0.5,0.0,-0.242,350.0786,0.0,-0.5,5.742,0,2.0,-0.5650000000000001,310.005,-1.4846000000000001,40.410000000000004,0.0,257.832,0.0,0
47021,-1.364,67.62700000000001,0.0,0.0,-0.242,350.0401,0.0,-3.8000000000000003,5.742,0,0.0,-0.555,310.005,0.2639,39.75,0.0,257.813,0.0,0
47021,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,350.0401,0.0,-4.1000000000000005,5.742,0,1.0,-0.535,310.14000000000004,1.1629,39.660000000000004,0.0,257.813,0.0,0
47021,-0.853,67.62700000000001,0.0,0.0,-0.242,349.9203,0.0,-7.6000000000000005,5.742,0,1.0,-0.535,310.14000000000004,5.2538,39.09,0.0,257.754,0.0,0
47021,-1.0230000000000001,67.62700000000001,-0.5,0.0,-0.242,349.6829,-38.6,-13.700000000000001,5.742,0,2.0,-0.495,310.005,0.46190000000000003,39.03,0.0,257.637,0.0,0
47021,-1.364,67.62700000000001,0.0,0.0,-0.242,349.3643,-40.6,-19.3,5.742,0,1.0,-0.49,310.005,-4.1569,38.97,0.0,257.48,0.0,0
47021,-1.364,67.62700000000001,0.5,0.0,-0.242,348.8895,-79.10000000000001,-26.1,5.742,0,1.0,-0.515,310.005,-3.4063000000000003,38.34,0.0,257.24600000000004,0.0,0
