Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47033,0.341,75.586,0.0,0.0,-0.968,350.0786,0.0,0.0,5.737,0,2.0,-0.26,309.915,-4.8827,36.12,0.0,257.832,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,2.0,-0.545,310.005,2.9032,35.64,0.0,257.832,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,350.0786,0.0,0.2,5.742,0,2.0,-0.5700000000000001,310.005,2.9692000000000003,35.61,0.0,257.832,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,350.0786,0.0,0.2,5.742,0,2.0,-0.515,310.005,1.1217000000000001,35.76,0.0,257.832,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,2.0,-0.505,310.14000000000004,0.8825000000000001,36.87,0.0,257.832,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,350.0786,0.0,-1.3,5.742,0,2.0,-0.525,310.005,0.9897,38.550000000000004,0.0,257.832,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,349.9995,0.0,-4.8,5.742,0,2.0,-0.52,310.14000000000004,-0.2887,39.18,0.0,257.793,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,349.8798,0.0,-8.6,5.742,0,1.0,-0.515,310.14000000000004,-0.5279,39.87,0.0,257.73400000000004,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,349.60380000000004,-38.5,-15.200000000000001,5.742,0,2.0,-0.515,310.14000000000004,2.2846,39.03,0.0,257.598,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,349.2466,-38.6,-20.5,5.742,0,3.0,-0.515,310.005,-1.8887,38.19,0.0,257.422,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,348.77180000000004,-38.5,-27.700000000000003,5.742,0,2.0,-0.54,309.915,-5.2621,37.62,0.0,257.188,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,348.096,-81.2,-35.300000000000004,5.742,0,2.0,-0.52,309.915,-3.4558,37.92,0.0,256.855,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,348.0168,-79.2,-35.800000000000004,5.742,0,2.0,-0.52,309.915,-3.0022,37.95,0.0,256.81600000000003,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,347.2201,-80.0,-43.5,5.742,0,2.0,-0.51,309.915,-0.5279,38.04,0.0,256.426,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,346.25870000000003,-79.9,-50.1,5.742,0,2.0,-0.515,310.005,0.9897,37.14,0.0,255.95700000000002,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,345.13730000000004,-120.9,-57.900000000000006,5.742,0,3.0,-0.53,310.005,2.6393,36.09,0.0,255.41000000000003,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,343.897,-118.9,-64.10000000000001,5.742,0,2.0,-0.515,310.005,3.3651,36.33,0.0,254.805,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,342.4948,-159.9,-69.7,5.742,0,1.0,-0.5,310.005,0.39590000000000003,37.410000000000004,0.0,254.121,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,340.9973,-163.8,-74.0,5.742,0,3.0,-0.525,310.005,-1.5836000000000001,38.52,0.0,253.39800000000002,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,339.41970000000003,-161.70000000000002,-77.8,5.742,0,2.0,-0.51,310.005,1.9795,40.230000000000004,0.0,252.637,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,337.7985,-163.8,-79.8,5.742,0,1.0,-0.495,309.915,-0.9897,39.63,0.0,251.85500000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,336.1306,-163.6,-80.60000000000001,5.742,0,2.0,-0.525,309.915,-4.6188,39.24,0.0,251.055,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,334.4503,-163.6,-80.60000000000001,5.742,0,2.0,-0.495,310.005,0.0,39.06,0.0,250.25400000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,332.77000000000004,-163.6,-80.3,5.742,0,2.0,-0.505,310.14000000000004,5.4106000000000005,38.730000000000004,0.0,249.453,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,331.0854,-165.6,-80.3,5.742,0,1.0,-0.53,310.005,0.7258,39.15,0.0,248.65200000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,330.87940000000003,-206.0,-79.60000000000001,5.742,0,2.0,-0.525,310.005,0.18150000000000002,39.18,0.0,248.555,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,329.1786,-208.10000000000002,-80.10000000000001,5.742,0,2.0,-0.51,310.005,-2.1774,38.76,0.0,247.75400000000002,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,327.5202,-165.70000000000002,-79.8,5.742,0,2.0,-0.55,310.005,1.0805,37.980000000000004,0.0,246.973,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,325.8186,-166.4,-79.60000000000001,5.742,0,1.0,-0.5,310.005,-0.2639,36.87,0.0,246.17200000000003,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,324.0967,-167.70000000000002,-79.8,5.742,0,2.0,-0.515,310.005,-3.2991,36.93,0.0,245.371,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,322.3749,-167.6,-79.60000000000001,5.742,0,2.0,-0.52,310.005,2.4413,37.74,0.0,244.57000000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,320.6551,-167.70000000000002,-79.8,5.742,0,1.0,-0.55,310.005,2.6888,39.39,0.0,243.77,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,318.9171,-169.70000000000002,-80.3,5.742,0,2.0,-0.52,310.14000000000004,0.37120000000000003,40.92,0.0,242.96900000000002,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,317.1741,-169.70000000000002,-80.3,5.742,0,2.0,-0.51,309.915,-0.2474,40.83,0.0,242.168,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,315.43100000000004,-169.8,-80.10000000000001,5.742,0,1.0,-0.52,310.14000000000004,-5.5673,39.69,0.0,241.36700000000002,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,313.67760000000004,-174.0,-80.10000000000001,5.742,0,1.0,-0.515,310.005,-0.7918000000000001,38.82,0.0,240.566,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,311.9157,-171.8,-79.60000000000001,5.742,0,1.0,-0.52,310.005,6.1859,38.58,0.0,239.76600000000002,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,310.15160000000003,-171.8,-79.8,5.742,0,1.0,-0.51,310.005,-0.2144,38.34,0.0,238.965,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,309.9798,-171.8,-79.60000000000001,5.742,0,2.0,-0.51,310.005,-1.4516,38.31,0.0,238.887,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,308.20910000000003,-173.8,-80.60000000000001,5.742,0,3.0,-0.515,310.005,-3.9589000000000003,37.86,0.0,238.086,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,306.4243,-173.8,-80.3,5.742,0,3.0,-0.53,310.14000000000004,0.7918000000000001,37.86,0.0,237.28500000000003,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,304.6395,-176.0,-80.10000000000001,5.742,0,3.0,-0.51,310.005,2.3754,37.65,0.0,236.484,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,302.8559,-174.8,-80.3,5.742,0,1.0,-0.545,310.005,-1.5836000000000001,37.59,0.0,235.684,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,301.0509,-175.8,-80.10000000000001,5.742,0,2.0,-0.525,309.915,-2.4743,38.22,0.0,234.883,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,299.2459,-175.8,-80.60000000000001,5.742,0,2.0,-0.52,310.14000000000004,2.3754,39.27,0.0,234.08200000000002,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,297.4408,-175.8,-80.10000000000001,5.742,0,2.0,-0.54,310.005,-1.8475000000000001,39.87,0.0,233.281,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,295.6207,-180.0,-80.10000000000001,5.742,0,2.0,-0.51,310.14000000000004,3.1672000000000002,39.96,0.0,232.48000000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,293.7985,-177.6,-79.8,5.742,0,2.0,-0.545,309.915,-0.6268,39.15,0.0,231.68,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,291.974,-177.6,-79.3,5.742,0,2.0,-0.525,310.005,-1.9795,38.49,0.0,230.87900000000002,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,290.1401,-179.5,-79.8,5.742,0,3.0,-0.54,310.14000000000004,0.5279,38.46,0.0,230.078,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,288.297,-179.5,-80.10000000000001,5.742,0,2.0,-0.525,310.005,1.7155,38.88,0.0,229.27700000000002,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,286.4562,-179.5,-79.8,5.742,0,2.0,-0.515,310.14000000000004,-0.3629,39.03,0.0,228.477,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,284.60900000000004,-181.20000000000002,-80.10000000000001,5.742,0,2.0,-0.515,310.005,-1.3196,38.19,0.0,227.67600000000002,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,282.74830000000003,-181.20000000000002,-79.8,5.742,0,2.0,-0.52,309.915,1.1217000000000001,37.74,0.0,226.875,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,280.8876,-181.20000000000002,-80.10000000000001,5.742,0,2.0,-0.535,310.005,-2.9032,37.59,0.0,226.074,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,279.02680000000004,-183.60000000000002,-79.8,5.742,0,2.0,-0.5,309.915,0.8578,38.1,0.0,225.27300000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,277.1526,-182.8,-80.3,5.742,0,2.0,-0.525,310.14000000000004,7.785900000000001,39.03,0.0,224.473,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,275.2753,-182.8,-79.8,5.742,0,2.0,-0.515,310.14000000000004,1.7485000000000002,40.050000000000004,0.0,223.672,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,273.398,-182.8,-79.8,5.742,0,2.0,-0.505,310.005,0.132,40.35,0.0,222.871,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,271.5102,-184.3,-80.10000000000001,5.742,0,3.0,-0.515,309.915,-3.2661000000000002,40.800000000000004,0.0,222.07000000000002,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,269.62010000000004,-184.3,-79.8,5.742,0,2.0,-0.535,310.005,-3.8270000000000004,40.050000000000004,0.0,221.27,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,267.7275,-184.3,-79.8,5.742,0,1.0,-0.505,309.915,-0.46190000000000003,39.6,0.0,220.46900000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,265.8292,-185.60000000000002,-79.60000000000001,5.742,0,2.0,-0.5,310.005,0.0,38.43,0.0,219.668,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,265.6435,-185.70000000000002,-79.3,5.742,0,2.0,-0.515,310.005,-0.0165,38.25,0.0,219.59,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,263.737,-185.70000000000002,-79.8,5.742,0,2.0,-0.525,310.14000000000004,6.837400000000001,37.68,0.0,218.78900000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,261.83050000000003,-185.70000000000002,-79.8,5.742,0,2.0,-0.525,310.005,6.6477,37.2,0.0,217.988,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,259.9234,-186.9,-79.60000000000001,5.742,0,3.0,-0.52,310.14000000000004,-0.0247,37.86,0.0,217.18800000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,258.0043,-186.9,-79.8,5.742,0,1.0,-0.495,310.005,-2.5486,38.1,0.0,216.387,0.0,0
47033,0.171,75.586,0.0,0.0,-0.968,256.0852,-186.9,-79.3,5.742,0,1.0,-0.515,310.14000000000004,0.39590000000000003,39.12,0.0,215.586,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,254.1661,-186.9,-79.60000000000001,5.742,0,2.0,-0.53,309.915,-4.577500000000001,39.75,0.0,214.785,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,252.23620000000003,-190.4,-79.8,5.742,0,2.0,-0.51,309.915,-3.6125000000000003,40.77,0.0,213.984,0.0,0
47033,0.341,75.586,0.0,0.0,-0.968,250.3085,-187.9,-79.60000000000001,5.742,0,1.0,-0.525,310.005,1.3444,41.01,0.0,213.184,0.0,0
47033,0.0,75.586,0.0,0.0,-0.968,248.37830000000002,-188.0,-79.60000000000001,5.742,0,1.0,-0.515,310.14000000000004,4.3136,41.1,0.0,212.383,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,246.44150000000002,-188.9,-79.8,5.742,0,2.0,-0.52,310.005,2.3589,40.11,0.0,211.58200000000002,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,244.5018,-188.9,-79.60000000000001,5.742,0,2.0,-0.51,310.005,-2.0207,39.33,0.0,210.781,0.0,0
47033,0.512,75.586,0.0,0.0,-0.968,242.56210000000002,-191.3,-79.8,5.742,0,2.0,-0.52,310.005,-4.0002,38.67,0.0,209.98000000000002,0.0,0
