Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46746,0.0,51.719,0.0,0.0,-0.726,350.0786,0.0,0.0,5.742,0,0.0,-0.535,310.005,-3.563,35.85,0.0,257.832,0.0,0
46746,-0.512,51.719,0.0,0.0,-0.726,350.0786,0.0,0.0,5.742,0,1.0,-0.45,310.005,-2.1527000000000003,36.27,0.0,257.832,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,350.0786,0.0,0.0,5.742,0,1.0,-0.41500000000000004,310.005,2.1774,35.7,0.0,257.832,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,350.0786,0.0,0.0,5.742,0,0.0,-0.455,310.005,1.9795,35.79,0.0,257.832,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,350.0786,0.0,0.0,5.742,0,1.0,-0.445,310.005,0.0,37.17,0.0,257.832,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,350.0786,0.0,-0.7000000000000001,5.742,0,0.0,-0.41000000000000003,310.005,-3.2991,38.49,0.0,257.832,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,350.0401,0.0,-4.1000000000000005,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-1.1547,38.76,0.0,257.813,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,349.9203,0.0,-7.6000000000000005,5.742,0,1.0,-0.485,309.915,-0.6598,38.31,0.0,257.754,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,349.6829,-38.6,-13.200000000000001,5.742,0,0.0,-0.515,309.915,1.6496000000000002,37.17,0.0,257.637,0.0,0
46746,-0.512,51.719,0.0,0.0,-0.726,349.3643,-40.6,-19.1,5.742,0,0.0,-0.47000000000000003,310.005,1.1877,36.36,0.0,257.48,0.0,0
46746,-0.341,51.719,0.0,0.0,-0.726,348.8895,-79.10000000000001,-26.1,5.742,0,0.0,-0.43,310.005,5.476500000000001,36.63,0.0,257.24600000000004,0.0,0
46746,-0.341,51.719,0.0,0.0,-0.726,348.29490000000004,-79.10000000000001,-33.300000000000004,5.742,0,0.0,-0.45,310.005,-0.132,37.2,0.0,256.95300000000003,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,347.5399,-80.0,-40.7,5.742,0,0.0,-0.435,310.005,-3.9589000000000003,37.29,0.0,256.582,0.0,0
46746,0.171,51.719,0.5,0.0,-0.726,346.6195,-79.9,-48.300000000000004,5.742,0,0.0,-0.465,310.005,0.0,36.81,0.0,256.13300000000004,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,345.53700000000003,-121.0,-54.1,5.742,0,0.0,-0.44,310.005,-1.0557,35.730000000000004,0.0,255.60500000000002,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,344.3378,-159.9,-61.0,5.742,0,0.0,-0.395,310.005,0.2639,35.22,0.0,255.02,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,343.01550000000003,-159.9,-67.3,5.742,0,1.0,-0.47000000000000003,309.915,0.5938,35.49,0.0,254.375,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,341.56530000000004,-161.70000000000002,-72.5,5.742,0,0.0,-0.455,310.005,1.1877,36.45,0.0,253.67200000000003,0.0,0
46746,-0.341,51.719,0.0,0.0,-0.726,340.0271,-161.70000000000002,-76.5,5.742,0,1.0,-0.455,310.005,2.9032,37.77,0.0,252.93,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,338.406,-163.70000000000002,-78.8,5.742,0,0.0,-0.45,309.915,-4.2229,38.43,0.0,252.14800000000002,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,336.7452,-163.6,-80.60000000000001,5.742,0,0.0,-0.435,309.915,-1.7815,38.94,0.0,251.348,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,335.023,-205.5,-80.60000000000001,5.742,0,0.0,-0.45,310.005,5.2786,38.31,0.0,250.52700000000002,0.0,0
46746,-0.341,51.719,0.0,0.0,-0.726,333.3448,-163.6,-79.60000000000001,5.742,0,0.0,-0.455,310.005,1.5176,37.83,0.0,249.727,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,331.66450000000003,-163.70000000000002,-79.8,5.742,0,0.0,-0.495,310.005,-0.132,37.050000000000004,0.0,248.92600000000002,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,329.9664,-165.6,-79.8,5.742,0,1.0,-0.39,310.005,0.0,36.15,0.0,248.125,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,329.80080000000004,-165.6,-79.60000000000001,5.742,0,0.0,-0.41000000000000003,310.005,0.0,36.0,0.0,248.04700000000003,0.0,0
46746,-0.341,51.719,0.0,0.0,-0.726,328.0999,-165.6,-80.3,5.742,0,1.0,-0.445,309.915,-0.5114000000000001,35.67,0.0,247.246,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,326.39910000000003,-165.6,-80.10000000000001,5.742,0,2.0,-0.46,309.915,-2.3589,35.64,0.0,246.44500000000002,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,324.6857,-167.70000000000002,-79.60000000000001,5.742,0,0.0,-0.405,310.005,-0.2639,36.09,0.0,245.645,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,322.9639,-208.5,-79.3,5.742,0,1.0,-0.445,310.005,0.9238000000000001,36.15,0.0,244.84400000000002,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,321.242,-210.70000000000002,-79.8,5.742,0,-1.0,-0.47500000000000003,310.14000000000004,6.425000000000001,37.2,0.0,244.043,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,319.51120000000003,-213.20000000000002,-79.8,5.742,0,1.0,-0.43,309.915,1.5341,37.410000000000004,0.0,243.24200000000002,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,317.7681,-213.3,-79.8,5.742,0,0.0,-0.455,310.005,-4.8167,38.25,0.0,242.441,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,316.0273,-211.10000000000002,-79.3,5.742,0,1.0,-0.455,310.005,-2.6805000000000003,38.61,0.0,241.64100000000002,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,314.28110000000004,-215.8,-80.10000000000001,5.742,0,0.0,-0.445,309.915,0.9238000000000001,38.34,0.0,240.84,0.0,0
46746,-0.171,51.719,0.0,0.0,-0.726,312.517,-215.8,-80.3,5.742,0,0.0,-0.46,310.14000000000004,1.2289,38.550000000000004,0.0,240.03900000000002,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,310.7529,-215.8,-79.60000000000001,5.742,0,2.0,-0.46,310.14000000000004,0.9650000000000001,37.980000000000004,0.0,239.238,0.0,0
46746,0.171,51.719,0.0,0.0,-0.726,309.0328,-171.8,-80.10000000000001,5.742,0,0.0,-0.465,310.005,2.2434000000000003,37.59,0.0,238.45700000000002,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,307.25100000000003,-173.8,-79.8,5.742,0,0.0,-0.46,310.14000000000004,-0.5279,37.5,0.0,237.656,0.0,0
46746,-0.341,51.719,0.0,0.0,-0.726,305.4662,-176.0,-80.10000000000001,5.742,0,0.0,-0.43,310.14000000000004,0.9650000000000001,36.87,0.0,236.85500000000002,0.0,0
46746,0.0,51.719,0.0,0.0,-0.726,303.6836,-173.8,-80.3,5.742,0,1.0,-0.455,309.915,2.4578,36.480000000000004,0.0,236.055,0.0,0
