Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46939,-1.0230000000000001,75.586,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,1.0,-0.665,310.14000000000004,1.8475000000000001,33.15,0.0,257.832,0.0,0
46939,-0.853,75.586,-0.5,0.0,-1.875,350.0786,0.0,0.0,5.742,0,2.0,-0.47000000000000003,310.14000000000004,4.0909,32.76,0.0,257.832,0.0,0
46939,-1.0230000000000001,75.586,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,310.14000000000004,0.0,33.93,0.0,257.832,0.0,0
46939,-1.194,75.586,0.5,0.0,-1.875,350.0786,0.0,-0.2,5.742,0,0.0,-0.495,310.005,-4.0909,35.01,0.0,257.832,0.0,0
46939,-1.194,75.586,-0.5,0.0,-1.875,350.0786,0.0,-1.7000000000000002,5.742,0,0.0,-0.49,309.915,-3.2661000000000002,35.82,0.0,257.832,0.0,0
46939,-0.853,75.586,0.0,0.0,-1.875,349.9995,0.0,-5.3,5.742,0,0.0,-0.49,310.005,-2.2434000000000003,36.57,0.0,257.793,0.0,0
46939,-0.853,75.586,0.5,0.0,-1.875,349.8412,0.0,-9.1,5.742,0,1.0,-0.53,310.005,0.5279,36.660000000000004,0.0,257.71500000000003,0.0,0
46939,-1.0230000000000001,75.586,0.5,0.0,-1.875,349.5632,-40.6,-16.0,5.742,0,1.0,-0.525,310.005,1.8475000000000001,35.52,0.0,257.57800000000003,0.0,0
46939,-1.5350000000000001,75.586,0.0,0.0,-1.875,349.206,-40.6,-21.6,5.742,0,0.0,-0.595,310.005,3.9589000000000003,34.17,0.0,257.402,0.0,0
46939,-1.0230000000000001,75.586,-0.5,0.0,-1.875,348.6906,-40.6,-28.900000000000002,5.742,0,0.0,-0.545,310.14000000000004,4.7507,34.980000000000004,0.0,257.148,0.0,0
