Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47016,-0.853,67.62700000000001,0.0,0.0,-0.908,350.0786,0.0,0.0,5.742,0,2.0,-0.53,310.14000000000004,-2.2022,36.57,0.0,257.832,0.0,0
47016,-0.853,67.62700000000001,0.5,0.0,-0.908,350.0786,0.0,0.0,5.742,0,3.0,-0.525,309.915,3.9754,36.42,0.0,257.832,0.0,0
47016,-0.853,67.62700000000001,-0.5,0.0,-0.908,350.0786,0.0,0.0,5.742,0,3.0,-0.505,310.005,-0.7918000000000001,37.26,0.0,257.832,0.0,0
47016,-0.853,67.62700000000001,-0.5,0.0,-0.908,350.0786,0.0,-0.5,5.742,0,2.0,-0.55,310.14000000000004,-2.862,38.31,0.0,257.832,0.0,0
47016,-1.194,67.62700000000001,-0.5,0.0,-0.908,350.0401,-38.5,-2.7,5.742,0,2.0,-0.5,309.915,5.0147,39.12,0.0,257.813,0.0,0
47016,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.908,349.9589,0.0,-6.300000000000001,5.742,0,2.0,-0.525,310.005,-0.9238000000000001,39.54,0.0,257.773,0.0,0
47016,-1.0230000000000001,67.62700000000001,0.5,0.0,-0.908,349.80060000000003,0.0,-10.700000000000001,5.742,0,2.0,-0.5,310.14000000000004,-3.1672000000000002,38.910000000000004,0.0,257.695,0.0,0
47016,-1.5350000000000001,67.62700000000001,0.5,0.0,-0.908,349.48400000000004,-40.6,-17.0,5.742,0,3.0,-0.5,310.005,5.2786,38.43,0.0,257.539,0.0,0
47016,-1.705,67.62700000000001,0.5,0.0,-0.908,349.0883,-38.6,-22.900000000000002,5.742,0,2.0,-0.54,310.005,-2.1114,38.22,0.0,257.344,0.0,0
47016,-1.364,67.62700000000001,-0.5,0.0,-0.908,348.5323,-40.6,-30.700000000000003,5.742,0,2.0,-0.535,310.005,-6.2023,38.76,0.0,257.07,0.0,0
47016,-1.194,67.62700000000001,0.0,0.0,-0.908,348.45320000000004,-79.10000000000001,-31.3,5.742,0,2.0,-0.52,310.005,-6.334300000000001,38.7,0.0,257.031,0.0,0
