Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46988,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,2.0,-0.655,309.915,1.4021000000000001,35.1,0.0,257.832,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,2.0,-0.555,309.915,-2.7713,35.61,0.0,257.832,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,1.0,-0.47000000000000003,309.915,-8.140600000000001,36.54,0.0,257.832,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,2.0,-0.445,310.005,2.3754,38.04,0.0,257.832,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,350.0786,0.0,-0.7000000000000001,5.742,0,1.0,-0.495,310.005,3.0187,39.18,0.0,257.832,0.0,0
46988,-1.0230000000000001,67.62700000000001,1.0,0.0,-0.968,350.0401,0.0,-3.8000000000000003,5.742,0,1.0,-0.495,310.005,4.5363,38.79,0.0,257.813,0.0,0
46988,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.968,349.9203,0.0,-6.800000000000001,5.742,0,2.0,-0.51,310.14000000000004,0.7011000000000001,37.17,0.0,257.754,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,349.7215,-40.6,-12.700000000000001,5.742,0,1.0,-0.47000000000000003,310.14000000000004,-1.5423,36.0,0.0,257.656,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,349.4049,-40.6,-18.5,5.742,0,1.0,-0.47000000000000003,310.005,2.8372,35.94,0.0,257.5,0.0,0
46988,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.968,348.96860000000004,-40.6,-24.700000000000003,5.742,0,1.0,-0.41500000000000004,309.915,-2.3094,35.910000000000004,0.0,257.285,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,348.374,-40.6,-32.0,5.742,0,2.0,-0.4,310.14000000000004,-4.2229,35.910000000000004,0.0,256.992,0.0,0
46988,-0.853,67.62700000000001,0.0,0.0,-0.968,347.61990000000003,-79.9,-39.9,5.742,0,1.0,-0.45,310.005,4.2229,36.15,0.0,256.62100000000004,0.0,0
46988,-1.364,67.62700000000001,-0.5,0.0,-0.968,346.6994,-118.9,-47.5,5.742,0,2.0,-0.46,310.005,1.0392000000000001,36.09,0.0,256.172,0.0,0
46988,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.968,345.658,-120.9,-54.1,5.742,0,1.0,-0.45,310.14000000000004,-3.6538000000000004,36.06,0.0,255.66400000000002,0.0,0
46988,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.968,344.4977,-118.9,-60.7,5.742,0,1.0,-0.515,310.005,0.8578,36.6,0.0,255.098,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,343.1754,-121.0,-66.9,5.742,0,1.0,-0.49,310.005,-2.7053000000000003,37.11,0.0,254.453,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,341.72700000000003,-161.70000000000002,-72.2,5.742,0,3.0,-0.485,310.14000000000004,1.3196,37.29,0.0,253.75,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,340.1888,-161.70000000000002,-76.3,5.742,0,1.0,-0.46,310.005,3.4311000000000003,37.83,0.0,253.008,0.0,0
46988,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.968,338.5697,-161.70000000000002,-79.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-1.6496000000000002,37.800000000000004,0.0,252.227,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,336.90880000000004,-162.1,-80.3,5.742,0,0.0,-0.47500000000000003,309.915,-3.4146,37.95,0.0,251.42600000000002,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,336.7452,-163.6,-80.3,5.742,0,0.0,-0.48,309.915,-4.2229,38.01,0.0,251.348,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,335.0649,-163.6,-80.60000000000001,5.742,0,0.0,-0.46,310.005,-3.6950000000000003,37.92,0.0,250.54700000000003,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,333.3448,-163.6,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,5.2786,37.050000000000004,0.0,249.727,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,331.66450000000003,-163.70000000000002,-80.10000000000001,5.742,0,1.0,-0.435,310.14000000000004,6.6972000000000005,36.45,0.0,248.92600000000002,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,329.9664,-165.6,-79.8,5.742,0,0.0,-0.48,309.915,-4.7507,36.0,0.0,248.125,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,328.26550000000003,-165.70000000000002,-80.10000000000001,5.742,0,4.0,-0.505,310.005,-5.9714,35.82,0.0,247.324,0.0,0
46988,-1.194,67.62700000000001,0.0,0.0,-0.968,326.5647,-208.10000000000002,-80.10000000000001,5.742,0,0.0,-0.45,310.005,-2.2434000000000003,35.550000000000004,0.0,246.52300000000002,0.0,0
46988,-1.364,67.62700000000001,0.0,0.0,-0.968,324.89430000000004,-167.6,-80.10000000000001,5.742,0,3.0,-0.48,310.005,2.0455,36.27,0.0,245.74200000000002,0.0,0
46988,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.968,323.17240000000004,-169.8,-80.10000000000001,5.742,0,2.0,-0.43,310.14000000000004,4.0909,37.32,0.0,244.941,0.0,0
