Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,1.0,-0.52,309.915,2.8537000000000003,36.480000000000004,0.0,257.832,0.0,0
46984,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,310.005,-1.4021000000000001,38.160000000000004,0.0,257.832,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,0.0,-0.455,310.005,-0.37120000000000003,38.01,0.0,257.832,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,-0.5,5.742,0,0.0,-0.46,309.915,1.0062,37.980000000000004,0.0,257.832,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,350.0401,0.0,-2.7,5.742,0,0.0,-0.455,310.005,0.7918000000000001,37.29,0.0,257.813,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,349.9589,0.0,-6.300000000000001,5.742,0,0.0,-0.445,309.915,1.3609,36.87,0.0,257.773,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,349.76210000000003,-38.5,-11.1,5.742,0,0.0,-0.45,310.14000000000004,4.3796,37.08,0.0,257.676,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,349.48400000000004,-40.6,-17.3,5.742,0,0.0,-0.46,309.915,-1.3444,37.2,0.0,257.539,0.0,0
46984,-1.705,67.62700000000001,0.0,0.0,-1.21,349.0477,-40.6,-23.900000000000002,5.742,0,0.0,-0.445,309.915,-1.6496000000000002,36.24,0.0,257.324,0.0,0
46984,-1.705,67.62700000000001,0.0,0.0,-1.21,348.4937,-79.2,-31.0,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-2.0455,35.160000000000004,0.0,257.051,0.0,0
46984,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.21,347.7794,-79.2,-38.4,5.742,0,0.0,-0.445,309.915,-0.6598,34.5,0.0,256.699,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,346.9393,-79.9,-46.0,5.742,0,0.0,-0.455,310.005,-0.0825,34.95,0.0,256.289,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,345.8979,-120.9,-52.1,5.742,0,0.0,-0.46,309.915,-1.3444,35.910000000000004,0.0,255.781,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,344.7375,-118.9,-59.2,5.742,0,0.0,-0.445,310.005,-0.14850000000000002,37.2,0.0,255.215,0.0,0
46984,-1.705,67.62700000000001,0.0,0.0,-1.21,343.4563,-118.9,-65.60000000000001,5.742,0,0.0,-0.46,309.915,-0.2474,38.79,0.0,254.59,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,342.0504,-161.8,-70.9,5.742,0,0.0,-0.425,309.915,-0.9073,38.34,0.0,253.906,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,340.5122,-161.70000000000002,-74.7,5.742,0,0.0,-0.455,310.005,-0.39590000000000003,37.26,0.0,253.16400000000002,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,338.9325,-161.70000000000002,-78.5,5.742,0,0.0,-0.435,309.915,2.1279,36.87,0.0,252.40200000000002,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,337.274,-161.70000000000002,-80.3,5.742,0,0.0,-0.44,310.005,-0.41240000000000004,36.78,0.0,251.602,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,335.59770000000003,-163.70000000000002,-80.9,5.742,0,0.0,-0.46,310.005,-0.6598,36.99,0.0,250.80100000000002,0.0,0
46984,-1.705,67.62700000000001,0.0,0.0,-1.21,333.8755,-205.60000000000002,-80.3,5.742,0,0.0,-0.425,309.915,2.2434000000000003,36.81,0.0,249.98000000000002,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,332.19730000000004,-203.5,-79.8,5.742,0,0.0,-0.44,310.005,0.2639,36.27,0.0,249.18,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,332.0337,-163.6,-79.60000000000001,5.742,0,0.0,-0.45,310.005,0.5279,36.12,0.0,249.102,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,330.3401,-165.6,-79.60000000000001,5.742,0,0.0,-0.45,310.005,-1.0557,35.25,0.0,248.30100000000002,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,328.6393,-165.6,-79.60000000000001,5.742,0,0.0,-0.46,310.005,1.5836000000000001,34.410000000000004,0.0,247.5,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,326.9384,-208.10000000000002,-79.60000000000001,5.742,0,0.0,-0.515,310.005,1.0557,35.19,0.0,246.699,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,325.2726,-167.70000000000002,-80.10000000000001,5.742,0,1.0,-0.425,310.005,0.0,36.81,0.0,245.918,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,323.5507,-167.70000000000002,-79.8,5.742,0,1.0,-0.49,310.005,-1.0557,37.92,0.0,245.11700000000002,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,321.82890000000003,-169.8,-79.8,5.742,0,0.0,-0.405,310.005,-1.0557,37.62,0.0,244.316,0.0,0
46984,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.21,320.10740000000004,-169.4,-79.8,5.742,0,0.0,-0.455,310.005,0.5279,37.35,0.0,243.51600000000002,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,318.3644,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.445,309.915,-2.9032,36.81,0.0,242.715,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,316.6213,-169.8,-79.8,5.742,0,1.0,-0.425,310.005,0.0,36.51,0.0,241.91400000000002,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,314.8783,-169.70000000000002,-79.60000000000001,5.742,0,0.0,-0.44,310.005,3.6950000000000003,36.33,0.0,241.113,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,313.1204,-171.8,-79.60000000000001,5.742,0,1.0,-0.4,310.005,2.5733,35.67,0.0,240.31300000000002,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,311.35630000000003,-171.8,-79.60000000000001,5.742,0,0.0,-0.465,310.005,0.0,35.34,0.0,239.512,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,309.5922,-171.8,-80.10000000000001,5.742,0,0.0,-0.49,309.915,-2.5733,35.7,0.0,238.711,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,307.817,-173.8,-80.60000000000001,5.742,0,0.0,-0.405,309.915,-4.2229,35.04,0.0,237.91000000000003,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,306.0321,-176.1,-80.10000000000001,5.742,0,0.0,-0.48,310.14000000000004,-0.099,34.800000000000004,0.0,237.109,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,304.2495,-173.8,-80.3,5.742,0,0.0,-0.45,310.005,5.1466,35.49,0.0,236.309,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,302.45930000000004,-175.8,-80.10000000000001,5.742,0,0.0,-0.465,310.005,-1.3856000000000002,36.54,0.0,235.508,0.0,0
46984,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.21,300.65430000000003,-175.8,-80.10000000000001,5.742,0,0.0,-0.46,310.005,-3.0352,37.5,0.0,234.70700000000002,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,298.8493,-175.70000000000002,-80.3,5.742,0,1.0,-0.47000000000000003,310.14000000000004,3.596,37.92,0.0,233.906,0.0,0
46984,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.21,297.0442,-178.10000000000002,-79.8,5.742,0,0.0,-0.48,310.14000000000004,5.6745,37.89,0.0,233.10500000000002,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,295.2221,-177.70000000000002,-79.8,5.742,0,1.0,-0.46,309.915,-2.5733,37.62,0.0,232.305,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,295.0444,-177.70000000000002,-80.3,5.742,0,1.0,-0.51,309.915,-3.2166,37.56,0.0,232.227,0.0,0
46984,-1.194,67.62700000000001,0.0,0.0,-1.21,293.2199,-177.70000000000002,-80.60000000000001,5.742,0,0.0,-0.485,310.005,-4.726,37.230000000000004,0.0,231.42600000000002,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,291.3954,-177.70000000000002,-80.3,5.742,0,0.0,-0.47000000000000003,310.005,3.5218000000000003,36.33,0.0,230.625,0.0,0
46984,-1.364,67.62700000000001,0.0,0.0,-1.21,289.5557,-179.4,-80.10000000000001,5.742,0,0.0,-0.45,310.005,3.2826,36.18,0.0,229.824,0.0,0
46984,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.21,287.7126,-181.70000000000002,-80.10000000000001,5.742,0,1.0,-0.47000000000000003,310.005,-0.9650000000000001,35.76,0.0,229.02300000000002,0.0,0
46984,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.21,285.8718,-179.4,-79.8,5.742,0,1.0,-0.43,309.915,-2.6888,35.910000000000004,0.0,228.223,0.0,0
