Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46970,-0.853,83.545,0.0,0.0,-0.544,350.0786,0.0,0.0,5.742,0,0.0,-0.6900000000000001,310.14000000000004,-1.1877,37.53,0.0,257.832,0.0,0
46970,-0.853,83.545,0.0,0.0,-0.544,350.0786,0.0,0.0,5.742,0,0.0,-0.515,310.005,0.6268,37.980000000000004,0.0,257.832,0.0,0
46970,-0.682,83.545,0.0,0.0,-0.544,350.0786,0.0,0.0,5.742,0,0.0,-0.51,310.14000000000004,4.2229,37.14,0.0,257.832,0.0,0
46970,-0.682,83.545,0.0,0.0,-0.544,350.0786,0.0,-0.2,5.742,0,0.0,-0.44,309.915,-1.6826,36.57,0.0,257.832,0.0,0
46970,-0.853,83.545,0.0,0.0,-0.544,350.0786,0.0,-1.7000000000000002,5.742,0,0.0,-0.495,310.005,-3.9589000000000003,36.39,0.0,257.832,0.0,0
46970,-0.512,83.545,0.0,0.0,-0.544,350.0786,0.0,-2.0,5.742,0,0.0,-0.515,310.005,-4.2229,36.33,0.0,257.832,0.0,0
46970,-0.853,83.545,0.0,0.0,-0.544,349.9995,0.0,-5.3,5.742,0,0.0,-0.5,310.14000000000004,4.2229,36.0,0.0,257.793,0.0,0
46970,0.0,83.545,0.0,0.0,-0.544,349.8412,0.0,-9.1,5.742,0,0.0,-0.495,309.915,2.1114,36.24,0.0,257.71500000000003,0.0,0
46970,-0.853,83.545,0.0,0.0,-0.544,349.5632,-40.6,-15.700000000000001,5.742,0,0.0,-0.47500000000000003,309.915,-6.5817000000000005,36.09,0.0,257.57800000000003,0.0,0
46970,-0.853,83.545,0.0,0.0,-0.544,349.1675,-79.10000000000001,-21.6,5.742,0,1.0,-0.455,310.005,-0.767,35.49,0.0,257.38300000000004,0.0,0
46970,-0.512,83.545,0.0,0.0,-0.544,348.65200000000004,-79.2,-29.200000000000003,5.742,0,0.0,-0.5,310.14000000000004,7.695200000000001,35.04,0.0,257.129,0.0,0
46970,-0.853,83.545,0.0,0.0,-0.544,347.9783,-79.10000000000001,-36.300000000000004,5.742,0,1.0,-0.505,310.005,3.0187,34.5,0.0,256.797,0.0,0
46970,-0.682,83.545,0.0,0.0,-0.544,347.1791,-80.0,-43.5,5.742,0,0.0,-0.485,310.005,-3.629,35.01,0.0,256.406,0.0,0
46970,-0.341,83.545,0.0,0.0,-0.544,346.1787,-121.0,-50.6,5.742,0,0.0,-0.48,310.005,-3.6703,36.24,0.0,255.918,0.0,0
46970,-0.853,83.545,0.0,0.0,-0.544,345.0573,-121.0,-57.7,5.742,0,1.0,-0.49,309.915,-1.0145,37.17,0.0,255.371,0.0,0
46970,-0.171,83.545,-0.5,0.0,-0.544,343.81710000000004,-118.9,-64.3,5.742,0,0.0,-0.5,310.005,1.1217000000000001,37.29,0.0,254.76600000000002,0.0,0
46970,-0.682,83.545,0.0,0.0,-0.544,342.4148,-159.9,-70.4,5.742,0,1.0,-0.485,309.915,-0.9732000000000001,36.54,0.0,254.08200000000002,0.0,0
46970,-0.853,83.545,0.0,0.0,-0.544,340.91650000000004,-163.70000000000002,-74.7,5.742,0,0.0,-0.495,310.005,-2.5898000000000003,36.300000000000004,0.0,253.359,0.0,0
46970,-0.682,83.545,0.0,0.0,-0.544,340.7548,-161.70000000000002,-74.7,5.742,0,0.0,-0.49,310.005,-2.9692000000000003,36.24,0.0,253.281,0.0,0
46970,-0.682,83.545,0.0,0.0,-0.544,339.1771,-161.70000000000002,-78.10000000000001,5.742,0,1.0,-0.495,310.005,1.0557,35.37,0.0,252.52,0.0,0
46970,-0.853,83.545,-0.5,0.0,-0.544,337.55600000000004,-161.70000000000002,-80.10000000000001,5.742,0,1.0,-0.5,310.14000000000004,2.4743,35.76,0.0,251.738,0.0,0
46970,-0.853,83.545,0.5,0.0,-0.544,335.8432,-205.5,-80.60000000000001,5.742,0,0.0,-0.49,310.005,0.9238000000000001,36.06,0.0,250.918,0.0,0
46970,-0.512,83.545,0.0,0.0,-0.544,334.16290000000004,-163.6,-80.3,5.742,0,1.0,-0.485,310.005,-1.3196,35.61,0.0,250.11700000000002,0.0,0
46970,-0.682,83.545,0.0,0.0,-0.544,332.4826,-165.8,-80.60000000000001,5.742,0,1.0,-0.485,310.005,-4.3548,34.92,0.0,249.316,0.0,0
