Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46698,0.171,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.64,310.14000000000004,1.5836000000000001,38.1,0.0,257.832,0.0,0
46698,0.171,67.62700000000001,0.5,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.49,309.915,0.28040000000000004,38.13,0.0,257.832,0.0,0
46698,0.0,67.62700000000001,0.5,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.45,310.005,-3.8930000000000002,37.29,0.0,257.832,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-0.2,5.742,0,0.0,-0.45,309.915,-2.664,36.06,0.0,257.832,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-2.5,5.742,0,0.0,-0.44,310.005,0.5938,35.97,0.0,257.832,0.0,0
46698,0.0,67.62700000000001,0.5,0.0,-1.996,349.9589,-40.6,-5.5,5.742,0,0.0,-0.495,310.005,2.5733,35.76,0.0,257.773,0.0,0
46698,0.341,67.62700000000001,0.0,0.0,-1.996,349.8412,0.0,-9.9,5.742,0,0.0,-0.47500000000000003,310.14000000000004,6.4415000000000004,35.94,0.0,257.71500000000003,0.0,0
46698,0.0,67.62700000000001,0.0,0.0,-1.996,349.5632,-40.6,-16.3,5.742,0,0.0,-0.47000000000000003,310.005,0.19790000000000002,35.94,0.0,257.57800000000003,0.0,0
46698,0.0,67.62700000000001,0.0,0.0,-1.996,349.1675,-38.5,-22.6,5.742,0,0.0,-0.465,310.005,-0.767,35.37,0.0,257.38300000000004,0.0,0
46698,0.0,67.62700000000001,0.0,0.0,-1.996,348.6114,-79.2,-29.200000000000003,5.742,0,0.0,-0.455,309.915,-2.4661,35.07,0.0,257.10900000000004,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,347.9377,-79.10000000000001,-37.1,5.742,0,0.0,-0.425,310.14000000000004,-0.5938,34.71,0.0,256.777,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,347.0992,-120.9,-43.9,5.742,0,0.0,-0.485,309.915,3.5136000000000003,34.89,0.0,256.367,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,347.0192,-80.0,-45.0,5.742,0,0.0,-0.41000000000000003,309.915,2.7053000000000003,34.86,0.0,256.32800000000003,0.0,0
46698,0.341,67.62700000000001,-0.5,0.0,-1.996,346.0188,-118.9,-52.1,5.742,0,0.0,-0.44,310.14000000000004,5.0147,35.79,0.0,255.84,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,344.8564,-121.0,-58.7,5.742,0,0.0,-0.435,310.14000000000004,-1.3196,37.11,0.0,255.27300000000002,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,343.6162,-120.9,-65.10000000000001,5.742,0,0.0,-0.445,310.005,0.132,37.86,0.0,254.668,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,342.2122,-122.30000000000001,-70.7,5.742,0,0.0,-0.445,310.005,-1.7485000000000002,36.99,0.0,253.984,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,340.6739,-161.70000000000002,-75.3,5.742,0,0.0,-0.445,309.915,-4.3548,36.42,0.0,253.24200000000002,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,339.0942,-163.8,-78.3,5.742,0,0.0,-0.41500000000000004,310.005,3.4311000000000003,35.730000000000004,0.0,252.48000000000002,0.0,0
46698,0.171,67.62700000000001,-0.5,0.0,-1.996,337.4357,-161.70000000000002,-79.8,5.742,0,0.0,-0.39,310.005,-0.132,35.4,0.0,251.68,0.0,0
46698,0.341,67.62700000000001,-0.5,0.0,-1.996,335.76140000000004,-163.6,-80.60000000000001,5.742,0,0.0,-0.5,310.005,1.7815,35.4,0.0,250.87900000000002,0.0,0
46698,0.171,67.62700000000001,-0.5,0.0,-1.996,334.0811,-163.6,-80.60000000000001,5.742,0,0.0,-0.465,310.005,1.7155,35.160000000000004,0.0,250.078,0.0,0
46698,0.341,67.62700000000001,-0.5,0.0,-1.996,332.4008,-163.6,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,1.4846000000000001,34.95,0.0,249.27700000000002,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,330.7138,-165.6,-80.3,5.742,0,0.0,-0.42,310.005,0.7918000000000001,34.56,0.0,248.477,0.0,0
46698,0.0,67.62700000000001,0.0,0.0,-1.996,329.01300000000003,-165.6,-80.10000000000001,5.742,0,0.0,-0.465,310.005,-5.806500000000001,34.83,0.0,247.67600000000002,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,327.31210000000004,-165.70000000000002,-79.60000000000001,5.742,0,0.0,-0.48,310.14000000000004,0.0,35.13,0.0,246.875,0.0,0
46698,0.171,67.62700000000001,0.5,0.0,-1.996,325.60790000000003,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.45,310.14000000000004,3.8600000000000003,36.24,0.0,246.074,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,323.8861,-169.8,-79.8,5.742,0,0.0,-0.505,310.005,0.2639,36.84,0.0,245.27300000000002,0.0,0
46698,0.0,67.62700000000001,0.5,0.0,-1.996,323.71840000000003,-167.70000000000002,-79.60000000000001,5.742,0,0.0,-0.485,310.14000000000004,0.767,36.96,0.0,245.19500000000002,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,321.99870000000004,-167.6,-80.10000000000001,5.742,0,0.0,-0.42,310.005,1.3444,37.47,0.0,244.395,0.0,0
46698,0.171,67.62700000000001,-0.5,0.0,-1.996,320.27680000000004,-167.70000000000002,-79.60000000000001,5.742,0,0.0,-0.455,310.005,-0.9650000000000001,37.38,0.0,243.59400000000002,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,318.5341,-169.70000000000002,-79.8,5.742,0,0.0,-0.455,310.005,-0.5938,36.84,0.0,242.793,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,316.79110000000003,-169.70000000000002,-79.8,5.742,0,0.0,-0.44,310.005,0.5938,35.82,0.0,241.99200000000002,0.0,0
46698,0.171,67.62700000000001,0.0,0.0,-1.996,315.048,-172.0,-80.10000000000001,5.742,0,0.0,-0.45,310.005,0.9897,35.19,0.0,241.191,0.0,0
46698,0.0,67.62700000000001,0.0,0.0,-1.996,313.29220000000004,-171.8,-79.60000000000001,5.742,0,0.0,-0.48,310.14000000000004,3.9342,35.61,0.0,240.39100000000002,0.0,0
46698,0.0,67.62700000000001,0.5,0.0,-1.996,311.5281,-171.8,-79.8,5.742,0,0.0,-0.5,310.14000000000004,1.3856000000000002,35.46,0.0,239.59,0.0,0
46698,0.171,67.62700000000001,0.5,0.0,-1.996,309.764,-171.8,-80.10000000000001,5.742,0,0.0,-0.46,309.915,-1.897,35.37,0.0,238.78900000000002,0.0,0
46698,0.0,67.62700000000001,0.0,0.0,-1.996,307.99080000000004,-173.8,-79.8,5.742,0,0.0,-0.445,310.005,-5.4518,35.19,0.0,237.988,0.0,0
46698,0.171,67.62700000000001,-0.5,0.0,-1.996,306.20820000000003,-173.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-3.1672000000000002,35.19,0.0,237.18800000000002,0.0,0
46698,-0.171,67.62700000000001,0.0,0.0,-1.996,304.42330000000004,-173.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,1.6496000000000002,35.52,0.0,236.387,0.0,0
46698,0.341,67.62700000000001,0.0,0.0,-1.996,302.6351,-175.8,-79.8,5.742,0,0.0,-0.465,310.005,-0.7258,36.15,0.0,235.586,0.0,0
46698,0.0,67.62700000000001,-0.5,0.0,-1.996,300.8301,-175.70000000000002,-80.10000000000001,5.742,0,0.0,-0.46,309.915,-2.8207,36.57,0.0,234.78500000000003,0.0,0
