Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46827,-0.341,51.719,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,-1.0,-0.49,310.005,-0.132,36.81,0.0,257.832,0.0,0
46827,0.0,51.719,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,-2.0,-0.55,309.915,2.1774,36.24,0.0,257.832,0.0,0
46827,-0.341,51.719,0.5,0.0,-1.633,350.0786,0.0,0.0,5.742,0,0.0,-0.46,309.915,-5.4106000000000005,35.13,0.0,257.832,0.0,0
46827,-0.171,51.719,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,309.915,-5.1714,35.04,0.0,257.832,0.0,0
46827,-0.341,51.719,0.5,0.0,-1.633,350.0786,0.0,-0.2,5.742,0,1.0,-0.535,310.005,-4.8827,34.77,0.0,257.832,0.0,0
46827,-0.171,51.719,0.5,0.0,-1.633,350.0786,0.0,-2.5,5.742,0,-1.0,-0.51,310.14000000000004,4.9734,34.35,0.0,257.832,0.0,0
46827,-0.171,51.719,0.0,0.0,-1.633,349.9589,-40.6,-5.800000000000001,5.742,0,0.0,-0.505,310.005,2.1609000000000003,34.5,0.0,257.773,0.0,0
46827,0.0,51.719,0.0,0.0,-1.633,349.8412,0.0,-9.6,5.742,0,0.0,-0.5,310.005,-2.4413,35.88,0.0,257.71500000000003,0.0,0
46827,-0.171,51.719,0.5,0.0,-1.633,349.5632,-40.6,-16.5,5.742,0,-1.0,-0.52,310.005,-3.2331000000000003,37.29,0.0,257.57800000000003,0.0,0
46827,-0.512,51.719,-0.5,0.0,-1.633,349.1675,-38.5,-21.6,5.742,0,1.0,-0.52,309.915,0.28040000000000004,37.83,0.0,257.38300000000004,0.0,0
46827,-0.171,51.719,0.0,0.0,-1.633,348.6114,-79.2,-28.900000000000002,5.742,0,0.0,-0.505,310.005,0.7753,37.29,0.0,257.10900000000004,0.0,0
46827,-0.171,51.719,0.5,0.0,-1.633,347.9377,-79.10000000000001,-36.9,5.742,0,1.0,-0.525,310.005,2.9692000000000003,36.09,0.0,256.777,0.0,0
46827,-0.341,51.719,0.0,0.0,-1.633,347.0992,-120.9,-44.2,5.742,0,0.0,-0.5,310.14000000000004,3.0104,35.4,0.0,256.367,0.0,0
46827,-0.341,51.719,0.5,0.0,-1.633,346.1377,-82.0,-50.6,5.742,0,-1.0,-0.49,310.14000000000004,-1.4764000000000002,35.52,0.0,255.89800000000002,0.0,0
