Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46767,-0.341,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,1.0,-0.535,310.005,-4.1569,39.9,0.0,257.832,0.0,0
46767,-0.171,51.719,-0.5,0.0,-0.846,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,310.005,-4.8580000000000005,39.42,0.0,257.832,0.0,0
46767,-0.341,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,1.0,-0.445,310.14000000000004,5.6992,38.7,0.0,257.832,0.0,0
46767,-0.341,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,0.0,-0.445,310.14000000000004,3.1919,38.61,0.0,257.832,0.0,0
46767,-0.171,51.719,0.0,0.0,-0.846,350.0786,0.0,-2.0,5.742,0,1.0,-0.42,310.005,-1.1217000000000001,38.910000000000004,0.0,257.832,0.0,0
46767,0.171,51.719,0.5,0.0,-0.846,349.9995,0.0,-5.1000000000000005,5.742,0,2.0,-0.505,310.14000000000004,1.1877,38.64,0.0,257.793,0.0,0
46767,-0.512,51.719,0.5,0.0,-0.846,349.9995,0.0,-5.5,5.742,0,0.0,-0.485,310.14000000000004,2.1114,38.58,0.0,257.793,0.0,0
46767,-0.512,51.719,0.0,0.0,-0.846,349.8412,0.0,-9.6,5.742,0,1.0,-0.49,310.005,-2.2764,37.74,0.0,257.71500000000003,0.0,0
46767,-0.512,51.719,-0.5,0.0,-0.846,349.5632,-40.6,-16.3,5.742,0,1.0,-0.465,309.915,-3.2991,36.42,0.0,257.57800000000003,0.0,0
46767,0.171,51.719,0.0,0.0,-0.846,349.1675,-38.5,-21.900000000000002,5.742,0,1.0,-0.44,310.005,-0.9567,36.54,0.0,257.38300000000004,0.0,0
46767,-0.512,51.719,0.0,0.0,-0.846,348.65200000000004,-38.6,-29.200000000000003,5.742,0,0.0,-0.46,310.14000000000004,3.563,36.75,0.0,257.129,0.0,0
46767,-0.512,51.719,0.0,0.0,-0.846,347.9783,-79.10000000000001,-36.9,5.742,0,1.0,-0.465,310.14000000000004,3.2661000000000002,37.230000000000004,0.0,256.797,0.0,0
46767,-0.341,51.719,0.0,0.0,-0.846,347.1402,-79.9,-43.9,5.742,0,1.0,-0.505,310.14000000000004,2.7713,38.67,0.0,256.387,0.0,0
46767,-0.341,51.719,-0.5,0.0,-0.846,346.1787,-80.0,-50.6,5.742,0,1.0,-0.47500000000000003,309.915,-2.4743,39.24,0.0,255.918,0.0,0
46767,0.0,51.719,0.5,0.0,-0.846,345.0573,-80.0,-58.2,5.742,0,2.0,-0.41000000000000003,309.915,-6.5982,39.9,0.0,255.371,0.0,0
46767,-0.341,51.719,0.0,0.0,-0.846,343.77610000000004,-120.9,-64.5,5.742,0,1.0,-0.435,310.14000000000004,0.0,39.480000000000004,0.0,254.746,0.0,0
46767,-0.171,51.719,0.0,0.0,-0.846,342.4148,-121.0,-70.10000000000001,5.742,0,1.0,-0.44,310.14000000000004,4.6188,38.910000000000004,0.0,254.08200000000002,0.0,0
46767,-0.341,51.719,0.5,0.0,-0.846,340.87710000000004,-161.70000000000002,-74.7,5.742,0,1.0,-0.485,310.005,0.9897,38.28,0.0,253.34,0.0,0
46767,-0.512,51.719,0.0,0.0,-0.846,339.29740000000004,-161.70000000000002,-77.8,5.742,0,1.0,-0.45,310.14000000000004,-1.1877,38.31,0.0,252.578,0.0,0
46767,0.171,51.719,0.0,0.0,-0.846,337.67830000000004,-161.70000000000002,-80.3,5.742,0,1.0,-0.47000000000000003,309.915,-0.3629,37.980000000000004,0.0,251.79700000000003,0.0,0
46767,-0.171,51.719,0.0,0.0,-0.846,336.0068,-163.6,-80.9,5.742,0,1.0,-0.445,310.14000000000004,1.4516,37.38,0.0,250.996,0.0,0
46767,-0.341,51.719,0.0,0.0,-0.846,334.2867,-163.6,-80.9,5.742,0,2.0,-0.41500000000000004,310.005,-0.165,36.45,0.0,250.17600000000002,0.0,0
46767,-0.171,51.719,0.0,0.0,-0.846,332.6064,-163.6,-80.10000000000001,5.742,0,2.0,-0.405,310.005,0.6598,36.03,0.0,249.375,0.0,0
46767,-0.512,51.719,0.0,0.0,-0.846,330.9198,-165.6,-80.3,5.742,0,0.0,-0.45,310.14000000000004,0.0,37.14,0.0,248.574,0.0,0
46767,-0.171,51.719,0.0,0.0,-0.846,329.2189,-167.8,-79.8,5.742,0,1.0,-0.495,310.005,-0.132,38.58,0.0,247.77300000000002,0.0,0
46767,-0.341,51.719,0.0,0.0,-0.846,327.5202,-165.70000000000002,-80.10000000000001,5.742,0,1.0,-0.51,310.005,0.7918000000000001,39.21,0.0,246.973,0.0,0
46767,-0.171,51.719,0.0,0.0,-0.846,325.8186,-166.4,-80.10000000000001,5.742,0,1.0,-0.495,310.14000000000004,0.9238000000000001,39.72,0.0,246.17200000000003,0.0,0
46767,-0.512,51.719,0.5,0.0,-0.846,324.0967,-210.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-1.6826,39.36,0.0,245.371,0.0,0
46767,-0.171,51.719,0.0,0.0,-0.846,322.3749,-210.60000000000002,-80.3,5.742,0,1.0,-0.465,309.915,-2.1114,38.88,0.0,244.57000000000002,0.0,0
46767,-0.341,51.719,0.0,0.0,-0.846,320.6551,-208.60000000000002,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-0.2639,38.22,0.0,243.77,0.0,0
