Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46813,-0.853,51.719,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,1.0,-0.625,309.915,1.9300000000000002,35.7,0.0,257.832,0.0,0
46813,-0.682,51.719,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,3.0,-0.47500000000000003,310.005,-0.46190000000000003,35.76,0.0,257.832,0.0,0
46813,-0.341,51.719,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,2.0,-0.495,310.14000000000004,1.0310000000000001,35.64,0.0,257.832,0.0,0
46813,-0.512,51.719,0.0,0.0,-1.633,350.0786,0.0,0.0,5.742,0,3.0,-0.48,310.005,1.2372,36.03,0.0,257.832,0.0,0
46813,-0.512,51.719,0.0,0.0,-1.633,350.0786,0.0,-1.0,5.742,0,2.0,-0.47000000000000003,310.005,1.3196,35.34,0.0,257.832,0.0,0
46813,-0.512,51.719,0.0,0.0,-1.633,350.0786,0.0,-1.5,5.742,0,2.0,-0.47000000000000003,310.005,1.0557,35.28,0.0,257.832,0.0,0
46813,-0.512,51.719,0.0,0.0,-1.633,349.9995,0.0,-5.1000000000000005,5.742,0,3.0,-0.46,309.915,-0.8908,34.53,0.0,257.793,0.0,0
46813,-0.171,51.719,0.0,0.0,-1.633,349.8412,-38.6,-9.1,5.742,0,0.0,-0.485,310.005,-0.7918000000000001,33.9,0.0,257.71500000000003,0.0,0
46813,-0.341,51.719,0.0,0.0,-1.633,349.60380000000004,-38.5,-15.200000000000001,5.742,0,1.0,-0.465,310.14000000000004,3.596,33.84,0.0,257.598,0.0,0
46813,-0.341,51.719,0.0,0.0,-1.633,349.206,-79.2,-21.3,5.742,0,1.0,-0.465,310.005,2.6393,33.660000000000004,0.0,257.402,0.0,0
46813,-0.853,51.719,0.0,0.0,-1.633,348.7312,-40.6,-27.900000000000002,5.742,0,3.0,-0.46,310.005,-3.1672000000000002,34.53,0.0,257.168,0.0,0
46813,-0.341,51.719,0.0,0.0,-1.633,348.05740000000003,-79.2,-35.800000000000004,5.742,0,1.0,-0.5,310.005,-2.7713,35.76,0.0,256.836,0.0,0
46813,-0.512,51.719,0.0,0.0,-1.633,347.2591,-79.9,-42.7,5.742,0,1.0,-0.44,310.005,0.0,37.74,0.0,256.445,0.0,0
46813,-0.512,51.719,0.0,0.0,-1.633,346.29970000000003,-79.9,-49.800000000000004,5.742,0,2.0,-0.485,310.005,-1.9795,37.77,0.0,255.977,0.0,0
46813,-0.512,51.719,0.0,0.0,-1.633,345.17830000000004,-118.9,-57.5,5.742,0,2.0,-0.48,309.915,-0.9897,37.11,0.0,255.43,0.0,0
46813,-0.341,51.719,0.0,0.0,-1.633,343.93600000000004,-120.9,-63.800000000000004,5.742,0,1.0,-0.51,310.23,3.8270000000000004,36.09,0.0,254.824,0.0,0
46813,-0.341,51.719,0.0,0.0,-1.633,342.5747,-159.9,-69.7,5.742,0,1.0,-0.395,310.005,1.8475000000000001,36.0,0.0,254.16000000000003,0.0,0
46813,-0.682,51.719,0.0,0.0,-1.633,341.0802,-161.70000000000002,-74.5,5.742,0,1.0,-0.425,310.005,-0.132,35.64,0.0,253.43800000000002,0.0,0
46813,-0.682,51.719,0.0,0.0,-1.633,339.5005,-161.70000000000002,-77.8,5.742,0,2.0,-0.47000000000000003,310.005,-4.0579,34.980000000000004,0.0,252.67600000000002,0.0,0
46813,-0.341,51.719,0.0,0.0,-1.633,337.8815,-161.70000000000002,-80.3,5.742,0,1.0,-0.46,310.005,1.7155,34.95,0.0,251.895,0.0,0
46813,-0.341,51.719,0.0,0.0,-1.633,336.2124,-163.6,-80.9,5.742,0,1.0,-0.485,310.14000000000004,2.5403000000000002,34.62,0.0,251.09400000000002,0.0,0
