Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,350.0786,0.0,0.0,5.742,0,1.0,-0.61,310.005,2.7548,35.85,0.0,257.832,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,350.0786,0.0,0.0,5.742,0,1.0,-0.45,310.005,0.9073,35.85,0.0,257.832,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.445,310.005,-1.0557,36.09,0.0,257.832,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,350.0786,0.0,0.0,5.742,0,1.0,-0.49,310.005,1.5836000000000001,37.59,0.0,257.832,0.0,0
47001,-0.682,67.62700000000001,0.0,0.0,-1.3920000000000001,350.0786,0.0,-0.5,5.742,0,1.0,-0.495,309.915,1.0722,38.61,0.0,257.832,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,350.0401,0.0,-3.5,5.742,0,2.0,-0.445,310.14000000000004,1.2289,39.15,0.0,257.813,0.0,0
47001,-0.512,67.62700000000001,0.0,0.0,-1.3920000000000001,349.9203,0.0,-6.800000000000001,5.742,0,1.0,-0.47500000000000003,310.005,1.3856000000000002,38.61,0.0,257.754,0.0,0
47001,-0.512,67.62700000000001,0.0,0.0,-1.3920000000000001,349.7215,-40.6,-12.200000000000001,5.742,0,1.0,-0.425,310.005,0.7258,37.89,0.0,257.656,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,349.4049,-40.6,-18.5,5.742,0,1.0,-0.425,310.005,-2.1527000000000003,37.17,0.0,257.5,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,348.96860000000004,-40.6,-24.900000000000002,5.742,0,1.0,-0.42,310.005,0.0,36.78,0.0,257.285,0.0,0
47001,-0.682,67.62700000000001,0.0,0.0,-1.3920000000000001,348.374,-40.6,-32.800000000000004,5.742,0,1.0,-0.47000000000000003,310.005,0.0,36.33,0.0,256.992,0.0,0
47001,-0.682,67.62700000000001,0.0,0.0,-1.3920000000000001,347.61990000000003,-79.9,-39.7,5.742,0,1.0,-0.495,310.005,0.0,35.79,0.0,256.62100000000004,0.0,0
47001,-0.341,67.62700000000001,0.0,0.0,-1.3920000000000001,346.6994,-118.9,-47.5,5.742,0,1.0,-0.48,310.14000000000004,0.767,35.94,0.0,256.172,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,345.658,-120.9,-54.1,5.742,0,1.0,-0.49,310.005,-0.066,36.0,0.0,255.66400000000002,0.0,0
47001,-0.682,67.62700000000001,0.0,0.0,-1.3920000000000001,344.4977,-118.9,-60.300000000000004,5.742,0,1.0,-0.485,310.005,-2.4413,37.11,0.0,255.098,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,343.1754,-121.0,-66.9,5.742,0,1.0,-0.455,310.005,-1.7815,37.68,0.0,254.453,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,341.72700000000003,-161.70000000000002,-72.5,5.742,0,2.0,-0.495,310.14000000000004,-0.0247,38.07,0.0,253.75,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,340.1888,-161.70000000000002,-76.3,5.742,0,1.0,-0.49,310.005,1.5011,38.61,0.0,253.008,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,340.0271,-161.70000000000002,-76.8,5.742,0,1.0,-0.495,310.005,0.9238000000000001,38.64,0.0,252.93,0.0,0
47001,-0.682,67.62700000000001,0.0,0.0,-1.3920000000000001,338.406,-163.70000000000002,-79.3,5.742,0,1.0,-0.48,309.915,0.8578,38.19,0.0,252.14800000000002,0.0,0
47001,-0.682,67.62700000000001,0.0,0.0,-1.3920000000000001,336.7452,-163.6,-80.9,5.742,0,1.0,-0.48,310.005,-3.9589000000000003,37.95,0.0,251.348,0.0,0
47001,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.3920000000000001,335.0649,-163.6,-80.9,5.742,0,1.0,-0.49,310.005,-1.8475000000000001,37.92,0.0,250.54700000000003,0.0,0
47001,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.3920000000000001,333.3448,-163.6,-80.10000000000001,5.742,0,2.0,-0.455,309.915,1.9795,37.14,0.0,249.727,0.0,0
47001,-0.682,67.62700000000001,0.0,0.0,-1.3920000000000001,331.66450000000003,-163.70000000000002,-80.10000000000001,5.742,0,1.0,-0.485,310.005,-1.5836000000000001,36.9,0.0,248.92600000000002,0.0,0
47001,-0.512,67.62700000000001,0.0,0.0,-1.3920000000000001,329.9664,-165.6,-79.3,5.742,0,0.0,-0.465,310.005,-0.9238000000000001,36.27,0.0,248.125,0.0,0
47001,-0.512,67.62700000000001,0.0,0.0,-1.3920000000000001,328.26550000000003,-165.70000000000002,-80.3,5.742,0,1.0,-0.48,310.005,2.5733,35.64,0.0,247.324,0.0,0
47001,-0.341,67.62700000000001,0.0,0.0,-1.3920000000000001,326.5647,-208.10000000000002,-80.3,5.742,0,1.0,-0.47500000000000003,310.005,0.0,35.730000000000004,0.0,246.52300000000002,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,324.89430000000004,-167.6,-79.8,5.742,0,2.0,-0.46,309.915,0.3299,36.21,0.0,245.74200000000002,0.0,0
47001,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.3920000000000001,323.17240000000004,-169.8,-80.10000000000001,5.742,0,1.0,-0.47000000000000003,310.005,-0.132,36.93,0.0,244.941,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,321.4527,-167.6,-80.3,5.742,0,0.0,-0.49,309.915,-3.1012,37.62,0.0,244.14100000000002,0.0,0
47001,-0.512,67.62700000000001,0.0,0.0,-1.3920000000000001,319.7244,-169.70000000000002,-80.10000000000001,5.742,0,1.0,-0.485,310.005,3.0352,37.47,0.0,243.34,0.0,0
47001,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.3920000000000001,317.9814,-169.70000000000002,-80.10000000000001,5.742,0,1.0,-0.46,310.005,4.486800000000001,38.13,0.0,242.53900000000002,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,316.2384,-169.70000000000002,-80.10000000000001,5.742,0,2.0,-0.47500000000000003,310.005,-0.7918000000000001,38.43,0.0,241.738,0.0,0
47001,-0.853,67.62700000000001,-1.0,0.0,-1.3920000000000001,314.49690000000004,-170.3,-80.10000000000001,5.742,0,1.0,-0.49,310.005,2.3754,37.68,0.0,240.93800000000002,0.0,0
47001,-0.853,67.62700000000001,1.0,0.0,-1.3920000000000001,312.7328,-171.8,-80.10000000000001,5.742,0,0.0,-0.485,309.915,-0.132,36.81,0.0,240.137,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,310.9687,-171.8,-79.8,5.742,0,1.0,-0.495,310.005,-2.1114,35.88,0.0,239.336,0.0,0
47001,-0.512,67.62700000000001,1.0,0.0,-1.3920000000000001,309.2046,-171.8,-80.3,5.742,0,1.0,-0.495,309.915,-1.0557,35.46,0.0,238.53500000000003,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,307.4248,-176.0,-80.10000000000001,5.742,0,1.0,-0.465,310.005,0.46190000000000003,35.31,0.0,237.734,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,305.6422,-173.8,-79.8,5.742,0,1.0,-0.485,310.005,0.7918000000000001,35.19,0.0,236.934,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,303.85740000000004,-173.8,-80.3,5.742,0,1.0,-0.46,310.005,0.9897,36.42,0.0,236.133,0.0,0
47001,-0.853,67.62700000000001,0.0,0.0,-1.3920000000000001,302.0627,-175.8,-80.60000000000001,5.742,0,1.0,-0.465,309.915,-1.8475000000000001,37.410000000000004,0.0,235.33200000000002,0.0,0
47001,-0.682,67.62700000000001,1.0,0.0,-1.3920000000000001,300.2577,-175.8,-80.3,5.742,0,2.0,-0.465,310.14000000000004,-0.6268,38.46,0.0,234.531,0.0,0
47001,-0.682,67.62700000000001,1.0,0.0,-1.3920000000000001,298.4527,-178.0,-80.10000000000001,5.742,0,1.0,-0.47500000000000003,309.915,-1.4516,39.0,0.0,233.73000000000002,0.0,0
47001,-0.853,67.62700000000001,1.0,0.0,-1.3920000000000001,296.64570000000003,-177.70000000000002,-80.10000000000001,5.742,0,1.0,-0.495,310.005,0.7258,38.07,0.0,232.93,0.0,0
