Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46797,-0.853,75.586,-0.5,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.455,310.14000000000004,0.6928000000000001,33.33,0.0,257.832,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,310.005,0.0,32.43,0.0,257.832,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.46,310.005,-3.1672000000000002,32.88,0.0,257.832,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.515,310.005,-6.0704,35.31,0.0,257.832,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,350.0786,0.0,-1.0,5.742,0,0.0,-0.51,310.005,0.0,37.08,0.0,257.832,0.0,0
46797,-1.194,75.586,0.0,0.0,-1.5130000000000001,350.0786,0.0,-1.7000000000000002,5.742,0,0.0,-0.49,310.005,0.132,37.14,0.0,257.832,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,349.9995,0.0,-5.1000000000000005,5.742,0,1.0,-0.49,310.005,2.8372,36.9,0.0,257.793,0.0,0
46797,-0.853,75.586,0.0,0.0,-1.5130000000000001,349.8412,-38.6,-9.4,5.742,0,0.0,-0.49,309.915,1.4681,36.42,0.0,257.71500000000003,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,349.60380000000004,-38.5,-15.5,5.742,0,0.0,-0.465,310.005,-2.1114,35.46,0.0,257.598,0.0,0
46797,-1.194,75.586,0.0,0.0,-1.5130000000000001,349.2466,-38.6,-20.8,5.742,0,0.0,-0.505,310.005,-2.2846,34.59,0.0,257.422,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,348.7312,-79.10000000000001,-27.900000000000002,5.742,0,0.0,-0.49,310.005,2.3589,34.26,0.0,257.168,0.0,0
46797,-0.682,75.586,0.0,0.0,-1.5130000000000001,348.096,-40.6,-35.1,5.742,0,0.0,-0.485,310.005,0.5114000000000001,33.9,0.0,256.855,0.0,0
46797,-0.682,75.586,0.0,0.0,-1.5130000000000001,347.2591,-120.9,-42.7,5.742,0,0.0,-0.44,310.005,0.0,34.11,0.0,256.445,0.0,0
46797,-0.682,75.586,0.0,0.0,-1.5130000000000001,346.29970000000003,-118.9,-50.6,5.742,0,0.0,-0.44,309.915,-1.4351,34.26,0.0,255.977,0.0,0
46797,-1.0230000000000001,75.586,0.5,0.0,-1.5130000000000001,345.2172,-121.0,-57.5,5.742,0,0.0,-0.49,310.005,-2.3754,34.32,0.0,255.449,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,343.97700000000003,-118.9,-64.10000000000001,5.742,0,0.0,-0.445,309.915,-2.6228000000000002,33.84,0.0,254.84400000000002,0.0,0
46797,-0.682,75.586,0.0,0.0,-1.5130000000000001,342.6157,-118.9,-69.4,5.742,0,0.0,-0.485,309.915,2.4413,34.14,0.0,254.18,0.0,0
46797,-0.853,75.586,0.0,0.0,-1.5130000000000001,341.1196,-161.70000000000002,-74.5,5.742,0,0.0,-0.515,310.005,2.1609000000000003,34.86,0.0,253.45700000000002,0.0,0
46797,-0.853,75.586,0.5,0.0,-1.5130000000000001,339.5399,-161.70000000000002,-77.8,5.742,0,0.0,-0.485,310.005,0.18150000000000002,36.39,0.0,252.69500000000002,0.0,0
46797,-0.853,75.586,0.0,0.0,-1.5130000000000001,337.9209,-161.70000000000002,-79.8,5.742,0,0.0,-0.485,310.005,0.5526,36.24,0.0,251.91400000000002,0.0,0
46797,-0.853,75.586,0.5,0.0,-1.5130000000000001,336.2522,-163.6,-80.9,5.742,0,0.0,-0.52,310.005,0.9238000000000001,36.0,0.0,251.113,0.0,0
46797,-0.682,75.586,0.0,0.0,-1.5130000000000001,334.5321,-163.6,-80.10000000000001,5.742,0,0.0,-0.51,310.14000000000004,2.664,35.79,0.0,250.293,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,332.8518,-163.70000000000002,-79.8,5.742,0,0.0,-0.465,310.005,3.563,35.82,0.0,249.49200000000002,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,331.1682,-167.8,-80.3,5.742,0,0.0,-0.48,309.915,-3.2826,35.97,0.0,248.691,0.0,0
46797,-1.0230000000000001,75.586,-0.5,0.0,-1.5130000000000001,331.00260000000003,-165.6,-80.3,5.742,0,0.0,-0.47500000000000003,309.915,-3.9589000000000003,35.88,0.0,248.613,0.0,0
46797,-0.853,75.586,0.5,0.0,-1.5130000000000001,329.3039,-165.6,-80.10000000000001,5.742,0,0.0,-0.44,310.005,-3.596,34.95,0.0,247.81300000000002,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,327.603,-165.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,6.8622000000000005,34.11,0.0,247.012,0.0,0
46797,-1.194,75.586,0.5,0.0,-1.5130000000000001,325.9022,-165.6,-79.3,5.742,0,0.0,-0.48,310.005,0.7258,34.14,0.0,246.211,0.0,0
46797,-0.682,75.586,0.5,0.0,-1.5130000000000001,324.1806,-167.70000000000002,-80.60000000000001,5.742,0,0.0,-0.485,309.915,-4.7507,34.35,0.0,245.41000000000003,0.0,0
46797,-1.0230000000000001,75.586,0.5,0.0,-1.5130000000000001,322.4587,-169.8,-80.10000000000001,5.742,0,0.0,-0.515,310.14000000000004,2.1114,34.53,0.0,244.609,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,320.73900000000003,-167.6,-80.10000000000001,5.742,0,0.0,-0.455,310.005,1.0557,35.07,0.0,243.809,0.0,0
46797,-0.853,75.586,0.0,0.0,-1.5130000000000001,319.002,-169.70000000000002,-79.8,5.742,0,0.0,-0.535,310.005,-0.3299,35.4,0.0,243.008,0.0,0
46797,-1.0230000000000001,75.586,-0.5,0.0,-1.5130000000000001,317.25890000000004,-169.8,-79.8,5.742,0,0.0,-0.43,310.005,-2.3754,36.12,0.0,242.20700000000002,0.0,0
46797,-0.853,75.586,-0.5,0.0,-1.5130000000000001,315.5159,-169.70000000000002,-80.3,5.742,0,0.0,-0.47000000000000003,309.915,-1.2537,36.51,0.0,241.406,0.0,0
46797,-1.0230000000000001,75.586,-0.5,0.0,-1.5130000000000001,313.7635,-174.0,-80.3,5.742,0,0.0,-0.44,310.005,-0.132,36.09,0.0,240.60500000000002,0.0,0
46797,-0.512,75.586,0.0,0.0,-1.5130000000000001,312.0016,-171.8,-79.8,5.742,0,0.0,-0.45,310.14000000000004,0.4289,35.88,0.0,239.805,0.0,0
46797,-1.194,75.586,0.5,0.0,-1.5130000000000001,310.2375,-171.8,-79.8,5.742,0,0.0,-0.445,310.005,2.7713,35.550000000000004,0.0,239.00400000000002,0.0,0
46797,-0.853,75.586,0.0,0.0,-1.5130000000000001,308.4698,-218.4,-79.8,5.742,0,0.0,-0.52,310.005,1.5836000000000001,35.76,0.0,238.203,0.0,0
46797,-0.682,75.586,-0.5,0.0,-1.5130000000000001,306.685,-218.4,-80.10000000000001,5.742,0,0.0,-0.515,309.915,-3.9589000000000003,35.07,0.0,237.40200000000002,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,304.9024,-216.20000000000002,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-0.5279,34.86,0.0,236.602,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,304.7264,-176.0,-80.10000000000001,5.742,0,0.0,-0.43,310.005,-0.46190000000000003,34.74,0.0,236.52300000000002,0.0,0
46797,-0.853,75.586,0.0,0.0,-1.5130000000000001,302.9438,-173.8,-79.8,5.742,0,0.0,-0.48,310.14000000000004,-0.0247,33.39,0.0,235.723,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,301.1388,-220.8,-80.10000000000001,5.742,0,0.0,-0.51,310.14000000000004,3.6538000000000004,33.78,0.0,234.92200000000003,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,299.3338,-220.8,-80.10000000000001,5.742,0,0.0,-0.45,310.14000000000004,4.66,33.33,0.0,234.121,0.0,0
46797,-0.853,75.586,0.0,0.0,-1.5130000000000001,297.5287,-220.9,-80.10000000000001,5.742,0,0.0,-0.43,310.005,-2.5238,34.56,0.0,233.32000000000002,0.0,0
46797,-0.853,75.586,-0.5,0.0,-1.5130000000000001,295.71180000000004,-221.0,-80.3,5.742,0,0.0,-0.45,310.005,-4.2641,35.94,0.0,232.52,0.0,0
46797,-1.0230000000000001,75.586,-0.5,0.0,-1.5130000000000001,293.88730000000004,-221.0,-80.3,5.742,0,0.0,-0.485,310.005,-3.6043000000000003,36.15,0.0,231.71900000000002,0.0,0
46797,-1.194,75.586,0.5,0.0,-1.5130000000000001,292.1084,-177.6,-80.10000000000001,5.742,0,0.0,-0.485,310.14000000000004,-1.0805,35.67,0.0,230.93800000000002,0.0,0
46797,-0.341,75.586,0.0,0.0,-1.5130000000000001,290.27590000000004,-179.4,-80.3,5.742,0,0.0,-0.485,309.915,0.7423000000000001,35.43,0.0,230.137,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,288.4328,-179.5,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-3.2331000000000003,35.43,0.0,229.336,0.0,0
46797,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,286.5897,-179.5,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,-3.1177,35.7,0.0,228.53500000000003,0.0,0
46797,-0.512,75.586,0.0,0.0,-1.5130000000000001,284.7438,-183.5,-80.10000000000001,5.742,0,0.0,-0.495,309.915,3.1672000000000002,35.67,0.0,227.734,0.0,0
