Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46738,0.341,51.719,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,2.0,-0.585,309.915,-0.7918000000000001,37.65,0.0,257.832,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,4.0,-0.45,310.005,3.3651,38.01,0.0,257.832,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,2.0,-0.49,310.14000000000004,5.5838,37.410000000000004,0.0,257.832,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,3.0,-0.435,310.14000000000004,2.0042,36.72,0.0,257.832,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,350.0786,0.0,-1.0,5.742,0,3.0,-0.405,310.005,-3.6043000000000003,35.76,0.0,257.832,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,350.0401,0.0,-4.5,5.742,0,2.0,-0.51,310.005,-0.3052,35.25,0.0,257.813,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,349.8798,-40.5,-7.9,5.742,0,2.0,-0.425,310.005,1.3856000000000002,34.92,0.0,257.73400000000004,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,349.6829,-38.6,-13.9,5.742,0,3.0,-0.465,310.005,-1.1877,35.85,0.0,257.637,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,349.3258,-38.5,-19.3,5.742,0,3.0,-0.435,310.005,-2.5486,36.51,0.0,257.461,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,348.8509,-38.6,-26.400000000000002,5.742,0,2.0,-0.495,310.005,2.5733,37.83,0.0,257.22700000000003,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,348.2563,-38.6,-33.800000000000004,5.742,0,2.0,-0.445,310.005,0.5938,37.56,0.0,256.934,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,347.46000000000004,-79.9,-40.9,5.742,0,2.0,-0.435,310.005,-1.3856000000000002,37.44,0.0,256.543,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,346.53950000000003,-80.0,-48.800000000000004,5.742,0,2.0,-0.43,310.005,-0.767,36.81,0.0,256.094,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,345.4571,-120.9,-55.400000000000006,5.742,0,3.0,-0.45,310.005,0.0,36.84,0.0,255.566,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,344.2558,-120.9,-62.0,5.742,0,3.0,-0.445,310.005,0.0,36.39,0.0,254.98000000000002,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,344.1369,-118.9,-62.5,5.742,0,2.0,-0.45,310.005,0.0,36.33,0.0,254.92200000000003,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,342.7756,-118.9,-68.9,5.742,0,2.0,-0.405,310.005,-1.0557,35.97,0.0,254.258,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,341.28130000000004,-161.70000000000002,-73.2,5.742,0,2.0,-0.445,309.915,-1.5836000000000001,35.730000000000004,0.0,253.53500000000003,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,339.7431,-161.70000000000002,-77.3,5.742,0,2.0,-0.45,310.005,0.0,35.01,0.0,252.793,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,338.0826,-203.10000000000002,-79.8,5.742,0,2.0,-0.43,310.005,3.0352,35.04,0.0,251.99200000000002,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,336.4158,-165.8,-80.60000000000001,5.742,0,2.0,-0.43,310.005,1.5176,35.07,0.0,251.191,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,334.7377,-163.6,-80.3,5.742,0,2.0,-0.435,310.005,-1.7155,36.9,0.0,250.39100000000002,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,333.05740000000003,-163.6,-79.8,5.742,0,2.0,-0.465,310.005,1.5836000000000001,37.65,0.0,249.59,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,331.3763,-164.5,-79.60000000000001,5.742,0,2.0,-0.465,309.915,-1.8475000000000001,37.92,0.0,248.78900000000002,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,329.6755,-165.6,-80.3,5.742,0,2.0,-0.45,310.005,-1.5836000000000001,37.95,0.0,247.988,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,327.9768,-165.6,-79.8,5.742,0,2.0,-0.46,310.005,3.0352,37.08,0.0,247.18800000000002,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,326.27590000000004,-165.6,-79.8,5.742,0,3.0,-0.47000000000000003,310.005,2.5733,36.57,0.0,246.387,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,324.5589,-167.70000000000002,-79.10000000000001,5.742,0,3.0,-0.455,309.915,-1.8475000000000001,37.32,0.0,245.586,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,322.837,-167.70000000000002,-80.10000000000001,5.742,0,3.0,-0.46,310.005,3.4311000000000003,37.44,0.0,244.78500000000003,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,321.1152,-169.8,-79.60000000000001,5.742,0,2.0,-0.44,310.14000000000004,1.5836000000000001,37.44,0.0,243.984,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,319.3849,-169.8,-80.3,5.742,0,2.0,-0.435,310.005,-4.8167,36.87,0.0,243.184,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,317.6419,-169.8,-79.8,5.742,0,2.0,-0.47000000000000003,310.005,-1.1877,36.24,0.0,242.383,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,315.8989,-169.70000000000002,-80.10000000000001,5.742,0,3.0,-0.465,310.005,-1.4846000000000001,35.43,0.0,241.58200000000002,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,314.15110000000004,-171.8,-79.8,5.742,0,3.0,-0.405,310.14000000000004,0.132,35.34,0.0,240.781,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,312.387,-174.0,-80.3,5.742,0,1.0,-0.46,310.14000000000004,3.8600000000000003,36.72,0.0,239.98000000000002,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,310.62510000000003,-171.8,-80.10000000000001,5.742,0,2.0,-0.46,309.915,-0.2639,38.04,0.0,239.18,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,308.861,-171.8,-80.10000000000001,5.742,0,2.0,-0.465,310.005,-1.2207000000000001,38.37,0.0,238.37900000000002,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,307.0772,-173.8,-79.60000000000001,5.742,0,3.0,-0.44,310.005,0.6598,38.4,0.0,237.578,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,305.2924,-218.3,-80.10000000000001,5.742,0,2.0,-0.44,310.005,-1.3856000000000002,37.410000000000004,0.0,236.77700000000002,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,303.50980000000004,-173.8,-79.8,5.742,0,1.0,-0.445,310.005,-1.7155,36.57,0.0,235.977,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,303.3337,-176.1,-79.60000000000001,5.742,0,1.0,-0.44,310.005,-1.7815,36.51,0.0,235.89800000000002,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,301.53540000000004,-175.8,-80.10000000000001,5.742,0,2.0,-0.44,310.005,1.7155,36.45,0.0,235.098,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,299.73040000000003,-175.70000000000002,-79.3,5.742,0,3.0,-0.45,310.14000000000004,-2.1362,36.660000000000004,0.0,234.297,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,297.9253,-175.8,-79.60000000000001,5.742,0,3.0,-0.43,310.005,3.2991,36.96,0.0,233.496,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,296.1104,-177.70000000000002,-79.8,5.742,0,2.0,-0.455,310.005,3.761,36.33,0.0,232.69500000000002,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,294.2882,-177.70000000000002,-80.10000000000001,5.742,0,1.0,-0.45,310.005,-4.0414,35.31,0.0,231.895,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,292.4637,-177.70000000000002,-80.10000000000001,5.742,0,1.0,-0.425,310.14000000000004,-4.3136,34.68,0.0,231.09400000000002,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,290.63480000000004,-225.5,-79.8,5.742,0,2.0,-0.455,310.005,1.1217000000000001,35.82,0.0,230.293,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,288.7917,-225.5,-79.60000000000001,5.742,0,3.0,-0.425,310.14000000000004,2.6146000000000003,37.56,0.0,229.49200000000002,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,286.9486,-225.5,-80.3,5.742,0,2.0,-0.445,309.915,-0.5279,38.37,0.0,228.691,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,285.1078,-223.20000000000002,-79.8,5.742,0,1.0,-0.43,310.005,-2.2434000000000003,39.06,0.0,227.89100000000002,0.0,0
46738,0.341,51.719,0.0,0.0,-1.754,283.2919,-183.5,-79.8,5.742,0,1.0,-0.455,310.005,-3.7775000000000003,38.58,0.0,227.109,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,281.43350000000004,-181.20000000000002,-79.8,5.742,0,2.0,-0.43,310.005,-1.5341,37.89,0.0,226.309,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,279.5727,-181.20000000000002,-79.8,5.742,0,3.0,-0.45,310.005,0.1155,36.42,0.0,225.508,0.0,0
46738,0.0,51.719,0.0,0.0,-1.754,277.701,-182.8,-80.10000000000001,5.742,0,2.0,-0.455,310.005,0.9238000000000001,36.78,0.0,224.70700000000002,0.0,0
46738,0.171,51.719,0.0,0.0,-1.754,275.82370000000003,-182.8,-80.10000000000001,5.742,0,2.0,-0.455,309.915,-0.9238000000000001,36.78,0.0,223.906,0.0,0
