Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46611,0.341,67.62700000000001,0.5,0.0,-2.48,350.0786,0.0,0.0,5.742,0,0.0,-0.48,310.14000000000004,-2.4743,35.58,0.0,257.832,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,350.0786,0.0,0.0,5.742,0,0.0,-0.49,310.14000000000004,-2.2434000000000003,36.12,0.0,257.832,0.0,0
46611,0.171,67.62700000000001,0.5,0.0,-2.48,350.0786,0.0,0.0,5.742,0,0.0,-0.41000000000000003,310.005,3.5301,36.660000000000004,0.0,257.832,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,350.0786,0.0,0.0,5.742,0,-1.0,-0.47000000000000003,310.14000000000004,-1.1877,37.29,0.0,257.832,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,350.0786,0.0,0.0,5.742,0,-1.0,-0.47500000000000003,310.005,-3.0682,36.660000000000004,0.0,257.832,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,350.0786,0.0,0.0,5.742,0,0.0,-0.465,310.14000000000004,1.1877,36.27,0.0,257.832,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,350.0786,0.0,0.0,5.742,0,0.0,-0.46,310.005,-3.0682,36.42,0.0,257.832,0.0,0
46611,0.341,67.62700000000001,0.0,0.0,-2.48,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,310.005,0.7918000000000001,37.08,0.0,257.832,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,310.005,0.8908,37.5,0.0,257.832,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,350.0786,0.0,-1.3,5.742,0,0.0,-0.47500000000000003,310.005,-1.5836000000000001,37.83,0.0,257.832,0.0,0
46611,0.512,67.62700000000001,0.0,0.0,-2.48,350.0401,0.0,-4.5,5.742,0,0.0,-0.48,310.005,2.3754,36.75,0.0,257.813,0.0,0
46611,0.512,67.62700000000001,-0.5,0.0,-2.48,349.8798,-40.5,-8.1,5.742,0,0.0,-0.47500000000000003,310.005,0.0,35.97,0.0,257.73400000000004,0.0,0
46611,-0.171,67.62700000000001,0.0,0.0,-2.48,349.6829,0.0,-13.700000000000001,5.742,0,0.0,-0.47000000000000003,310.005,0.0,35.46,0.0,257.637,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,349.3258,-38.5,-20.1,5.742,0,0.0,-0.47500000000000003,310.005,0.0,35.43,0.0,257.461,0.0,0
46611,0.0,67.62700000000001,-0.5,0.0,-2.48,348.8509,-38.6,-26.400000000000002,5.742,0,1.0,-0.485,310.14000000000004,-0.099,35.61,0.0,257.22700000000003,0.0,0
46611,0.341,67.62700000000001,0.0,0.0,-2.48,348.2157,-79.2,-33.5,5.742,0,1.0,-0.465,310.005,1.5836000000000001,36.06,0.0,256.914,0.0,0
46611,0.512,67.62700000000001,0.5,0.0,-2.48,347.46000000000004,-79.9,-41.7,5.742,0,0.0,-0.48,310.14000000000004,-0.8908,37.14,0.0,256.543,0.0,0
46611,0.171,67.62700000000001,-0.5,0.0,-2.48,346.49850000000004,-121.0,-48.5,5.742,0,0.0,-0.47000000000000003,310.14000000000004,1.1877,37.35,0.0,256.074,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,345.4571,-79.9,-55.7,5.742,0,2.0,-0.46,310.14000000000004,3.8600000000000003,37.2,0.0,255.566,0.0,0
46611,0.341,67.62700000000001,0.5,0.0,-2.48,344.21680000000003,-121.0,-62.0,5.742,0,1.0,-0.465,310.005,-2.3754,36.51,0.0,254.961,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,342.8945,-121.0,-67.9,5.742,0,-1.0,-0.49,310.005,0.099,36.51,0.0,254.316,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,341.40360000000004,-161.70000000000002,-72.7,5.742,0,-1.0,-0.47500000000000003,310.14000000000004,0.0,36.660000000000004,0.0,253.59400000000002,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,339.8654,-161.70000000000002,-77.0,5.742,0,1.0,-0.47500000000000003,309.915,-1.7815,36.99,0.0,252.852,0.0,0
46611,0.171,67.62700000000001,0.5,0.0,-2.48,338.2443,-161.70000000000002,-79.60000000000001,5.742,0,0.0,-0.46,310.005,-1.5836000000000001,36.99,0.0,252.07000000000002,0.0,0
46611,0.512,67.62700000000001,0.0,0.0,-2.48,336.58160000000004,-163.6,-80.60000000000001,5.742,0,0.0,-0.455,310.005,-0.165,34.77,0.0,251.27,0.0,0
46611,0.171,67.62700000000001,0.5,0.0,-2.48,336.4158,-165.8,-80.9,5.742,0,0.0,-0.48,310.005,0.2887,34.68,0.0,251.191,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,334.6957,-163.6,-80.9,5.742,0,1.0,-0.47000000000000003,310.005,4.2064,34.08,0.0,250.371,0.0,0
46611,0.0,67.62700000000001,-0.5,0.0,-2.48,333.01550000000003,-163.6,-79.60000000000001,5.742,0,1.0,-0.47000000000000003,310.005,-1.1877,34.26,0.0,249.57000000000002,0.0,0
46611,0.512,67.62700000000001,0.0,0.0,-2.48,331.336,-164.9,-80.3,5.742,0,1.0,-0.455,310.005,1.1877,34.89,0.0,248.77,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,329.6351,-165.70000000000002,-79.60000000000001,5.742,0,1.0,-0.465,310.14000000000004,1.9795,36.03,0.0,247.96900000000002,0.0,0
46611,0.171,67.62700000000001,-0.5,0.0,-2.48,327.9343,-165.6,-79.8,5.742,0,0.0,-0.46,310.005,3.9589000000000003,37.11,0.0,247.168,0.0,0
46611,0.341,67.62700000000001,0.0,0.0,-2.48,326.2334,-165.70000000000002,-79.60000000000001,5.742,0,0.0,-0.48,309.915,-2.7960000000000003,37.92,0.0,246.36700000000002,0.0,0
46611,0.0,67.62700000000001,-0.5,0.0,-2.48,324.5159,-169.8,-79.3,5.742,0,2.0,-0.47500000000000003,310.005,-3.8022,37.92,0.0,245.566,0.0,0
46611,0.171,67.62700000000001,-0.5,0.0,-2.48,322.7962,-208.5,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,-0.9650000000000001,37.2,0.0,244.76600000000002,0.0,0
46611,0.341,67.62700000000001,0.0,0.0,-2.48,321.0743,-210.70000000000002,-80.10000000000001,5.742,0,0.0,-0.49,310.14000000000004,2.4661,36.75,0.0,243.965,0.0,0
46611,-0.171,67.62700000000001,0.0,0.0,-2.48,319.3414,-213.3,-80.10000000000001,5.742,0,-1.0,-0.445,310.005,3.7857000000000003,36.39,0.0,243.16400000000002,0.0,0
46611,0.171,67.62700000000001,0.5,0.0,-2.48,317.5984,-213.3,-79.60000000000001,5.742,0,-1.0,-0.48,309.915,1.2042000000000002,36.33,0.0,242.363,0.0,0
46611,0.341,67.62700000000001,-0.5,0.0,-2.48,315.8575,-211.10000000000002,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-2.1362,36.12,0.0,241.56300000000002,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,314.1093,-213.60000000000002,-80.10000000000001,5.742,0,-1.0,-0.47500000000000003,310.14000000000004,-1.3444,34.77,0.0,240.762,0.0,0
46611,0.171,67.62700000000001,-0.5,0.0,-2.48,312.34520000000003,-215.8,-79.8,5.742,0,1.0,-0.48,310.005,3.1424000000000003,33.99,0.0,239.961,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,310.5811,-215.8,-80.10000000000001,5.742,0,-2.0,-0.47000000000000003,310.14000000000004,-0.3299,34.71,0.0,239.16000000000003,0.0,0
46611,0.341,67.62700000000001,0.0,0.0,-2.48,308.861,-171.8,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,1.3609,35.7,0.0,238.37900000000002,0.0,0
46611,0.171,67.62700000000001,0.5,0.0,-2.48,307.0772,-173.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,0.6598,36.93,0.0,237.578,0.0,0
46611,0.341,67.62700000000001,0.5,0.0,-2.48,305.2924,-173.8,-80.3,5.742,0,-1.0,-0.47000000000000003,310.14000000000004,-3.7857000000000003,37.59,0.0,236.77700000000002,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,305.1186,-173.8,-80.10000000000001,5.742,0,-1.0,-0.46,310.14000000000004,-3.8270000000000004,37.59,0.0,236.699,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,303.2914,-218.4,-80.10000000000001,5.742,0,0.0,-0.48,310.005,0.3629,37.32,0.0,235.87900000000002,0.0,0
46611,0.171,67.62700000000001,-0.5,0.0,-2.48,301.53540000000004,-175.8,-79.60000000000001,5.742,0,0.0,-0.48,310.14000000000004,0.6598,36.9,0.0,235.098,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,299.73040000000003,-175.70000000000002,-79.8,5.742,0,0.0,-0.46,310.005,-3.8600000000000003,36.06,0.0,234.297,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,297.9253,-175.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,-0.132,35.82,0.0,233.496,0.0,0
46611,0.341,67.62700000000001,-0.5,0.0,-2.48,296.1104,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,1.0557,36.36,0.0,232.69500000000002,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,294.2882,-177.70000000000002,-79.8,5.742,0,1.0,-0.485,310.14000000000004,3.9589000000000003,36.57,0.0,231.895,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,292.4637,-177.70000000000002,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,3.9589000000000003,36.300000000000004,0.0,231.09400000000002,0.0,0
46611,0.171,67.62700000000001,-0.5,0.0,-2.48,290.63480000000004,-179.5,-80.10000000000001,5.742,0,-2.0,-0.47000000000000003,309.915,-5.806500000000001,35.49,0.0,230.293,0.0,0
46611,0.341,67.62700000000001,-0.5,0.0,-2.48,288.7917,-179.5,-80.10000000000001,5.742,0,0.0,-0.46,310.005,-4.3878,34.83,0.0,229.49200000000002,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,286.9486,-181.8,-79.8,5.742,0,2.0,-0.47500000000000003,310.005,0.39590000000000003,34.2,0.0,228.691,0.0,0
46611,0.341,67.62700000000001,0.5,0.0,-2.48,285.1078,-179.5,-80.3,5.742,0,-1.0,-0.465,310.005,2.5733,34.29,0.0,227.89100000000002,0.0,0
46611,-0.171,67.62700000000001,0.5,0.0,-2.48,283.24780000000004,-181.20000000000002,-80.10000000000001,5.742,0,0.0,-0.465,310.005,0.0,35.19,0.0,227.09,0.0,0
46611,0.171,67.62700000000001,-0.5,0.0,-2.48,281.387,-181.20000000000002,-79.8,5.742,0,2.0,-0.46,310.14000000000004,-0.8908,36.87,0.0,226.28900000000002,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,279.5263,-181.20000000000002,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,2.7713,37.230000000000004,0.0,225.488,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,277.6565,-182.8,-80.3,5.742,0,0.0,-0.46,310.005,-4.7507,37.08,0.0,224.68800000000002,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,275.7792,-182.8,-80.3,5.742,0,-1.0,-0.49,310.14000000000004,-2.2434000000000003,36.12,0.0,223.887,0.0,0
46611,0.341,67.62700000000001,-0.5,0.0,-2.48,273.9019,-182.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,5.806500000000001,35.64,0.0,223.086,0.0,0
46611,0.171,67.62700000000001,0.5,0.0,-2.48,272.01820000000004,-184.3,-79.8,5.742,0,0.0,-0.485,310.005,0.7918000000000001,35.58,0.0,222.285,0.0,0
46611,0.341,67.62700000000001,0.0,0.0,-2.48,271.8339,-184.3,-80.10000000000001,5.742,0,-1.0,-0.48,310.14000000000004,0.767,35.58,0.0,222.20700000000002,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,269.9414,-184.3,-79.8,5.742,0,0.0,-0.48,310.005,-1.7568000000000001,35.31,0.0,221.406,0.0,0
46611,0.341,67.62700000000001,0.0,0.0,-2.48,268.0489,-186.60000000000002,-80.10000000000001,5.742,0,0.0,-0.485,310.005,0.0,34.980000000000004,0.0,220.60500000000002,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,266.1553,-185.60000000000002,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-3.761,34.83,0.0,219.805,0.0,0
46611,0.512,67.62700000000001,-0.5,0.0,-2.48,264.2488,-185.60000000000002,-79.60000000000001,5.742,0,-1.0,-0.46,310.005,-4.2889,34.44,0.0,219.00400000000002,0.0,0
46611,0.171,67.62700000000001,-0.5,0.0,-2.48,262.3423,-185.60000000000002,-79.8,5.742,0,0.0,-0.465,310.005,-2.4826,35.04,0.0,218.203,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,260.43580000000003,-185.60000000000002,-80.10000000000001,5.742,0,0.0,-0.5,310.005,2.2434000000000003,35.28,0.0,217.40200000000002,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,258.5194,-186.9,-79.8,5.742,0,1.0,-0.47500000000000003,310.005,1.699,35.82,0.0,216.602,0.0,0
46611,0.341,67.62700000000001,0.0,0.0,-2.48,256.6003,-186.9,-79.8,5.742,0,0.0,-0.49,310.14000000000004,3.3404000000000003,36.39,0.0,215.80100000000002,0.0,0
46611,0.0,67.62700000000001,-0.5,0.0,-2.48,254.68120000000002,-186.9,-79.8,5.742,0,1.0,-0.49,310.005,1.9795,37.35,0.0,215.0,0.0,0
46611,0.341,67.62700000000001,0.5,0.0,-2.48,252.7543,-188.0,-79.8,5.742,0,0.0,-0.455,310.005,-1.9795,37.410000000000004,0.0,214.199,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,250.82420000000002,-190.3,-80.10000000000001,5.742,0,-2.0,-0.47000000000000003,310.005,-3.3404000000000003,36.96,0.0,213.398,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,248.8964,-188.0,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.23,1.2784,36.69,0.0,212.598,0.0,0
46611,0.0,67.62700000000001,0.5,0.0,-2.48,246.96210000000002,-188.9,-79.8,5.742,0,0.0,-0.455,310.14000000000004,4.4621,35.79,0.0,211.797,0.0,0
46611,0.171,67.62700000000001,0.5,0.0,-2.48,245.0224,-188.9,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,1.7815,35.34,0.0,210.996,0.0,0
46611,0.0,67.62700000000001,-0.5,0.0,-2.48,243.08270000000002,-188.9,-79.60000000000001,5.742,0,0.0,-0.48,310.14000000000004,-1.1464,34.83,0.0,210.19500000000002,0.0,0
46611,0.171,67.62700000000001,0.0,0.0,-2.48,241.1442,-189.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-1.3609,34.86,0.0,209.395,0.0,0
46611,0.0,67.62700000000001,0.0,0.0,-2.48,239.19650000000001,-189.70000000000002,-80.10000000000001,5.742,0,1.0,-0.47000000000000003,310.14000000000004,-2.2681,35.22,0.0,208.59400000000002,0.0,0
