Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47017,-0.682,67.62700000000001,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.58,310.14000000000004,3.0682,39.0,0.0,257.832,0.0,0
47017,-0.853,67.62700000000001,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.46,310.005,1.1877,39.300000000000004,0.0,257.832,0.0,0
47017,-1.364,67.62700000000001,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,310.005,-1.8475000000000001,39.39,0.0,257.832,0.0,0
47017,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,350.0786,0.0,-0.2,5.742,0,0.0,-0.48,310.14000000000004,0.2639,38.67,0.0,257.832,0.0,0
47017,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,350.0401,-38.5,-2.3000000000000003,5.742,0,0.0,-0.495,309.915,2.7053000000000003,37.59,0.0,257.813,0.0,0
47017,-0.853,67.62700000000001,0.0,0.0,-1.815,349.9589,0.0,-6.1000000000000005,5.742,0,0.0,-0.485,310.14000000000004,2.7713,38.43,0.0,257.773,0.0,0
47017,-1.0230000000000001,67.62700000000001,-0.5,0.0,-1.815,349.80060000000003,-40.6,-10.1,5.742,0,0.0,-0.465,310.14000000000004,1.3196,38.46,0.0,257.695,0.0,0
47017,-1.0230000000000001,67.62700000000001,0.5,0.0,-1.815,349.5246,-38.6,-17.0,5.742,0,0.0,-0.49,309.915,1.9795,38.46,0.0,257.559,0.0,0
47017,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,349.12690000000003,-40.6,-22.3,5.742,0,0.0,-0.45,309.915,-2.2104,37.17,0.0,257.363,0.0,0
47017,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,348.5729,-38.5,-30.200000000000003,5.742,0,1.0,-0.485,310.005,-5.1466,36.300000000000004,0.0,257.09000000000003,0.0,0
47017,-0.853,67.62700000000001,-0.5,0.0,-1.815,347.8586,-79.10000000000001,-37.300000000000004,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-0.4289,36.06,0.0,256.738,0.0,0
47017,-1.194,67.62700000000001,0.0,0.0,-1.815,347.7794,-79.2,-38.1,5.742,0,0.0,-0.485,310.14000000000004,-0.17320000000000002,36.09,0.0,256.699,0.0,0
47017,-0.853,67.62700000000001,0.0,0.0,-1.815,346.9393,-79.9,-45.5,5.742,0,0.0,-0.485,310.005,-0.0825,37.26,0.0,256.289,0.0,0
47017,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,345.8979,-120.9,-52.300000000000004,5.742,0,0.0,-0.45,310.005,0.46190000000000003,38.79,0.0,255.781,0.0,0
47017,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,344.7375,-118.9,-59.0,5.742,0,0.0,-0.535,309.915,1.4929000000000001,40.230000000000004,0.0,255.215,0.0,0
47017,-1.0230000000000001,67.62700000000001,-0.5,0.0,-1.815,343.4563,-159.9,-65.3,5.742,0,0.0,-0.48,310.005,1.5671000000000002,40.44,0.0,254.59,0.0,0
47017,-0.853,67.62700000000001,0.0,0.0,-1.815,342.0504,-161.8,-70.9,5.742,0,0.0,-0.495,310.14000000000004,-0.8165,39.69,0.0,253.906,0.0,0
