Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46745,0.0,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,-1.0,-0.615,310.005,-1.2042000000000002,37.17,0.0,257.832,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,-1.0,-0.46,310.005,0.5114000000000001,36.42,0.0,257.832,0.0,0
46745,-0.171,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,0.0,-0.465,310.14000000000004,7.3653,36.0,0.0,257.832,0.0,0
46745,-0.341,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,0.0,-0.43,309.915,6.4168,37.08,0.0,257.832,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,350.0786,0.0,-0.7000000000000001,5.742,0,0.0,-0.45,310.005,-4.1569,38.07,0.0,257.832,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,349.9995,-40.6,-4.5,5.742,0,0.0,-0.455,310.005,-5.385800000000001,39.39,0.0,257.793,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,349.8798,-40.5,-7.9,5.742,0,0.0,-0.45,310.005,1.7568000000000001,39.660000000000004,0.0,257.73400000000004,0.0,0
46745,-0.171,51.719,0.0,0.0,-0.846,349.64230000000003,-40.6,-13.9,5.742,0,0.0,-0.46,310.14000000000004,1.0310000000000001,38.88,0.0,257.617,0.0,0
46745,-0.682,51.719,-0.5,0.0,-0.846,349.28520000000003,-40.6,-20.3,5.742,0,0.0,-0.44,310.005,1.5176,38.25,0.0,257.44100000000003,0.0,0
46745,-0.171,51.719,0.0,0.0,-0.846,348.81030000000004,-79.2,-27.200000000000003,5.742,0,0.0,-0.46,310.005,-0.8578,37.83,0.0,257.207,0.0,0
46745,-0.341,51.719,-0.5,0.0,-0.846,348.1772,-79.10000000000001,-34.300000000000004,5.742,0,0.0,-0.44,309.915,-5.8559,37.74,0.0,256.89500000000004,0.0,0
46745,-0.341,51.719,0.5,0.0,-0.846,348.13660000000004,-40.6,-35.1,5.742,0,-1.0,-0.435,309.915,-6.2023,37.62,0.0,256.875,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,347.339,-80.0,-42.2,5.742,0,0.0,-0.43,309.915,-1.5176,36.99,0.0,256.48400000000004,0.0,0
46745,-0.341,51.719,0.0,0.0,-0.846,346.37960000000004,-80.0,-49.800000000000004,5.742,0,0.0,-0.44,310.005,1.5836000000000001,36.99,0.0,256.016,0.0,0
46745,-0.171,51.719,0.0,0.0,-0.846,345.29720000000003,-79.9,-56.900000000000006,5.742,0,0.0,-0.43,310.005,2.0455,36.78,0.0,255.488,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,344.05690000000004,-118.9,-63.300000000000004,5.742,0,0.0,-0.465,310.005,0.7918000000000001,36.6,0.0,254.883,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,342.69570000000004,-118.9,-68.9,5.742,0,0.0,-0.45,310.005,1.5836000000000001,36.81,0.0,254.21900000000002,0.0,0
46745,-0.512,51.719,0.0,0.0,-0.846,341.20050000000003,-161.70000000000002,-73.5,5.742,0,-1.0,-0.47500000000000003,309.915,-0.5279,37.65,0.0,253.496,0.0,0
46745,-0.341,51.719,0.0,0.0,-0.846,339.62080000000003,-163.8,-77.0,5.742,0,0.0,-0.44,310.14000000000004,-0.099,38.85,0.0,252.734,0.0,0
46745,0.0,51.719,-0.5,0.0,-0.846,338.0017,-161.70000000000002,-79.8,5.742,0,-1.0,-0.41000000000000003,310.005,4.2229,38.34,0.0,251.953,0.0,0
46745,0.171,51.719,0.0,0.0,-0.846,336.334,-163.70000000000002,-80.60000000000001,5.742,0,0.0,-0.41500000000000004,310.005,3.1012,38.28,0.0,251.15200000000002,0.0,0
46745,-0.512,51.719,0.0,0.0,-0.846,334.65590000000003,-163.6,-80.3,5.742,0,0.0,-0.41500000000000004,309.915,-5.938400000000001,38.19,0.0,250.352,0.0,0
46745,-0.171,51.719,0.0,0.0,-0.846,332.9336,-205.60000000000002,-80.3,5.742,0,0.0,-0.45,309.915,-1.5176,38.19,0.0,249.531,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,331.25100000000003,-208.0,-80.3,5.742,0,-1.0,-0.44,310.005,-0.6598,37.35,0.0,248.73000000000002,0.0,0
46745,-0.341,51.719,-0.5,0.0,-0.846,329.5523,-206.0,-80.10000000000001,5.742,0,-1.0,-0.455,310.005,0.19790000000000002,37.230000000000004,0.0,247.93,0.0,0
46745,-0.512,51.719,-0.5,0.0,-0.846,327.8918,-167.8,-79.8,5.742,0,0.0,-0.46,310.005,3.8270000000000004,36.480000000000004,0.0,247.14800000000002,0.0,0
46745,0.0,51.719,0.5,0.0,-0.846,326.1931,-165.6,-79.8,5.742,0,0.0,-0.435,309.915,0.5938,36.15,0.0,246.348,0.0,0
46745,0.0,51.719,0.0,0.0,-0.846,324.4751,-167.70000000000002,-79.8,5.742,0,-1.0,-0.455,309.915,-5.0147,36.18,0.0,245.54700000000003,0.0,0
46745,-0.341,51.719,-0.5,0.0,-0.846,322.7532,-167.70000000000002,-80.10000000000001,5.742,0,-1.0,-0.435,309.915,-6.0044,36.18,0.0,244.746,0.0,0
46745,-0.512,51.719,0.0,0.0,-0.846,321.0313,-167.70000000000002,-80.3,5.742,0,-1.0,-0.45,310.005,0.5279,37.14,0.0,243.94500000000002,0.0,0
