Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46774,-0.341,51.719,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.45,310.005,-1.0062,40.62,0.0,257.832,0.0,0
46774,-0.341,51.719,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-2.3094,39.21,0.0,257.832,0.0,0
46774,-0.341,51.719,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.43,310.14000000000004,5.7652,37.95,0.0,257.832,0.0,0
46774,-0.341,51.719,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,309.915,1.732,38.34,0.0,257.832,0.0,0
46774,-0.512,51.719,0.0,0.0,-1.331,350.0786,0.0,-0.7000000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-3.761,38.97,0.0,257.832,0.0,0
46774,-0.341,51.719,0.0,0.0,-1.331,350.0401,0.0,-4.3,5.742,0,0.0,-0.47000000000000003,310.005,-3.6703,38.34,0.0,257.813,0.0,0
46774,0.0,51.719,0.0,0.0,-1.331,349.9203,0.0,-7.9,5.742,0,0.0,-0.465,310.005,2.1609000000000003,38.04,0.0,257.754,0.0,0
46774,-0.512,51.719,-0.5,0.0,-1.331,349.6829,-38.6,-13.5,5.742,0,0.0,-0.47500000000000003,310.005,-1.4681,37.800000000000004,0.0,257.637,0.0,0
46774,-0.853,51.719,0.0,0.0,-1.331,349.3258,-38.5,-19.5,5.742,0,0.0,-0.465,310.14000000000004,-2.3341000000000003,37.230000000000004,0.0,257.461,0.0,0
46774,-0.171,51.719,0.0,0.0,-1.331,348.8895,-40.5,-25.900000000000002,5.742,0,0.0,-0.43,310.005,-1.2289,38.25,0.0,257.24600000000004,0.0,0
46774,-0.512,51.719,0.0,0.0,-1.331,348.2563,-79.2,-33.800000000000004,5.742,0,0.0,-0.435,310.14000000000004,5.3198,38.97,0.0,256.934,0.0,0
46774,-0.341,51.719,0.0,0.0,-1.331,347.50100000000003,-79.9,-40.9,5.742,0,0.0,-0.48,310.005,3.0847,39.96,0.0,256.563,0.0,0
46774,-0.341,51.719,0.0,0.0,-1.331,347.41900000000004,-82.0,-41.4,5.742,0,0.0,-0.455,310.005,1.7155,40.08,0.0,256.523,0.0,0
46774,0.0,51.719,0.0,0.0,-1.331,346.4596,-118.9,-49.300000000000004,5.742,0,0.0,-0.45,310.14000000000004,0.6928000000000001,40.65,0.0,256.055,0.0,0
46774,-0.341,51.719,-0.5,0.0,-1.331,345.37710000000004,-121.0,-55.7,5.742,0,0.0,-0.455,310.14000000000004,2.5073000000000003,39.78,0.0,255.52700000000002,0.0,0
46774,-0.171,51.719,0.0,0.0,-1.331,344.17580000000004,-121.0,-62.5,5.742,0,0.0,-0.48,310.005,-3.9589000000000003,39.0,0.0,254.941,0.0,0
46774,0.0,51.719,-0.5,0.0,-1.331,342.81460000000004,-159.9,-68.4,5.742,0,0.0,-0.435,309.915,-7.1261,38.79,0.0,254.27700000000002,0.0,0
46774,0.0,51.719,0.0,0.0,-1.331,341.36220000000003,-161.70000000000002,-73.5,5.742,0,0.0,-0.445,310.005,0.3629,38.01,0.0,253.574,0.0,0
46774,-0.512,51.719,0.0,0.0,-1.331,339.7846,-161.70000000000002,-76.8,5.742,0,0.0,-0.48,310.005,1.1877,38.19,0.0,252.81300000000002,0.0,0
46774,-0.171,51.719,0.0,0.0,-1.331,338.1634,-161.70000000000002,-79.8,5.742,0,0.0,-0.485,309.915,0.7918000000000001,38.01,0.0,252.031,0.0,0
46774,-0.512,51.719,0.0,0.0,-1.331,336.4977,-165.70000000000002,-80.9,5.742,0,0.0,-0.45,310.005,-2.3754,38.13,0.0,251.23000000000002,0.0,0
46774,-0.171,51.719,0.5,0.0,-1.331,334.8195,-163.6,-80.60000000000001,5.742,0,0.0,-0.445,310.005,0.2639,38.13,0.0,250.43,0.0,0
46774,-0.341,51.719,-0.5,0.0,-1.331,333.1392,-163.6,-80.10000000000001,5.742,0,0.0,-0.455,310.005,2.5073000000000003,39.72,0.0,249.62900000000002,0.0,0
46774,-0.341,51.719,0.0,0.0,-1.331,331.459,-163.6,-80.10000000000001,5.742,0,0.0,-0.425,310.005,1.5836000000000001,40.050000000000004,0.0,248.828,0.0,0
