Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46693,0.0,67.62700000000001,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,-1.0,-0.47500000000000003,310.005,3.4311000000000003,35.97,0.0,257.832,0.0,0
46693,-0.171,67.62700000000001,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,0.0,-0.465,309.915,-4.6848,35.13,0.0,257.832,0.0,0
46693,-0.171,67.62700000000001,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,-1.0,-0.495,309.915,-7.258100000000001,34.26,0.0,257.832,0.0,0
46693,-0.341,67.62700000000001,0.0,0.0,-0.846,350.0786,0.0,-0.2,5.742,0,-1.0,-0.46,309.915,-0.9897,33.69,0.0,257.832,0.0,0
46693,-0.341,67.62700000000001,0.0,0.0,-0.846,350.0401,-38.5,-2.7,5.742,0,-1.0,-0.41500000000000004,309.915,0.0,34.38,0.0,257.813,0.0,0
46693,0.0,67.62700000000001,0.0,0.0,-0.846,349.9589,0.0,-6.300000000000001,5.742,0,-1.0,-0.46,310.14000000000004,2.4743,34.68,0.0,257.773,0.0,0
46693,0.0,67.62700000000001,0.0,0.0,-0.846,349.80060000000003,0.0,-10.4,5.742,0,-1.0,-0.455,310.14000000000004,5.2786,34.44,0.0,257.695,0.0,0
46693,0.0,67.62700000000001,0.0,0.0,-0.846,349.48400000000004,-40.6,-17.0,5.742,0,-1.0,-0.435,310.005,3.3651,35.43,0.0,257.539,0.0,0
46693,-0.512,67.62700000000001,0.0,0.0,-0.846,349.0883,-38.6,-23.1,5.742,0,0.0,-0.44,310.005,-2.2434000000000003,35.52,0.0,257.344,0.0,0
46693,-0.682,67.62700000000001,0.0,0.0,-0.846,348.5323,-40.6,-30.200000000000003,5.742,0,-1.0,-0.435,309.915,-4.0579,35.37,0.0,257.07,0.0,0
46693,-0.171,67.62700000000001,0.0,0.0,-0.846,347.82,-79.10000000000001,-37.6,5.742,0,-2.0,-0.47500000000000003,310.005,-0.7918000000000001,34.89,0.0,256.719,0.0,0
