Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46978,-0.341,83.545,-0.5,0.0,-2.057,350.0786,0.0,0.0,5.742,0,-1.0,-0.64,310.14000000000004,1.0310000000000001,36.21,0.0,257.832,0.0,0
46978,-0.171,83.545,0.5,0.0,-2.057,350.0786,0.0,0.0,5.742,0,-1.0,-0.525,310.005,1.5176,36.03,0.0,257.832,0.0,0
46978,-0.682,83.545,0.5,0.0,-2.057,350.0786,0.0,0.0,5.742,0,0.0,-0.49,310.005,0.8578,35.550000000000004,0.0,257.832,0.0,0
46978,-0.171,83.545,-0.5,0.0,-2.057,350.0786,0.0,0.0,5.742,0,-1.0,-0.505,310.005,0.7918000000000001,35.31,0.0,257.832,0.0,0
46978,-0.171,83.545,0.0,0.0,-2.057,350.0786,0.0,-0.2,5.742,0,-1.0,-0.485,310.14000000000004,0.0,34.38,0.0,257.832,0.0,0
46978,-0.171,83.545,0.0,0.0,-2.057,350.0401,0.0,-2.7,5.742,0,0.0,-0.505,310.14000000000004,0.6928000000000001,34.83,0.0,257.813,0.0,0
46978,-0.512,83.545,0.0,0.0,-2.057,349.9589,0.0,-6.6000000000000005,5.742,0,-1.0,-0.525,310.005,1.7155,35.4,0.0,257.773,0.0,0
46978,-0.341,83.545,0.0,0.0,-2.057,349.76210000000003,-38.5,-11.1,5.742,0,0.0,-0.465,310.14000000000004,0.2639,36.6,0.0,257.676,0.0,0
46978,-0.171,83.545,0.0,0.0,-2.057,349.44550000000004,-38.5,-18.5,5.742,0,0.0,-0.425,310.005,-4.8827,37.89,0.0,257.52000000000004,0.0,0
46978,-1.0230000000000001,83.545,0.0,0.0,-2.057,349.0092,-79.10000000000001,-24.1,5.742,0,0.0,-0.505,310.005,-0.7918000000000001,38.37,0.0,257.305,0.0,0
46978,-0.512,83.545,0.0,0.0,-2.057,348.45320000000004,-79.10000000000001,-31.3,5.742,0,0.0,-0.505,310.14000000000004,0.0,38.19,0.0,257.031,0.0,0
46978,-0.341,83.545,0.0,0.0,-2.057,347.74080000000004,-79.2,-39.1,5.742,0,0.0,-0.49,310.005,-1.8475000000000001,37.89,0.0,256.68,0.0,0
46978,-0.341,83.545,-0.5,0.0,-2.057,346.8593,-80.0,-46.0,5.742,0,0.0,-0.49,310.14000000000004,2.9032,37.29,0.0,256.25,0.0,0
46978,-0.171,83.545,0.0,0.0,-2.057,345.8179,-121.0,-52.900000000000006,5.742,0,-1.0,-0.51,310.005,1.9465000000000001,36.96,0.0,255.74200000000002,0.0,0
