Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46754,0.0,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.655,310.14000000000004,-0.6186,36.36,0.0,257.832,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,1.0,-0.43,310.005,0.6186,38.34,0.0,257.832,0.0,0
46754,0.0,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,1.0,-0.41500000000000004,310.005,-0.5938,40.17,0.0,257.832,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,350.0786,0.0,-0.2,5.742,0,1.0,-0.485,310.005,-2.5733,40.38,0.0,257.832,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,350.0786,0.0,-1.5,5.742,0,1.0,-0.41000000000000003,309.915,-0.4454,39.63,0.0,257.832,0.0,0
46754,0.0,51.719,0.0,0.0,-1.815,349.9995,0.0,-4.8,5.742,0,0.0,-0.47000000000000003,310.005,-1.5176,38.97,0.0,257.793,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,349.8412,-38.6,-8.9,5.742,0,0.0,-0.41500000000000004,309.915,-1.3032000000000001,38.13,0.0,257.71500000000003,0.0,0
46754,-0.512,51.719,0.0,0.0,-1.815,349.60380000000004,-38.5,-15.0,5.742,0,1.0,-0.43,310.005,0.7093,37.74,0.0,257.598,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,349.2466,-38.6,-20.5,5.742,0,0.0,-0.445,310.005,-2.5733,37.68,0.0,257.422,0.0,0
46754,-0.512,51.719,0.0,0.0,-1.815,348.7312,-79.10000000000001,-27.700000000000003,5.742,0,0.0,-0.405,310.005,1.8310000000000002,36.78,0.0,257.168,0.0,0
46754,0.0,51.719,0.0,0.0,-1.815,348.096,-81.2,-35.6,5.742,0,0.0,-0.435,310.005,2.7053000000000003,36.87,0.0,256.855,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,347.30010000000004,-79.9,-42.9,5.742,0,-1.0,-0.385,309.915,-1.1217000000000001,36.96,0.0,256.46500000000003,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,347.2201,-80.0,-43.5,5.742,0,-1.0,-0.395,309.915,-2.2434000000000003,36.93,0.0,256.426,0.0,0
46754,0.0,51.719,0.0,0.0,-1.815,346.2197,-118.9,-50.300000000000004,5.742,0,0.0,-0.425,310.005,-0.5279,38.07,0.0,255.93800000000002,0.0,0
46754,-0.512,51.719,0.0,0.0,-1.815,345.0983,-118.9,-57.900000000000006,5.742,0,1.0,-0.43,310.005,1.1877,38.67,0.0,255.39100000000002,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,343.856,-121.0,-63.800000000000004,5.742,0,2.0,-0.44,310.005,0.9897,39.27,0.0,254.78500000000003,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,342.4948,-120.9,-69.7,5.742,0,0.0,-0.43,310.14000000000004,2.3754,39.24,0.0,254.121,0.0,0
46754,0.0,51.719,0.0,0.0,-1.815,340.9973,-163.8,-74.2,5.742,0,0.0,-0.44,310.005,-2.6393,38.97,0.0,253.39800000000002,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,339.41970000000003,-161.70000000000002,-78.10000000000001,5.742,0,0.0,-0.41500000000000004,310.005,-0.9238000000000001,38.550000000000004,0.0,252.637,0.0,0
46754,-0.512,51.719,0.0,0.0,-1.815,337.7591,-161.8,-79.60000000000001,5.742,0,0.0,-0.455,310.005,-1.4846000000000001,38.61,0.0,251.836,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,336.08860000000004,-163.6,-80.60000000000001,5.742,0,1.0,-0.43,310.005,-0.2639,38.52,0.0,251.03500000000003,0.0,0
46754,0.171,51.719,0.0,0.0,-1.815,334.4083,-165.8,-80.60000000000001,5.742,0,1.0,-0.405,310.005,1.0557,37.980000000000004,0.0,250.234,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,332.7302,-163.6,-80.10000000000001,5.742,0,0.0,-0.44,310.14000000000004,2.7713,37.68,0.0,249.43400000000003,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,331.0451,-165.6,-80.10000000000001,5.742,0,0.0,-0.425,310.005,3.1672000000000002,37.56,0.0,248.633,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,329.3442,-165.6,-79.8,5.742,0,0.0,-0.43,310.005,-2.1114,37.77,0.0,247.83200000000002,0.0,0
46754,0.0,51.719,0.0,0.0,-1.815,327.64340000000004,-165.6,-79.3,5.742,0,-1.0,-0.44,310.005,-3.0682,38.04,0.0,247.031,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,325.9425,-167.8,-79.3,5.742,0,0.0,-0.425,309.915,-0.5279,38.550000000000004,0.0,246.23000000000002,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,324.22360000000003,-167.6,-79.8,5.742,0,0.0,-0.41000000000000003,310.005,-0.5279,38.61,0.0,245.43,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,322.5017,-167.70000000000002,-80.3,5.742,0,0.0,-0.43,310.14000000000004,5.5425,39.24,0.0,244.62900000000002,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,320.7798,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.435,309.825,-1.2537,39.99,0.0,243.828,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,319.0433,-169.70000000000002,-79.8,5.742,0,1.0,-0.41500000000000004,310.005,-2.5073000000000003,40.92,0.0,243.02700000000002,0.0,0
46754,-0.512,51.719,0.0,0.0,-1.815,317.3025,-169.70000000000002,-79.8,5.742,0,0.0,-0.41500000000000004,310.005,3.5301,39.9,0.0,242.227,0.0,0
46754,-0.341,51.719,0.0,0.0,-1.815,315.55940000000004,-169.8,-79.8,5.742,0,0.0,-0.43,310.005,0.7918000000000001,38.07,0.0,241.42600000000002,0.0,0
46754,-0.171,51.719,0.0,0.0,-1.815,313.8075,-171.8,-80.10000000000001,5.742,0,-1.0,-0.425,310.005,-1.5836000000000001,37.02,0.0,240.625,0.0,0
