CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.3119278,0.41192645,0.11894958,0.2859267,0.5125037,0.28481218,0.24913672,0.5527029,0.45136943,0.46029335,0.15464148,0.81347424,0.47490102
0.4400171,0.5207193,0.26578826,0.39524424,0.58605117,0.43838215,0.15304127,0.54016125,0.51208264,0.57478106,0.22158566,0.7866957,0.5203543
0.16287613,0.26182652,0.0030860566,0.09098074,0.26765275,0.13266236,0.4605982,0.34145758,0.3386439,0.35324886,0.061302863,0.98896956,0.52974355
0.36385426,0.4253751,0.15787633,0.3232888,0.56425786,0.36585748,0.23842654,0.6102472,0.4861953,0.5316732,0.2879278,0.5257087,0.33021218
0.32098234,0.39858642,0.09629008,0.28532544,0.48193225,0.27013808,0.25949037,0.5717476,0.42208043,0.49971384,0.27819455,0.60043436,0.36845773
0.6953671,0.6983482,0.49322224,0.6241991,0.83601725,0.6113271,0.09952574,0.5438413,0.6833487,0.7114055,0.18891564,0.925886,0.6042935
0.37819248,0.41886672,0.1627307,0.37562585,0.56950957,0.34213644,0.22191665,0.58320886,0.45909718,0.49983752,0.27423537,0.56775147,0.30625802
0.75214255,0.7756298,0.47747147,0.70154923,0.9265822,0.62748414,0.06755155,0.7201465,0.749364,0.83646864,0.2899989,0.6400011,0.47410852
0.28272995,0.34598333,0.092592,0.25436264,0.49001876,0.2675738,0.3270501,0.5737513,0.41320348,0.3943455,0.27659518,0.4032638,0.21689601
0.17233573,0.24280411,0.07037706,0.15563169,0.32708967,0.17382137,0.38423866,0.41962484,0.25771374,0.26627138,0.27096444,0.41458637,0.21446253
0.020040486,0.12932526,-0.04586129,-0.036535904,0.037883572,-0.007903593,0.7095177,0.16676548,0.21491873,0.1795921,0.042908095,0.8753371,0.34852552
0.19261423,0.2974137,0.049110733,0.15964909,0.33737874,0.17689508,0.39432198,0.3983517,0.35430646,0.34874836,0.103430375,0.8724404,0.486198
0.6110517,0.671626,0.35298884,0.5483949,0.7586576,0.52215534,0.14932272,0.69059706,0.6594715,0.7430397,0.28795558,0.7577263,0.4945315
0.108172774,0.20023125,-0.015122082,0.10132143,0.1913103,0.09837142,0.5853456,0.31933203,0.25927508,0.24906293,0.13333471,0.6552593,0.25021482
0.11642271,0.20770794,0.016783863,0.08121791,0.23042846,0.11183437,0.5306805,0.3362984,0.29196155,0.2812266,0.06779509,0.87908727,0.40631855
0.4464806,0.5124728,0.32089722,0.43734732,0.6042997,0.43712318,0.1785953,0.53760475,0.49182513,0.5207409,0.22055826,0.59622234,0.37455112
0.10584524,0.18618575,0.019607935,0.06509287,0.2252998,0.0882233,0.44172305,0.33407107,0.23325239,0.23990625,0.16912043,0.67702514,0.36471283
0.32212654,0.40469173,0.14885955,0.30000785,0.48724276,0.29801303,0.23605183,0.558356,0.41812906,0.43418306,0.27018404,0.5788196,0.33696038
0.61152107,0.63668287,0.41044444,0.5737381,0.7728205,0.56139725,0.13955997,0.5943174,0.6149282,0.63745743,0.24036424,0.6498044,0.40798944
0.20109588,0.28659844,0.028395548,0.17977504,0.33943278,0.22585826,0.36325747,0.46941754,0.39659292,0.37700033,0.10302099,0.94264936,0.5017469
0.27110708,0.38383386,0.06669187,0.26146668,0.4491698,0.26692092,0.2626943,0.5444608,0.44696397,0.46839875,0.17596963,0.8652056,0.5490641
0.21867588,0.33282426,0.029831551,0.21920705,0.37569207,0.21531416,0.36469075,0.43278807,0.44195434,0.40967047,0.027249806,1.1005228,0.6287955
0.025484834,0.10338334,0.0026246384,0.013446422,0.086821444,0.03791314,0.6471076,0.14482251,0.18334334,0.105988786,0.036396764,0.7507185,0.25377482
0.047899496,0.14376356,-0.04636992,0.004460052,0.15329503,0.027686337,0.68028086,0.30662578,0.3044715,0.2850288,-0.008174434,1.1685237,0.5978817
0.102638096,0.22081429,0.039379597,0.07914595,0.20675117,0.1271941,0.4728902,0.3449023,0.2220302,0.24621284,0.13503917,0.6715359,0.28396606
0.469461,0.54048645,0.28215247,0.4684497,0.6569389,0.44010955,0.2162092,0.6365512,0.4919866,0.55847317,0.38098443,0.2858692,0.1607837
0.3419158,0.4332718,0.15733184,0.29674563,0.525681,0.3267498,0.27427387,0.6188429,0.4507191,0.47817016,0.28033018,0.56485677,0.32498568
0.05630284,0.16957052,-0.0254285,0.0155235045,0.12218009,0.024383608,0.5809927,0.259066,0.24347557,0.24939191,0.06341232,0.8653185,0.3923604
0.06784411,0.13969317,0.009870954,0.014486888,0.11546285,0.033499114,0.61391646,0.24026564,0.18789247,0.15360066,0.17988814,0.6067844,0.23078339
0.4595147,0.5184897,0.29137582,0.42887887,0.6539172,0.45731378,0.1860508,0.53898275,0.5571199,0.58073854,0.15546885,0.78869486,0.5195689
0.26542383,0.3081239,0.088101126,0.2430857,0.46207532,0.24677631,0.30893415,0.5530701,0.32941025,0.30165526,0.3704643,0.27946585,0.14683954
0.06346993,0.1610625,-0.027448975,0.055314753,0.12842095,0.013322557,0.56678724,0.2034539,0.19927695,0.18748856,0.10591109,0.7049351,0.30257225
0.13107501,0.21937302,0.019350026,0.08751165,0.25347844,0.09671878,0.47219482,0.29418856,0.29832238,0.28194308,0.10229872,0.9372269,0.5191183
0.5260906,0.5715545,0.31905437,0.51181835,0.6922146,0.5030855,0.12192299,0.5493836,0.59242266,0.564178,0.15355325,0.85110825,0.5352797
0.20686695,0.28003037,0.06449552,0.16873668,0.3849618,0.22315653,0.34990957,0.49358457,0.31273377,0.34422278,0.24978556,0.5007016,0.26598883
0.49376902,0.5517597,0.30469537,0.44421265,0.63208365,0.45742193,0.15127076,0.56669235,0.57826954,0.6060044,0.24081928,0.7980477,0.52149737
0.5672352,0.61422235,0.37239736,0.54691243,0.7405915,0.48741725,0.14179064,0.60762215,0.5964328,0.64335495,0.29533154,0.63066524,0.41652417
0.1623044,0.24275863,0.030249812,0.1355068,0.30305386,0.13219137,0.40338728,0.39080322,0.3222215,0.34273332,0.14779954,0.73314786,0.41029137
0.31149757,0.42080277,0.12130168,0.27684405,0.47204113,0.32590237,0.31362072,0.5556505,0.46455553,0.4930234,0.16464216,0.76282287,0.39669526
