CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.56422555,0.6780518,0.50491744,0.6311293,0.84008473,0.59445494,0.006669149,0.8000124,0.7121663,0.72552913,0.6630147,0.29118994,0.3695081
0.5645082,0.68065894,0.51361203,0.63831204,0.8336278,0.5897167,-0.009669244,0.7982639,0.7160043,0.7156245,0.66955143,0.27971336,0.38482842
0.44559717,0.6472458,0.41824755,0.5273661,0.79160637,0.6533537,0.05690816,0.78457946,0.67335933,0.7911774,0.63198507,0.52075326,0.44861495
0.5405228,0.64662373,0.512467,0.7489887,0.96896166,0.5879744,-0.11573262,0.7729871,0.6503355,0.6626205,0.7810742,0.15915763,0.35632345
0.54450417,0.6417759,0.42362955,0.61554766,0.7982361,0.5781186,0.046365574,0.77854955,0.6984297,0.74342054,0.6690909,0.28677234,0.41862112
0.5879432,0.7991304,0.59658355,0.6097017,0.7220401,0.4833737,-0.024716869,0.8106995,0.707786,0.5510301,0.5203787,0.48127413,0.5932941
0.5574273,0.6997313,0.4622135,0.6004652,0.85825545,0.568631,0.06391671,0.7687192,0.66452706,0.7070626,0.6771319,0.2974642,0.3389162
0.572954,0.677726,0.5058008,0.6463793,0.8515348,0.60535765,0.0004427135,0.82937104,0.7109698,0.75239074,0.64148617,0.30106902,0.35835385
0.53463775,0.6904059,0.43462253,0.5634197,0.82159406,0.5400871,0.11210519,0.74308854,0.6411468,0.68141127,0.66456294,0.31078297,0.3420687
0.55637026,0.6763347,0.48921698,0.6308348,0.82760525,0.58712834,0.008828893,0.79800045,0.70333165,0.7239385,0.65841824,0.28436798,0.37420934
0.5578996,0.69176185,0.49819094,0.6284052,0.83169407,0.5967915,-0.0052635074,0.7936804,0.7178301,0.7258842,0.64963937,0.31287235,0.39367563
0.550954,0.6697642,0.4966664,0.61587226,0.8136868,0.5925018,0.018799707,0.8013987,0.71428174,0.7439019,0.6498669,0.3125913,0.38647974
0.5192199,0.6325075,0.43351513,0.5808047,0.762287,0.5608933,0.067699105,0.74522805,0.70391464,0.72164303,0.6739144,0.30223784,0.435894
0.5687208,0.6828279,0.5094515,0.6441325,0.8452755,0.60412127,-0.021466002,0.8041219,0.72010773,0.7290051,0.65420306,0.28655654,0.37254834
0.41044372,0.5142511,0.32517922,0.66645896,0.7820341,0.604343,0.0058908463,0.8735362,0.53535134,0.7039453,0.52000207,0.17046556,0.19914615
0.56893253,0.79407436,0.58832,0.60207057,0.71693134,0.4808336,-0.011591941,0.7983515,0.7030088,0.534742,0.54504824,0.47277206,0.5954743
0.6597371,0.6574457,0.49356937,0.60548925,0.8468073,0.63306975,-0.07825864,0.66190296,0.8512435,0.7730042,0.52445555,0.3731696,0.41257405
0.59520364,0.5673852,0.70152277,0.42579427,0.72017187,0.52781093,0.03370543,0.60287595,0.78657126,0.8984656,0.6651179,0.34022397,0.25722423
0.5427371,0.66598946,0.49772692,0.6167819,0.812608,0.58864427,0.0153066665,0.79051006,0.70886,0.71259385,0.6658331,0.29322284,0.38114065
0.6348059,0.6835094,0.57906246,0.5110601,0.69712085,0.4455654,0.10833228,0.6887501,0.7321556,0.76302224,0.5882813,0.25679058,0.3073731
0.4268691,0.6147663,0.428946,0.50651896,0.7794742,0.66019046,0.061815202,0.76301414,0.67829436,0.7921012,0.6537244,0.5152271,0.43048453
0.51529086,0.6075414,0.41570383,0.58819103,0.76195365,0.5651783,0.082621485,0.7700059,0.68665504,0.71372145,0.6806309,0.28848723,0.43345422
0.40210268,0.504137,0.36258352,0.65347075,0.7844208,0.61386055,0.018055692,0.86388105,0.56051594,0.71791863,0.5649521,0.1751742,0.19129172
0.49487436,0.72042215,0.423205,0.57873964,0.7656844,0.5374017,0.10082859,0.8014908,0.6139962,0.664547,0.64323175,0.36572483,0.37523958
0.5580122,0.7093547,0.4755559,0.58214706,0.8361948,0.5510852,0.084023386,0.7676916,0.6638522,0.7032366,0.6698207,0.31816956,0.35253933
0.64435613,0.6812075,0.58408666,0.5160366,0.7150612,0.4569602,0.09386963,0.6800214,0.74138963,0.7668768,0.60784906,0.2417509,0.3012926
0.40509698,0.6272444,0.34008738,0.4754333,0.68442965,0.4857993,0.20686412,0.68699336,0.5728311,0.59535235,0.66063035,0.36806297,0.41974354
0.6746725,0.8056898,0.7022611,0.70343095,0.80367893,0.5167178,-0.1914919,0.82257843,0.75446635,0.547694,0.55961746,0.3795923,0.5572014
0.62372017,0.6424316,0.45814484,0.58664,0.81581527,0.61694086,-0.050527006,0.6479987,0.8220491,0.7678501,0.5468428,0.34793305,0.4049802
0.5561312,0.67572904,0.5006261,0.6241065,0.81929946,0.5925113,0.0074415654,0.80292803,0.71410346,0.73313826,0.6413347,0.3040552,0.3784357
0.44830507,0.6879311,0.35450673,0.5842216,0.85425174,0.49558645,0.15945634,0.7139387,0.5519293,0.6196917,0.7132293,0.30998576,0.36402342
0.5782187,0.65025586,0.57964385,0.4750745,0.6825152,0.44304174,0.1484226,0.65673023,0.7239613,0.7336208,0.63541365,0.26931104,0.31681973
0.29634628,0.4517424,0.27219343,0.53755313,0.8017703,0.6799512,0.07863009,0.81929076,0.4836734,0.7939309,0.548291,0.35906816,0.15754578
0.42086393,0.48852205,0.3177582,0.6974453,0.81292367,0.6366773,-0.046017542,0.8846867,0.5386524,0.75324315,0.49292052,0.13676335,0.14199896
0.57007563,0.4118281,0.48191154,0.48853004,0.6472227,0.50659907,0.034596696,0.58854634,0.7487975,0.86231357,0.33815157,0.15992501,0.084582865
0.43644133,0.5886814,0.33848044,0.5021908,0.65647256,0.5218274,0.16892189,0.73578864,0.62184465,0.70228314,0.6293673,0.36118972,0.4362433
0.4917779,0.64660084,0.4124356,0.5591551,0.7359287,0.55754364,0.115752816,0.7929095,0.6545101,0.70601034,0.61913,0.3693632,0.39861625
0.43983704,0.6403793,0.4356578,0.50890917,0.7934505,0.64167756,0.07948074,0.7617419,0.666846,0.7819414,0.66277766,0.49473476,0.40449888
0.53610194,0.6803136,0.47751212,0.6069961,0.8078617,0.5726646,0.03379132,0.7752413,0.6942215,0.70208347,0.66769457,0.30192357,0.38887048
0.5589702,0.63838565,0.4303146,0.6079231,0.8384206,0.5643635,0.079128414,0.75648874,0.6807826,0.72443753,0.7214703,0.25792974,0.3880694
0.55109584,0.67894787,0.4989269,0.6098645,0.81224126,0.5848384,0.024922773,0.79229283,0.70944417,0.7218611,0.6554353,0.31193233,0.38338757
0.62274015,0.649757,0.6016624,0.69733334,0.901761,0.61736196,-0.13823631,0.7816657,0.74672407,0.7268675,0.71266073,0.17748769,0.31351608
0.36444497,0.5009787,0.31516454,0.60333323,0.72997254,0.59189415,0.0551911,0.82832676,0.5374375,0.6950011,0.55373025,0.21474054,0.23950824
0.70002615,0.6336688,0.7259481,0.5532532,0.7450446,0.462745,-0.01725471,0.6578816,0.79727954,0.78637916,0.65365785,0.14343786,0.24450323
0.52682006,0.68525684,0.459661,0.58867675,0.79357165,0.5619382,0.046475723,0.7487289,0.69496155,0.7024543,0.66085285,0.32178348,0.4108851
0.5260794,0.6565384,0.47030443,0.6062038,0.81121963,0.58208627,0.034683257,0.7682277,0.6929858,0.6981333,0.6695056,0.28686222,0.3629769
0.517455,0.6899821,0.4612484,0.56785274,0.8040716,0.54699373,0.09584838,0.75300777,0.6601222,0.66474336,0.6867797,0.32858133,0.3890554
0.56028175,0.6932682,0.4537323,0.62615573,0.8284315,0.57944846,0.017221928,0.7849607,0.68521607,0.697917,0.65871686,0.28422,0.38251644
0.45387506,0.53057504,0.4461928,0.6356448,0.7534103,0.6392386,-0.02519311,0.81169075,0.68118614,0.57879287,0.6938372,0.22023597,0.37767035
0.4604984,0.65914017,0.5329482,0.5885426,0.62664485,0.49185032,-0.012965411,0.77806425,0.65282035,0.35152885,0.59346026,0.38392848,0.5776821
0.5658312,0.60271037,0.46368283,0.63415736,0.8107632,0.5891896,0.019603148,0.7733503,0.7347904,0.7534372,0.6947072,0.240724,0.40985465
0.27285793,0.42097872,0.29244137,0.56888473,0.7485175,0.70513374,0.01671584,0.8613526,0.52521896,0.80143666,0.5156824,0.3690123,0.2268107
0.54529667,0.6727703,0.4849832,0.62596774,0.8136825,0.5936896,0.012000993,0.80967134,0.69963825,0.7144828,0.6501568,0.30005315,0.37771794
0.70807695,0.6599867,0.550544,0.60736257,0.9291225,0.63009757,-0.127381,0.5693064,0.8683262,0.77988535,0.66902673,0.26264575,0.35684264
0.55326813,0.70090765,0.45856643,0.61307967,0.81398433,0.57009476,0.028876334,0.77946293,0.6847367,0.7002596,0.66094303,0.30124462,0.39393777
0.5441575,0.7886202,0.5333023,0.57696265,0.70256805,0.4718194,0.04580915,0.7920321,0.6772643,0.53851146,0.50751156,0.51338446,0.583127
0.48339123,0.71134883,0.40290612,0.63468695,0.9047548,0.51831853,0.095630944,0.7437124,0.57658666,0.6158522,0.75225437,0.27454004,0.38218367
0.45864666,0.6437159,0.44472408,0.540437,0.81290793,0.6743795,0.0176491,0.7806819,0.69487834,0.80017054,0.64411414,0.5028421,0.43563944
0.6332607,0.65605974,0.6203834,0.49916878,0.6922293,0.4439361,0.10596612,0.6656514,0.76013833,0.7729072,0.6030567,0.24184266,0.2993441
0.5684738,0.68104196,0.5156336,0.64549756,0.849479,0.6078281,-0.021909878,0.8071542,0.7250438,0.72517,0.6537989,0.29296085,0.3792705
0.27011022,0.45790762,0.27600604,0.5466499,0.74133027,0.6794429,0.050826192,0.8350137,0.5126151,0.7726962,0.5295227,0.39038026,0.24853742
0.40050304,0.46286958,0.38682666,0.5925462,0.70412385,0.59596986,0.06235543,0.75702244,0.654567,0.5706654,0.7733211,0.19770041,0.42785722
0.55177677,0.6754758,0.50161767,0.6100235,0.8274717,0.5864028,0.033067986,0.7936275,0.70407706,0.71985227,0.65840614,0.30840212,0.36866233
0.6270541,0.6161365,0.65736115,0.6072156,0.8311274,0.41936827,-0.0041746646,0.6163313,0.7048324,0.7268193,0.7409351,0.084949955,0.26183873
0.56912434,0.675892,0.50975007,0.641024,0.8457458,0.59885925,-0.011499271,0.80167025,0.7174009,0.7336081,0.65990895,0.27828646,0.36739498
0.53874683,0.59907496,0.5430138,0.5540773,0.6199073,0.55133826,-0.10688643,0.63005835,0.8281394,0.40790737,0.46639764,0.4690995,0.64200824
0.52199954,0.6644964,0.46074256,0.59134126,0.780338,0.57855785,0.05405684,0.7965296,0.6816333,0.71463275,0.6494439,0.3219416,0.38369963
0.44474596,0.54469335,0.47364002,0.5479243,0.6876878,0.42963356,0.13046303,0.65032876,0.6086742,0.5232894,0.7561668,0.115320235,0.3269595
